mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
23 flip,O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,-4.87354999895946,0.08715845030462636,-8.83
42 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,-4.000870493831135,0.07609241477548385,-8.9
66 flip,O=C([O-])c1sc2c(Cl)cccc2c1CCCOc1cccc2ccccc12,-6.346259088702797,0.1174726684152864,-8.43
64 flip,O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-5.598439650875847,0.10906535547888142,-9.5
68 flip,O=C([O-])c1oc2ccc(Cl)cc2c1CCCOc1cccc2ccccc12,-5.441376249567659,0.1109010090428775,-7.690000000000001
51 flip,O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-4.971514322120158,0.077047205290223,-8.45
44 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,-6.081958939927937,0.10092585733867505,-8.67
23,O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,-9.248342325319499,0.08001732768540346,-8.83
42,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,-8.575459219491998,0.06728165868528722,-8.9
64,O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-10.433610774274968,0.10485418312302622,-9.5
44,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,-8.711362760707743,0.07870731174351833,-8.67
66,O=C([O-])c1sc2c(Cl)cccc2c1CCCOc1cccc2ccccc12,-10.502113002420996,0.09622110655104035,-8.43
51,O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-7.594049400398326,0.0900140003938906,-8.45
68,O=C([O-])c1oc2ccc(Cl)cc2c1CCCOc1cccc2ccccc12,-8.23659724852088,0.09333712433221833,-7.690000000000001
26 flip,O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,-5.215152868531573,0.11487672922035065,-8.24
26,O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,-9.532040339217188,0.10152045121191286,-8.24
27,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1,-7.441746386247754,0.03583544076691717,-6.12
28 flip,Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,-4.390220620148694,0.061762251035691114,-6.62
29,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,-4.312635370905824,0.05310812540961786,-6.94
29 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,-4.380143043726128,0.05458459209338284,-6.94
30 flip,Cc1cccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)c1,-7.075109558394974,0.053599980922605386,-7.85
32,Cc1ccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc1,-8.042444422668565,0.0492428178453486,-6.58
