mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
ejm_31,ejm_50,-3.3168808530171345,0.0418417390633985,-2.907847098380094,0.04174527689656916,-0.4090337546370401,0.05910498516217357,0.5599999999999987
ejm_43,ejm_42,-1.3532497753878834,0.04862391968851347,-0.9425264242237096,0.04894741204945827,-0.4107233511641738,0.06899372951373524,-1.5199999999999994
ejm_43,ejm_44,2.801995613282796,0.049524490706184865,1.541507955047143,0.04723587312934356,1.2604876582356528,0.06843904506930551,0.8399999999999999
ejm_42,ejm_54,-9.918167499962225,0.055933310929382814,-11.144689365244167,0.05679590871743093,1.2265218652819425,0.0797139292630953,-0.7499999999999996
ejm_31,ejm_48,22.32769293386505,0.06700551126417102,22.209117478959595,0.06585843168263811,0.11857545490545182,0.09395249631313508,0.5400000000000001
ejm_31,ejm_49,20.506238300985817,0.07091183298664748,19.28568735282859,0.06848553421033553,1.2205509481572272,0.09858375349722298,1.7899999999999994
ejm_44,ejm_42,-4.387902534164633,0.058663310907142684,-2.340664805849037,0.05699933643473747,-2.047237728315596,0.08179430542885292,-2.359999999999999
ejm_45,ejm_42,4.077782935762041,0.05906390933507306,4.325483287631461,0.05833021056414651,-0.24770035186941936,0.08301179946489173,-0.21999999999999945
ejm_45,ejm_54,-3.546204908950753,0.059109225691869396,-4.372913927450375,0.06047293374488686,0.8267090184996221,0.08456285400579755,-0.969999999999999
ejm_46,ejm_48,36.82718307494925,0.06215029248223672,35.785088930766065,0.0607516589037281,1.0420941441831797,0.08691043041650695,2.310000000000001
ejm_46,jmc_27,-2.6477585425837376,0.05159753561569482,-1.9664929406352463,0.05101816587598408,-0.6812656019484913,0.07256141489085176,0.030000000000000387
ejm_46,ejm_49,34.02088572829551,0.07122752545182358,31.61580792733452,0.06906819876200293,2.4050778009609908,0.09921580752187485,3.56
ejm_47,ejm_42,-15.094107763737814,0.06185406546332601,-15.324080617083949,0.06286003657019981,0.22997285334613488,0.0881890560781114,-0.07999999999999934
ejm_48,ejm_47,-6.80735619949554,0.06085408053962775,-6.224032298319523,0.06121851751752865,-0.5833239011760165,0.08631874654654957,-0.7000000000000006
ejm_50,ejm_45,-4.344320983118319,0.04912769263576972,-5.026217070476791,0.04600616431209978,0.681896087358472,0.06730599778939902,-0.5799999999999991
ejm_50,ejm_44,9.56939393539365,0.06133730546217391,7.476808306577861,0.0605373642664224,2.0925856288157894,0.08618026174064189,1.5600000000000007
ejm_50,ejm_55,1.749506539302591,0.04977762939423038,1.6181435061562208,0.04979721631030706,0.1313630331463703,0.07041004999547194,-0.2299999999999996
ejm_49,jmc_23,-36.94183997988145,0.0716456805797598,-33.8650462386859,0.0709400425398558,-3.0767937411955533,0.10082456635807327,-3.9499999999999984
jmc_27,jmc_23,-0.21114049009308597,0.04067715991751374,-0.4808335387918212,0.04105345919898118,0.2696930486987353,0.0577928875481871,-0.41999999999999865
ejm_55,ejm_43,6.199237824609082,0.048971859928771476,5.12918494703228,0.05042264969363981,1.0700528775768023,0.07029001826013938,0.9500000000000004
jmc_28,jmc_23,-12.346410135979445,0.03244927667360098,-12.033836763691394,0.03333618570175521,-0.3125733722880517,0.04652157385323301,-0.7199999999999974
ejm_55,ejm_47,19.840091390687206,0.06405191670485884,19.38389100964774,0.06339032062560136,0.45620038103946603,0.09011648452188264,-0.48999999999999955
jmc_30,jmc_27,3.6602292952564595,0.040114308861549715,3.450340201937055,0.04028962108484178,0.20988909331940453,0.05685429924464757,-0.340000000000001
jmc_30,ejm_46,6.097156619577483,0.046700150539325094,5.50463365559905,0.04668729013347382,0.5925229639784328,0.0660348932035389,-0.3700000000000014
jmc_28,ejm_54,-3.0696179557890613,0.05940092363535284,-4.0289091143644775,0.0574875350271607,0.9592911585754165,0.08266369464421516,0.45000000000000245
jmc_30,jmc_28,15.450604297381329,0.05241798426654849,14.704199201990624,0.05193968512568908,0.7464050953907047,0.07379279074221175,-0.040000000000002214
