mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
3a,CC(C)(C)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-11.41195651590234,0.045310173288298915,-11.064783886058404
3b,CC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-11.045263602214042,0.046102102999004704,-11.590833221531327
1b,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-9.445444760996281,0.04314662698960108,-9.99888857195475
1a,O=c1[nH]c(-c2ccccc2)nc2ccccc12,-7.179885115142849,0.05476584504492018,-8.603669024704221
5a,CC(C)(O)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-10.63349474941307,0.02808138813872255,-10.825348419607172
5b,CC(C)(O)c1ccc(-c2nc3cccc(F)c3c(=O)[nH]2)cc1,-11.319569783811405,0.024797048672794173,-10.539443848422694
5d,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.450753427173252,0.040964726043371015,-10.952673772248907
5c,CC(C)(O)c1ccc(-c2nc3cccc(Cl)c3c(=O)[nH]2)cc1,-10.57418176831573,0.047151465958973016,-10.022270579071401
5j,CC(C)(O)c1ccc(-c2nc3ccc(F)c(F)c3c(=O)[nH]2)cc1,-11.133200584294949,0.0388697803390109,-11.153266663063665
5k,CC(C)(O)c1ccc(-c2nc3c(F)cc(F)cc3c(=O)[nH]2)cc1,-11.062046325131897,0.043985167295254084,-11.03146992588755
7,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)nc1,-8.187249953970964,0.04121458098021956,-8.448957594650189
5n,CC(C)(OCCO)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.553024368466023,0.0497173161445308,-10.781167858036888
5h,COc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-10.293431680793908,0.04424246801142716,-10.1121858712117
5p,COCCOC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.755104188545168,0.0539544599004727,-10.568530825025436
5m,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-11.267923057849405,0.04397193475813541,-12.767710766284315
5e,CC(C)(O)c1ccc(-c2nc3ccc(Cl)cc3c(=O)[nH]2)cc1,-9.873425178736754,0.04302400909898775,-10.170394486166767
5f,CC(C)(O)c1ccc(-c2nc3c(F)cccc3c(=O)[nH]2)cc1,-11.414900626857339,0.0379357149947013,-10.326806815411242
5g,CC(C)(O)c1ccc(-c2nc3c(Cl)cccc3c(=O)[nH]2)cc1,-12.197912457178543,0.04183563475069037,-10.873067061365276
5i,Cc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-11.692537717198615,0.04516006556769776,-12.153887951643345
5l,CC(C)(O)c1ccc(-c2nc3c(F)ccc(F)c3c(=O)[nH]2)cc1,-12.040628452249626,0.037922198649071946,-10.155300901199226
5o,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)OCCO)cc3)nc12,-11.721480562146196,0.05225292677858248,-12.112756832843909
