mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
16,CNC(=O)c1ccc2[nH]nc(Cc3cccc(C)c3)c2c1,-7.728720929070393,0.07588864055572966,-9.292698790319301
13,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N4CC[C@H](O)C4)cc23)c1,-10.573689213315832,0.08546752752039147,-11.286296985191486
14,CNC(=O)c1ccc2[nH]nc(CC(C)C)c2c1,-3.9945065372013837,0.07850406682324816,-8.340263907163816
15,CNC(=O)c1ccc2[nH]nc(Cc3ccc(OC)c(OC)c3)c2c1,-7.141793116860662,0.07307994418645138,-7.690060315684702
17,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1,-5.839408412389773,0.08185813954063569,-8.995217840604221
18,CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1,-7.790415243877946,0.059946058545728376,-10.981760748851649
19,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-9.892695708926471,0.04620058782459908,-10.740036739237453
45,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2)C1,-10.84704439244703,0.07502806767153646,-11.1943977818631
25,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(NS(C)(=O)=O)cc34)cc2)cn1,-9.78319850427798,0.0794605660297082,-9.796660111494502
27,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-6.606249151148535,0.07841009543250525,-8.466238942666878
36,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)C1,-12.456506411702955,0.07256317722965797,-11.286296985191486
39,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1,-13.457136983170454,0.06566305429454265,-11.52802099480568
20,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(CC(C)(C)O)c4)cc3)c2c1,-10.924964776298072,0.06255226016254285,-10.701561147153257
23,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5cc(N)ccn5)cc34)cc2)cn1,-9.371042616056483,0.07045855240486613,-9.016898948530432
32,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,-9.68159526938852,0.057510879124191665,-9.552220084600169
21,Cn1cnc(-c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)c1,-8.116741205126612,0.07775262589767014,-9.757164562340556
26,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCCC5=O)cc34)cc2)cn1,-8.794207169160899,0.07697173728011156,-10.218113127924871
22,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5nccn5C)cc34)cc2)cn1,-11.47155246912388,0.09102847614990107,-10.288331223327047
34,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,-13.401858245489958,0.07713628208048515,-11.1943977818631
24,CC(=O)Nc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-9.02683796406733,0.07373526686830557,-10.347017725892353
28,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCOCC5)cc34)cc2)cn1,-8.63108781886647,0.07947562490860394,-6.208646534591875
29,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(S(=O)(=O)NC5CC5)cc34)cc2)cn1,-9.840627239726857,0.06574189291228079,-9.258622958144626
37,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,-13.50833826744063,0.07763887839751783,-11.52802099480568
30,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,-12.823479611093667,0.07206975184726196,-11.699526909017699
31,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1,-13.477436026272787,0.07132930268161086,-11.941250918631892
38,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)cc2)cn1,-12.043749087175161,0.07052129854399479,-11.394990672677858
42,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)ccc21,-11.781564319541692,0.07512213341547026,-11.52802099480568
33,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)NC5CC5)cc34)cc2)cn1,-9.642234101494843,0.07454706300221506,-11.11479107097947
35,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,-13.772247011877747,0.07985574418994308,-11.52802099480568
40,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,-13.335920856648082,0.07320544177424919,-11.1943977818631
41,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCCC5)cc34)cc2)cn1,-12.624391777830965,0.07227648637726226,-11.286296985191486
43,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)ccc21,-11.925659815348013,0.08191647900539432,-11.941250918631892
44,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)ccc21,-12.518613221240543,0.0797922673517732,-11.52802099480568
