mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
19,23,-3.1646361023706557,0.038757872693830096,-3.0144284287061365,0.04037248533511013,-0.15020767366451945,0.05596525947304115,-0.36593561542120234
19,33,-5.689591639851935,0.053352518710425005,-2.8537944217124736,0.05375875537917401,-2.8357972181394615,0.0757396529742784,-1.0626948334705881
20,42,-2.437501018541109,0.05246862402920869,-2.5588700252783725,0.05183796394685973,0.12136900673726363,0.07375724380475714,0.04995926363476655
20,44,-3.844663893652452,0.068144601739138,-4.109479530754156,0.06555152859861713,0.2648156371017036,0.09455522009810484,-1.4411170427820765
24,23,-3.915474360092781,0.052617679831445927,-4.776001715601949,0.05358184261132801,0.8605273555091683,0.07509749721841386,0.9613797585629699
24,26,-4.899344253610371,0.059192504120881846,-5.384468168688181,0.05767388679346952,0.4851239150778099,0.08264399410705264,-0.3013902408500421
24,29,-8.160550293905992,0.06951747349745264,-9.177256294072839,0.0688108607278264,1.0167060001668482,0.09781417931758847,-0.7809289689434661
26,34,-8.003918651592482,0.04155188375261094,-6.371949879100242,0.03974587090975722,-1.6319687724922387,0.05750037650107674,-0.8079247352160092
26,37,-0.6911202284651994,0.07061377727446763,1.097892201913182,0.06701059222029762,-1.7890124303783814,0.09734847205109659,-0.8327685283413407
26,60,-0.18845345340633493,0.07788434109169409,0.09578620731211508,0.07732799375577219,-0.28423966071845,0.10975239954360948,1.0320742776147849
29,35,-0.6011777676574788,0.03856288926894242,0.2415664468631866,0.03702286148668678,-0.8427442145206654,0.05345828936124976,-0.49585011085754177
29,57,0.9328849159551822,0.048571575781125836,2.2570601757884248,0.04911637278062862,-1.3241752598332428,0.06907688505561992,-0.833515134277182
30,19,9.15470680144131,0.05690253182741192,8.338462404857584,0.054961293023321325,0.816244396583727,0.07911157854047039,1.657635726612512
30,23,5.1427833363529105,0.05412787879226775,5.362607149392604,0.05162119856652766,-0.21982381303969295,0.07479689434726088,1.2917001111913096
