mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
19,Cn1ccc2ccc(-c3cc(Nc4ccccc4)cc4nccnc34)cc21,-7.3701098117807335,0.08118531579255094,-7.597684371217873
23,Cn1ccc2ccc(-c3cc(Nc4cccnc4)cc4nccnc34)cc21,-7.813353423984711,0.08158563347643431,-7.963619986639076
33,Cn1ccc2ccc(-c3cc(Nc4cnccc4C#N)cc4nccnc34)cc21,-10.060470734472553,0.06856137649416394,-8.66037920468846
20,COc1cccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)c1,-9.190192950568314,0.087761846332526,-8.569347907703273
42,CSc1cccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)c1,-8.991302390293429,0.08840860243545064,-8.519388644068506
44,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc(Br)cc2)c2nccnc2c1,-8.65916905691659,0.06679909172769731,-10.01046495048535
24,Cn1ccc2ccc(-c3cc(Nc4ccccc4C#N)cc4nccnc34)cc21,-9.034231813176103,0.07508901953558726,-8.924999745202046
26,Cn1ccc2ccc(-c3cc(Nc4ccccc4C(N)=O)cc4nccnc34)cc21,-8.712467477136489,0.07210890070392906,-9.226389986052087
29,Cn1ccc2ccc(-c3cc(Nc4ccccc4S(C)(=O)=O)cc4nccnc34)cc21,-8.400023026945211,0.06060174119921069,-9.70592871414551
34,Cn1ccc2ccc(-c3cc(Nc4cnccc4C(N)=O)cc4nccnc34)cc21,-10.350178338709334,0.07690024960323914,-10.034314721268096
37,Cn1ccc2ccc(-c3cc(Nc4cnccc4C(=O)NC4CCOCC4)cc4nccnc34)cc21,-10.487015419772233,0.0889503684303662,-10.05915851439343
60,CC1(C)COc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-9.282277280264207,0.07018701197390645,-8.194315708437303
35,Cn1ccc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-9.343747167066264,0.05591728823788903,-10.201778825003053
57,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3ccn(C(F)F)c3c2)c2nccnc2c1,-9.746354533516518,0.07379256886576957,-10.539443848422694
30,COc1ncccc1Nc1cc(-c2ccc3ccn(C)c3c2)c2nccnc2c1,-7.759478451838559,0.08660137477015051,-9.255320097830385
31,COc1ccncc1Nc1cc(-c2ccc3ccn(C)c3c2)c2nccnc2c1,-10.69140664588785,0.07413423439612829,-9.340125266052516
36,CN(c1cc(-c2ccc3ccn(C)c3c2)c2nccnc2c1)c1cnccc1S(C)(=O)=O,-10.348499011054866,0.07489243766920184,-7.486748310638047
53,CCCn1ccc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-8.216320396473472,0.07130150192342981,-7.041098038324923
38,CN(C)c1cccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)c1,-8.676037245008912,0.05837442382406309,-8.813160062225876
69,Cc1csc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc12,-11.09458918460018,0.052147190961217164,-10.781167858036888
70,Cc1coc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc12,-10.353440104730767,0.04602633113628512,-10.367937934210678
41,CS(=O)(=O)c1ccncc1Nc1cc(-c2cccc(OC(F)(F)F)c2)c2nccnc2c1,-9.253868698983561,0.08535433894178646,-7.43357666688315
43,CS(=O)(=O)c1ccncc1Nc1cc(-c2cccc(Br)c2)c2nccnc2c1,-9.24572331561799,0.06332099887272803,-8.047337448876245
39,CS(=O)(=O)c1ccncc1Nc1cc(-c2cccc(N)c2)c2nccnc2c1,-6.491923393382063,0.07597347382502467,-7.242205016653798
46,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc(C(F)(F)F)cc2)c2nccnc2c1,-6.970781121022772,0.06924582168819893,-7.908173068126793
49,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc(N)cc2)c2nccnc2c1,-6.171151186516641,0.07242401673724193,-7.983570733571719
62,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3nonc3c2)c2nccnc2c1,-9.605345191084398,0.06014203854134305,-7.739510346982183
63,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3nsnc3c2)c2nccnc2c1,-8.455459407936655,0.06907834430264533,-8.614812615729898
48,COc1ccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)cc1,-6.968630342799685,0.07716471694259246,-8.056085438002924
47,CCc1ccc(-c2cc(Nc3cnccc3S(C)(=O)=O)cc3nccnc23)cc1,-6.331273889054531,0.07912035989595627,-8.385209272895247
64,CS(=O)(=O)c1ccncc1Nc1cc(-c2ccc3ncsc3c2)c2nccnc2c1,-8.10277674561578,0.06911660003271318,-9.480798830844416
52,CCn1ccc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-8.783406731751223,0.07448864870224116,-10.459837137539063
54,CC(C)n1ccc2ccc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-7.63571825370998,0.08153428914339643,-8.230388525015318
55,Cn1ccc2c(F)cc(-c3cc(Nc4cnccc4S(C)(=O)=O)cc4nccnc34)cc21,-10.254486466002534,0.05893116195335077,-10.701561147153257
