mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
15,16,-11.276603905958028,0.036583269018166456,-13.212693713950951,0.0383878353588118,1.9360898079929227,0.053027931089104155,1.7600000000000007
17,15,9.035909296531345,0.03553438534013068,8.766688992984376,0.03728845972927864,0.26922030354696863,0.05150846309571786,0.03999999999999882
18,19,-8.057748229471999,0.03546050672199019,-8.57291242539203,0.03855971593726306,0.51516419592003,0.052386059501958446,-1.2999999999999998
17,19,-2.6695638313977748,0.038514334334816575,-0.7680070211032978,0.03856683895495815,-1.901556810294477,0.05450463297951568,-0.340000000000001
18,16,-7.262638367141271,0.04341158338065041,-12.292476323188401,0.04582869212462111,5.029837956047131,0.06312554628253503,0.8400000000000006
19,15,11.717318979607217,0.04583348380009027,9.68391199921643,0.04468005540575397,2.0334069803907866,0.06400793379194787,0.37999999999999984
18,17,-5.609157713308358,0.04409388958971563,-7.780079938645452,0.04596885652261485,2.1709222253370934,0.06369777758404747,-0.9599999999999989
15,14,-2.286016637026946,0.05417865360185133,-4.0804534638193,0.053954494484350836,1.7944368267923543,0.0764618465718115,1.1599999999999997
14,16,-8.148232789918964,0.057894358758456006,-9.098385554176755,0.057805190055851836,0.9501527642577914,0.08181195984357033,0.600000000000001
18,14,0.5410234136970112,0.05681836850230829,-2.9653375534373616,0.05661477865551362,3.506360967134373,0.08020947675603489,0.2399999999999997
