mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2_3E63,Nc1n[nH]c2ccc(-c3ccccc3)cc12,-7.824043009122108,0.05219517996656301,-7.90701
9,Nc1n[nH]c2ccc(-c3cccc(Cl)c3)cc12,-7.7192623581550315,0.0410791766336314,-8.36388
10,Nc1n[nH]c2ccc(-c3cccc(Cl)n3)cc12,-6.907915966699075,0.051888867927929065,-7.14398
1_3E62,Nc1n[nH]c2ccc(Br)cc12,-6.795150653304069,0.05299216795741578,-5.98669
4a,Nc1n[nH]c2ccc(-c3ccn[nH]3)cc12,-8.490439301971714,0.04134671297213539,-6.86423
5,Nc1n[nH]c2ccc(-c3ccncc3)cc12,-8.043734474592805,0.049850876818109145,-7.7898000000000005
3,Nc1n[nH]c2cc(-c3ccccc3)ccc12,-4.105587764591671,0.047484066052874016,-5.23562
6,Cc1noc(C)c1-c1ccc2[nH]nc(N)c2c1,-5.935827098337909,0.056782847069266465,-6.19864
7,Cc1nc(C)c(-c2ccc3[nH]nc(N)c3c2)s1,-8.700089320826386,0.05131536221682549,-8.86058
8,Nc1n[nH]c2ccc(-c3ccccc3Cl)cc12,-8.60294005239923,0.05038448286068049,-8.77456
