mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2,O=C([O-])c1sc2ccccc2c1Cl,-5.053985268118932,0.04858945218735307,-5.33
5,Cc1ccc2c(Cl)c(C(=O)[O-])sc2c1,-5.011996531348688,0.05062509669949844,-6.04
4,O=C([O-])c1sc2cc(Cl)ccc2c1Cl,-5.475727059912811,0.05702625595287256,-5.81
3,O=C([O-])c1sc2cccc(Cl)c2c1Cl,-7.158069217066329,0.050732615418875124,-6.39
7,Cc1c(C(=O)[O-])oc2ccc(Cl)cc12,-5.228721742162682,0.04856371870443317,-5.88
14,Cn1c(C(=O)[O-])cc2cc(Br)ccc21,-5.306858232609685,0.07507277969250761,-5.61
10,Cc1ccc2c(C)c(C(=O)[O-])oc2c1C,-5.670446063727492,0.04949199461492222,-5.04
15,Cc1cccc2c(-c3ccccc3)c(C(=O)[O-])[nH]c12,-6.193436781570109,0.07466218836653689,-5.31
11,O=C([O-])c1cc2c(Br)cc(Cl)cc2o1,-6.099012163131674,0.07383793064804244,-5.55
13 flipped,Cn1c(C(=O)[O-])cc2ccccc21,-3.9140225050677224,0.06911006508046476,-5.21
9,Cc1c(C(=O)[O-])oc2c(C)cccc12,-6.173221482989167,0.05548381826708829,-5.48
8,Cc1c(C(=O)[O-])oc2cc(Cl)ccc12,-6.7345029522947035,0.05260410736606163,-6.37
