mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
17,1oiu,-60.82852305917992,0.04794671055983753,-58.127825624263345,0.04536089331357508,-2.700697434916581,0.06600377031438716,-2.04
1h1r,1h1q,2.5349385438526677,0.054685409950043264,1.3314147053081713,0.05506970459747923,1.2035238385444966,0.07760906149321686,-0.5099999999999998
1h1r,1oiu,-60.01539854754962,0.04872003468236321,-58.066732362414704,0.0447681481419876,-1.9486661851349116,0.06616516354936049,-1.4100000000000013
17,26,1.6815157916435972,0.06682289957866748,2.489896875817053,0.0653758821687903,-0.8083810841734558,0.09348425470338965,-1.3900000000000001
17,20,-4.59501639801511,0.06791234151948902,-4.355148370294327,0.06668271906976571,-0.2398680277207823,0.0951770516101282,-1.6800000000000006
1h1r,1oi9,-7.296942627386746,0.058601670702040885,-7.012424680709436,0.0581398925178816,-0.28451794667731023,0.08254939679404848,-2.070000000000001
1h1r,21,3.91919258163252,0.06371076067922626,2.861491988533231,0.06214407451143492,1.0577005930992893,0.08899970237707776,-0.16000000000000036
1h1r,20,-4.018540218141747,0.0629749163763871,-4.339850687568929,0.06312743889617392,0.3213104694271822,0.08916789575964615,-1.0500000000000016
1h1r,26,2.9836465369977385,0.06321765813059947,2.791939702160571,0.06121785981003625,0.19170683483716733,0.0880005605620703,-0.7600000000000013
1h1s,1oiy,36.9036624978353,0.06416022249896361,35.12388655187634,0.06454304271575562,1.7797759459589555,0.09100735417604651,1.4600000000000002
1h1s,32,9.828928966061769,0.05299732157929831,8.03358378478758,0.04961631850127544,1.7953451812741892,0.0725981759839706,1.4999999999999991
17,21,3.106729659558813,0.06830309975954883,2.5389229523877703,0.06734689096704168,0.5678067071710429,0.09592141137248493,-0.7899999999999991
1h1s,1oi9,43.76557999533648,0.07098193160930509,42.08017642234925,0.0694014998176696,1.6854035729872359,0.09927236670861665,1.5099999999999991
1h1s,29,48.42782208785143,0.060153281745161255,47.68613601053176,0.060519994668962324,0.7416860773196705,0.08532928605961718,1.369999999999999
1h1s,31,43.56853723625115,0.056803278743552385,40.59098685546263,0.055081501533100014,2.9775503807885157,0.07912385409697008,1.71
1oiu,1h1q,63.00737474886606,0.06643467086361202,59.386811789022815,0.06616099935157853,3.620562959843249,0.09375949726804231,0.9000000000000015
21,20,-7.8259330131084095,0.05296547460942194,-6.2704218073865015,0.05019201088105146,-1.555511205721908,0.07296971602579326,-0.8900000000000013
26,1oi9,-9.658184813871538,0.05805054492092229,-8.979848594493898,0.05697635160618253,-0.6783362193776393,0.08133984514349259,-1.31
28,1oiy,13.564225393607956,0.06687179011167081,11.14614429940225,0.06639427323601796,2.418081094205706,0.09423394203405887,1.32
22,1h1q,-0.69664503218928,0.061023454890588504,0.10649768523324658,0.05996459677651748,-0.8031427174225265,0.08555474804681515,-0.31999999999999906
1oiy,31,1.081759268881773,0.06766475279138713,0.28610388707600903,0.06763064988224309,0.795655381805764,0.09566829973305722,0.24999999999999983
28,1h1s,-23.75353412335427,0.05954952985347068,-23.3428243799641,0.05984457780796642,-0.41070974339017124,0.08442464094553878,-0.14000000000000012
28,30,17.847192284300412,0.054402631349479556,15.564862805247325,0.0552487902116104,2.2823294790530877,0.07753757229623529,1.2999999999999998
30,29,13.934662567763565,0.061757627971144306,13.539569396380807,0.0599474547094546,0.39509317138275774,0.0860680076379393,-0.07000000000000091
22,1h1r,-3.9708355218611437,0.06994936422671066,-1.208923828746605,0.06833179149712154,-2.7619116931145387,0.09778623259399617,0.19000000000000075
29,1oi9,-6.1936971432156405,0.07525482018671524,-6.163034097328999,0.07268516094231608,-0.030663045886640917,0.10462514316618751,0.14000000000000012
22,32,-54.377857750057096,0.07238650417596193,-51.22921499587234,0.07252972633734321,-3.148642754184752,0.10247129934467723,-1.8900000000000008
30,31,3.974784330771739,0.04733804718023124,2.7895722960386924,0.0456912490827265,1.1852120347330466,0.0657919520426135,0.2700000000000001
30,32,-31.175770414038524,0.05731399162050078,-30.678827207819342,0.05732783392356095,-0.4969432062191824,0.08106401284073111,0.05999999999999908
