mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
27,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1,-6.798712620885577,0.03935703135843051,-6.12
28,Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,-5.613009646458372,0.04407764320920103,-6.62
31,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1,-7.633748922575041,0.05136676177920524,-7.920000000000001
23,O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,-8.352484871642597,0.07178688053506095,-8.83
64,O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-9.496342688930707,0.1042593583248359,-9.5
42,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,-7.20514367326684,0.06890042954206131,-8.9
66,O=C([O-])c1sc2c(Cl)cccc2c1CCCOc1cccc2ccccc12,-9.568961087283514,0.08981656720362693,-8.43
26,O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,-8.835976454255468,0.09320085258756447,-8.24
68,O=C([O-])c1oc2ccc(Cl)cc2c1CCCOc1cccc2ccccc12,-7.1085478250045036,0.09447718285546289,-7.690000000000001
29,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,-4.005736844126743,0.04786984580595916,-6.94
44,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,-7.943108754446678,0.060756082471345306,-8.67
51,O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-6.684349889882007,0.06573015657334048,-8.45
41 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Oc2ccccc2)cc1,-9.31129902602076,0.05953683709594122,-7.13
40 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(Oc2ccccc2)c1,-8.438016147116477,0.05631655121520633,-7.25
