mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
2aa,3fmh,24.97713760478979,0.06441763496661546,26.870573643933245,0.06495586178882788,-1.893436039143456,0.09148166852119297,-1.5599999999999998
2aa,3fmk,23.779652471646042,0.06437766753507591,26.99029441941248,0.06487418325689173,-3.2106419477664385,0.0913955345216906,-2.560000000000001
2aa,2y,13.13290545669701,0.06993188912489716,13.505342041002942,0.06817257382966627,-0.37243658430593174,0.09766252576673516,-0.5099999999999998
2aa,3flq,-7.707339864246679,0.07357255833255041,-6.589394133204676,0.07175153183701279,-1.117945731042003,0.10276771701538569,-0.66
2bb,2v,23.775529051775962,0.0623277628071132,22.548327833533403,0.06202555377686746,1.2272012182425585,0.08793133308364454,0.08999999999999947
2e,2s,-11.764990139591811,0.06531951460615305,-9.993784957316562,0.0620192826561801,-1.771205182275249,0.09007236207389369,-0.4100000000000002
2e,2r,-4.182370168489631,0.0638128850559253,-2.423910373961069,0.06410708451289152,-1.7584597945285618,0.09045331715257185,-0.08999999999999947
2aa,3flw,21.891383983449156,0.06565311382314834,24.8898797606326,0.06566386217689281,-2.998495777183441,0.09285512452558149,-1.4099999999999995
2e,2m,37.19996263726563,0.06519981710409235,39.930516699158865,0.0654249138853447,-2.7305540618932405,0.09236577021446779,-0.2600000000000017
2c,3flz,4.099402492954136,0.07099217797083551,3.4645239794151887,0.06917083840039194,0.6348785135389469,0.09911858664274789,0.9700000000000006
2e,3flz,0.02400455382884313,0.0391279188407204,1.1604318258053028,0.03927357664029602,-1.1364272719764597,0.055438324784639795,1.2099999999999986
2bb,3fly,25.874006472615417,0.07334548782120236,26.30398944597824,0.07038727469400442,-0.4299829733628194,0.10165593451726948,-2.36
2ee,2f,-0.6440272270015928,0.06345919906114765,-1.3177173967076654,0.06210794475300536,0.6736901697060727,0.08879451980232073,3.779999999999998
2ee,2e,1.7770281577671132,0.058118431799708235,0.4324770316415406,0.057599248287731365,1.3445511261255725,0.08182557985232407,1.5599999999999998
2bb,2z,10.270152968009656,0.08686191561447167,11.242772992928877,0.08708972237041308,-0.9726200249192215,0.1230024882950391,-1.2999999999999998
2ee,2h,-6.153256072326459,0.06752768834209469,-8.719730854106787,0.06886995750807426,2.566474781780329,0.09645237031815769,2.7799999999999985
2f,3flz,2.4835046200572846,0.040467877187058694,3.0355397867966007,0.03902209288343804,-0.5520351667393159,0.05621719325109118,-1.0099999999999996
2f,3fln,1.7482199633042912,0.05047467330851714,2.4671666752781105,0.05017766787543115,-0.7189467119738191,0.07117226284879953,-2.4000000000000004
2f,2k,-7.608888006505888,0.06324724431026663,-8.630512607003737,0.06423552589423567,1.0216246004978502,0.0901466399803763,-2.07
2f,2c,-1.1044843485735112,0.07260908577616167,-0.7391895379426972,0.0713164799999721,-0.3652948106308141,0.1017748478595592,-1.9800000000000002
2f,2ff,8.723723611482287,0.07283797339507832,7.5877494964624,0.07133628890963728,1.135974115019886,0.10195212839220855,-2.9599999999999977
2f,2m,39.34888504578174,0.06882927738457584,41.71646256878326,0.06977477605083572,-2.3675775230015144,0.09801014640447774,-2.48
2f,2s,-10.108156101851733,0.06694315764255158,-7.8877031501687735,0.06768429307132258,-2.2204529516829594,0.0951974258250726,-2.6299999999999986
2g,2i,-2.3653007969866513,0.04815430825624897,-4.609067580597488,0.04799676468040529,2.243766783610836,0.06798916695639129,0.6099999999999994
2g,2c,-5.504704307812629,0.07360711295244539,-5.512562185963945,0.07026602136114447,0.00785787815131553,0.101761096864759,0.1999999999999992
2g,2k,-12.138368634053485,0.058404962026072746,-13.665711071936926,0.060714170830913565,1.52734243788344,0.08424577217256872,0.10999999999999972
2f,3flq,-32.791842251352094,0.08295572151243104,-32.267344936008065,0.08329733428428758,-0.5244973153440282,0.11755891131903343,-1.4499999999999984
2ff,3fly,-22.55756073527746,0.06838491012845434,-21.259732135866507,0.068299888610856,-1.29782859941095,0.09665076677156842,0.01999999999999856
2g,3fln,-1.9954919109162685,0.04091318414502507,-2.740074090378408,0.03901203064151279,0.7445821794621396,0.05653164752295004,-0.22000000000000114
2g,2p,-29.831678229040183,0.06985543612062725,-29.332856463513433,0.0677139640549411,-0.4988217655267495,0.09728804080480236,-0.5399999999999985
2g,2m,35.61490972264421,0.06542327551762755,36.62596245514118,0.06567811994427598,-1.0110527324969703,0.09270286089905806,-0.3000000000000005
2g,2o,-31.419981101808254,0.06708277631353447,-30.50959305899683,0.06636797537385947,-0.9103880428114223,0.09436528510610731,0.1700000000000005
2gg,2e,16.41171768841343,0.06438817205369451,19.162455127687462,0.06361522606419724,-2.7507374392740322,0.0905137209908812,-0.03999999999999882
2g,3fmk,-4.14819394621003,0.07582643639395933,-3.9910998589219435,0.07671092783550687,-0.15709408728808727,0.10786201790060997,-1.17
2h,2i,7.418947671922916,0.04885929357882261,7.888632448146381,0.04971673596458321,-0.4696847762234648,0.069706415802232,-0.5700000000000006
2gg,2g,18.76899454218977,0.06309174303250278,21.24799608673195,0.06252426530541146,-2.4790015445421796,0.08882483769115958,0.0
2j,2i,2.5155464633483375,0.04065821798248776,2.7398571599940333,0.03956560268869433,-0.2243106966456959,0.05673206858233804,0.02999999999999869
2gg,2f,14.071459576924346,0.06660913058715726,15.33377648840841,0.06586078629253014,-1.2623169114840638,0.09367187117084454,2.1799999999999993
2h,2k,-2.1433686882408196,0.06605798219544061,-1.0973656392725364,0.06755149912893404,-1.0460030489682832,0.0944820726185636,-1.0700000000000003
2j,2f,0.20669761236685172,0.05843156973411376,2.576974200905617,0.0586011891015764,-2.370276588538765,0.08275474430938273,1.5999999999999985
2j,2e,3.359184860335071,0.05073388087660878,4.1690262343149405,0.053123598963113264,-0.8098413739798693,0.07345776633954791,-0.6199999999999996
2h,3fln,8.148382609628003,0.05726234841038033,9.859284636944974,0.05687868232874074,-1.710902027316971,0.08071035279891664,-1.4000000000000012
2o,2n,19.27347808474023,0.06506708064219226,19.409742040964424,0.06423852921293075,-0.13626395622419274,0.0914347506079505,-1.359999999999999
