mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
17b,17d,11.856520577929572,0.05316370082536352,12.11429252559939,0.051945694867625715,-0.25777194766981804,0.0743285564283959,0.1909999999999979
17b,17c,-5.359746139779473,0.04271023041875978,-3.178639465576524,0.04476852358067416,-2.181106674202949,0.06187394028197114,-0.1637000000000001
17c,17d,14.699122642011632,0.05581255380618372,13.071386097158245,0.05687087954870389,1.6277365448533885,0.07968273403323545,0.35469999999999796
17a,27a,16.70686492880796,0.06717610243434244,15.911945018527327,0.06707630784506562,0.7949199102806346,0.09493081592610104,1.7872
17e,17g,-15.314793821482787,0.05917481814445284,-13.09009114579074,0.05604195059409234,-2.224702675692047,0.08150067072619557,0.8321999999999986
17b,27b,20.476925797967837,0.07389063209090149,19.221599693844144,0.07462076668522145,1.2553261041236903,0.10501468626569913,1.6098599999999987
17c,17e,18.878029478270772,0.06300783117282552,17.78566573024598,0.05944655136826296,1.0923637480247919,0.08662493439352674,-0.20459999999999923
17a,17c,6.2876904426263485,0.07242987371899696,9.043316443223809,0.07301417011508252,-2.7556260005974615,0.10284529957438042,-0.8048999999999992
17f,17g,-13.822437617184704,0.061217736678773164,-11.906408810412598,0.06200389987558572,-1.9160288067721067,0.0871326281243328,0.5183999999999997
17d,27d,19.488589962496746,0.07300957985520917,19.694082206586444,0.07065624515041413,-0.2054922440896976,0.101600707327211,2.114620000000001
17c,27c,19.47827702870219,0.07175730176788109,18.945311556568726,0.0754836961505081,0.532965472133465,0.1041484456991509,1.7325999999999993
17e,27e,19.591024055811626,0.07279253164852982,19.088221977587907,0.0722978121869791,0.5028020782237193,0.10259496240472003,2.5920599999999996
27a,27b,12.72811229089083,0.06999804968837743,13.879354792365177,0.06888421285958862,-1.1512425014743473,0.09820774786879938,-0.8185400000000003
27a,27d,24.146327680956556,0.07243023012400088,25.338885275291503,0.07181677568862624,-1.1925575943349462,0.10199895835804491,-0.12278000000000025
17f,27f,19.77608527390656,0.07348331685142237,18.668727515478288,0.0731047060921461,1.1073577584282708,0.10365373079781354,2.537470000000001
27b,27c,-5.451916435927191,0.06443238813316703,-3.4213347681227706,0.06310273000083494,-2.0305816678044204,0.0901858479701852,-0.040959999999999594
27c,27e,19.43369841219139,0.061328670291464625,17.723968429999726,0.06048622514575141,1.7097299821916614,0.0861381984493622,0.6548600000000009
17g,27g,19.993056171771116,0.07417435334582122,19.17200985268225,0.07389282129470283,0.8210463190888619,0.10469949251625639,-1.1322999999999994
27d,27g,-6.631601787615801,0.05614036581757101,-3.0088663991984315,0.053102369812246156,-3.6227353884173694,0.0772761434972479,-2.974019999999999
27d,27f,4.528573378845519,0.05866839037316697,5.046444444821465,0.05472317518942245,-0.5178710659759467,0.08022846085891547,0.17735000000000153
8b,8d,10.280370637009483,0.0531756219137727,11.56112022553412,0.0523144193312295,-1.2807495885246367,0.0745952092019335,0.16370999999999877
27f,27g,-13.684469440155855,0.06195798439864425,-11.540619378614071,0.06143582157787794,-2.1438500615417833,0.08725337817925158,-3.1513700000000004
27d,27e,4.655444821068984,0.07458597800404715,4.894861051770913,0.07485617619869862,-0.2394162307019289,0.10567173335339408,-0.08185999999999871
8b,8e,15.033016513454108,0.057351197516488824,16.56330833784523,0.058298973689020164,-1.5302918243911228,0.0817797663836745,0.0954999999999981
8a,8b,13.37236723237959,0.07088916794700327,14.357708492255709,0.07015744739240916,-0.985341259876118,0.09973636025460872,-0.7230499999999991
8a,17a,-11.842060644748088,0.07112079061970912,-9.277860828538337,0.06776276977271674,-2.564199816209749,0.09823420903963506,-3.1514499999999996
8c,8d,13.639123801966976,0.05494174906322492,12.644666479688574,0.05553944846441072,0.9944573222784018,0.07812314718351605,-0.0409300000000002
8a,8c,7.123193095248797,0.07444384143105312,10.20294129262681,0.07327301652766993,-3.079748197378014,0.1044548729264268,-0.5184100000000001
8e,8g,-15.407485042211432,0.059390333869637636,-13.420060858036623,0.05706318666681851,-1.9874241841748101,0.08236151425100927,-1.9371999999999985
8d,8f,3.216669846491906,0.05833040887862391,5.528013839505562,0.055449531318411314,-2.3113439930136552,0.08048035240590665,0.8867600000000004
8c,8e,18.05606329128499,0.06106533983310434,17.658758034372628,0.06018156063293787,0.397305256912362,0.0857367830580813,-0.10914000000000088
8f,8g,-13.006089689642051,0.06336937137364015,-11.57547363733262,0.061766204927547745,-1.4306160523094331,0.08849147585752058,-2.8921699999999997
8g,17g,-9.708946861577019,0.07930271144484889,-6.965727004684121,0.07726006804646222,-2.7432198568928983,0.11071602484305937,-0.764
8f,17f,-7.365687950296335,0.08151472885973138,-6.496388482899259,0.0768560892873346,-0.8692994673970758,0.11203351945564449,-4.174569999999999
