mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
CHEMBL3402757_6.5 redocked,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccc(F)c4)ccc3=O)c2)nc1,-11.135549397977234,0.05801920702808309,-11.1692
CHEMBL3402758_10 redocked,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccnc4)ccc3=O)c2)nc1,-11.584545492372103,0.06288202857452375,-10.914
CHEMBL3402756_2.7 redocked,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nc1,-11.82235342715224,0.061420619915524284,-11.6897
CHEMBL3402760_1 redocked,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccc(C#N)c4)ccc3=O)c2)nc1,-12.82665632474342,0.067793951516067,-12.2782
CHEMBL3402759_5.7 redocked,COc1cccc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCC[NH+](C)C)cn4)c3)n2)c1,-12.052590462310986,0.06275517350743623,-11.247
CHEMBL3402741_400,CC[NH+](CC)CCCOC(=O)Nc1cccc(CN2N=C(c3ccc(OC)c(OC)c3)CSC2=O)c1,-10.597165293458666,0.07632353997511106,-8.72837
CHEMBL3402763_90,CC[NH+](CC)CCCOC(=O)Nc1cccc(CN2N=C(c3ccc(Cl)cc3)CSC2=O)c1,-9.44090035880599,0.08426552836825048,-9.61215
CHEMBL3402742_23,C[NH+](C)CCCOC(=O)Nc1cccc(CN2N=C(c3cc(F)cc(F)c3)CSC2=O)c1,-9.981797821586573,0.07315381429274197,-10.4205
CHEMBL3402764_90,C[NH+](C)CCCOC(=O)Nc1cccc(Cn2nc(-c3ccc(F)cc3)ccc2=O)c1,-7.459980335589858,0.046671790037931794,-9.61215
CHEMBL3402743_42,C[NH+](C)CCCOC(=O)Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1,-8.9456922465965,0.08927040146255479,-10.0637
CHEMBL3402765_11-charged-pKa-8.1,O=C(Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1)OCCC[NH+]1CCOCC1,-8.948869573786082,0.07922678928066938,-10.8575
CHEMBL3402762_1 redocked,C[N@H+]1CC[C@H](COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,-14.074569265620335,0.07690789366790078,-12.2782
