mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
10,Example 23,-11.172483466487185,0.060273551232873666,-10.578368534845648,0.060966577174157655,-0.5941149316415376,0.08573111751607096,-1.5860599999999994
11,Example 23,-7.736932427450065,0.0671904198553439,-5.289092790333697,0.0681084282264309,-2.4478396371163678,0.095672935126985,-2.3862499999999995
4,6,-11.208015185018908,0.08177008726815907,-11.104468643746296,0.07849973062178223,-0.10354654127261334,0.11335146615520562,-2.20797
7,6,-23.77784166048834,0.06826089302334401,-24.259534009930224,0.06775847149344719,0.4816923494418846,0.09618087115155856,-0.9535700000000006
4,Example 27,67.79514303678924,0.06906219144114593,66.62104375992979,0.06938263377474153,1.174099276859449,0.09789553695737817,-2.6964599999999996
Example 1,Example 4,-5.796252787651087,0.07347811519983694,-5.348134776104586,0.06829533003971913,-0.4481180115465019,0.10031592853856595,0.7870899999999983
Example 1,Example 5,3.502902701899543,0.05261398688939625,1.996963945066297,0.04730217920889934,1.5059387568332463,0.07075116800667243,1.4250899999999995
4,Example 14,44.759796651089026,0.10434664568035873,50.48179092355194,0.09461278871827504,-5.721994272462914,0.1408538329396516,-3.9561600000000015
Example 1,7,18.223765364453474,0.07505321973280742,18.451596673621054,0.07195984846232016,-0.2278313091675821,0.10397694736325525,1.91171
Example 1,Example 3,-5.943464028724849,0.07517743931886402,-5.78865770659834,0.07275800969665651,-0.15480632212650944,0.10462014795229571,0.7723099999999985
3,6,-13.291675762527612,0.07756531955161007,-12.085841361060789,0.07526323848708524,-1.2058344014668236,0.108078369087932,-2.5671000000000004
Example 22,Example 1,-65.65099167033831,0.05313556891892751,-67.75024638272363,0.05249102138172373,2.09925471238531,0.07469066882840636,0.25065000000000126
Example 14,Example 27,22.004839894386393,0.08751331149326783,15.761844280325521,0.0837451003680242,6.242995614060872,0.12112729471167168,1.259700000000002
Example 22,Example 24,0.3231303168736454,0.04359372230918862,-0.599729098496745,0.04658873279720253,0.9228594153703905,0.0638037823990066,0.1616100000000009
Example 22,11,6.785442955896493,0.07176808146360975,6.228213528307767,0.071869220663304,0.5572294275887263,0.10156693554360105,2.8847400000000007
Example 14,3,-44.19466191375017,0.09315541804865461,-49.910256029900296,0.09129940774576215,5.715594116150128,0.1304358607383205,4.315290000000002
Example 22,Example 25,2.2121440974638205,0.05672190721480256,0.7877202618210457,0.05390798470903044,1.4244238356427747,0.0782524477155426,0.3689199999999997
Example 22,Example 26,0.1541882831728153,0.056101487554761444,-0.6761416203808082,0.05378281887759975,0.8303299035536235,0.07771723433240373,0.27978000000000075
Example 22,10,11.175541371293408,0.06474930575737134,11.796589390890656,0.06482813181865675,-0.6210480195972486,0.09162510175251483,2.0845500000000006
Example 26,Example 24,3.8143815769582425,0.05838681812996244,3.6090910075436335,0.05806738233800615,0.20529056941460894,0.08234586463769446,-0.11816999999999987
Example 24,Example 25,-3.2442728431957994,0.0536209532185073,-3.2938678790614677,0.05464248930186472,0.049595035865668206,0.07655722213590138,0.20730999999999877
Example 2,Example 30,32.62522782098286,0.04659972294640301,36.68656106276326,0.0466003973333379,-4.061333241780402,0.06590243705893194,-0.8808799999999991
Example 26,Example 25,-0.3684281109815997,0.060618644585204495,-1.1601615943810053,0.05947666533580743,0.7917334833994056,0.08492404718814912,0.08913999999999891
Example 28,Example 23,-22.496391080983763,0.08298136218950682,-23.317324289355344,0.08224695625699062,0.8209332083715809,0.11683521851036802,-0.28298999999999974
Example 29,Example 23,-9.660528148400882,0.0812146404695699,-9.431122314223453,0.08205613037574479,-0.22940583417742919,0.1154514025849956,-1.11756
Example 2,Example 6,-8.878447881151322,0.04704275626050362,-7.533673770947366,0.04531993237113634,-1.3447741102039568,0.06532164409068042,-0.7930399999999996
Example 22,Example 9,-10.689191404711826,0.07804013907530277,-6.096806236829901,0.07634861460114703,-4.5923851678819245,0.10917588679927027,0.44473000000000024
Example 22,Example 28,23.170374820727393,0.08599458542305717,24.666806110502964,0.08477568760380731,-1.4964312897755714,0.12075589397947334,0.7814800000000008
Example 4,Example 3,-0.5488580486108158,0.03833642500898873,-0.1571256971002191,0.03646475315893802,-0.39173235151059665,0.05290897566020435,-0.014779999999999875
Example 22,Example 29,10.094680610243811,0.08602552977673278,10.817618388605611,0.08313377369821003,-0.7229377783617998,0.11963116693685111,1.616050000000001
Example 6,6,0.037935159281220134,0.06080015367207112,0.5854296756635927,0.05700195985399656,-0.5474945163823726,0.08334195890272857,1.0392200000000005
Example 30,Example 3,-39.64461702203102,0.07459567661252169,-43.67441452827392,0.07310664687297608,4.029797506242895,0.10444662170836325,0.9412299999999989
Example 6,Example 5,10.16721906716762,0.05926581117727591,7.94218538536661,0.058361734215156245,2.2250336818010092,0.08317769169134871,1.5061700000000007
Example 30,Example 5,-30.768721550588523,0.05568983135400038,-35.701872941551066,0.05338440582856727,4.933151390962546,0.07714435884694469,1.5940100000000001
Example 2,Example 4,-8.516561016230995,0.07317310989599775,-6.267144552689295,0.07262335188023358,-2.2494164635416984,0.1030943997032428,0.07512999999999972
Example 8,Example 23,7.332834713310156,0.06918656879427099,3.327359443626294,0.07027648380878125,4.005475269683862,0.09861828166242953,0.9719899999999997
Example 9,6,-59.61156497142154,0.06464982871090576,-66.55738929354328,0.06497187221803902,6.9458243221217435,0.091656666598053,0.7640600000000005
Example 9,Example 8,4.02372725627098,0.05189651170503623,3.8305774666665164,0.05322356604845121,0.19314978960446313,0.07433704265078622,-0.9182299999999988
SHP099-1 Example 7,10,14.8046653594875,0.04426866072612227,14.288163921498967,0.04676242898495786,0.5165014379885332,0.06439284965784436,2.598369999999999
SHP099-1 Example 7,11,11.434208409303219,0.05798081737035507,8.89940792287681,0.05865247212874372,2.534800486426409,0.0824735573971896,3.3985599999999994
Example 6,7,25.112117600001458,0.07721396621347154,24.990081037134747,0.07550403635276245,0.1220365628667118,0.10799470396262216,1.992790000000001
SHP099-1 Example 7,Example 30,-27.421021428486892,0.040311246920650246,-26.585856880332628,0.04359972954410481,-0.8351645481542667,0.059379567568455055,0.5955499999999996
SHP099-1 Example 7,Example 28,27.33081576893487,0.08059276898374501,27.278390549979925,0.07677262015863011,0.05242521895494392,0.11130691631021224,1.2952999999999997
SHP099-1 Example 7,Example 8,-4.256887988849212,0.06082366341913149,0.3277477576330634,0.05967391930545638,-4.5846357464822765,0.08520853640919972,0.04032000000000021
SHP836-2,3,-0.30961364205353453,0.05567246026379816,1.1588912643621025,0.05648275715817471,-1.468504906415637,0.07930778453603102,1.2502700000000004
SHP836-2,Example 27,65.97963176697509,0.045006443639768294,66.6279478814958,0.04666160694420477,-0.6483161145207188,0.06482966552215969,-1.8053199999999994
SHP099-1 Example 7,Example 29,13.972608978654293,0.07637835439794247,13.289292724314748,0.07631165801802668,0.683316254339545,0.10796815349906635,2.12987
SHP836-2,6,-12.46039953578332,0.0703664310369846,-10.821161438024479,0.06802118928228733,-1.6392380977588419,0.09786887558493491,-1.31683
