mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
CHEMBL3264995,CHEMBL3265001,18.064003761628033,0.0649128729197784,19.4039405894,0.06201956896349701,-1.3399368277719688,0.08977810426332951,0.3435000000000003
CHEMBL3264995,redocked CHEMBL3265000 ground state,-7.445735234107608,0.0661070268549669,-8.054224512852947,0.06363459619985527,0.60848927874534,0.09175783799284914,0.5704000000000015
CHEMBL3264997,CHEMBL3265001,10.164414731663399,0.07032893081632803,10.389574348741608,0.06981271394846007,-0.22515961707820906,0.09909577962061435,-1.0549999999999993
docked CHEMBL3264994,CHEMBL3264995,-10.442569913539025,0.07426709660073746,-7.318280802342308,0.07438131495506053,-3.1242891111967164,0.10511033085261973,-2.576540000000002
CHEMBL3264997,CHEMBL3264995,0.23946819745322367,0.0702224833175556,-0.10637226129277867,0.06709552937871878,0.34584045874600233,0.09712366975096692,-1.3984999999999994
docked CHEMBL3264998,CHEMBL3264997,1.9080082491442043,0.07079418635801056,1.228662282706572,0.06958820166210908,0.6793459664376322,0.0992690013682977,0.729099999999999
docked CHEMBL3264998,CHEMBL3265001,17.416603415556963,0.07315187975505122,17.143725723722177,0.07289748913732279,0.2728776918347845,0.1032726557914706,-0.32590000000000025
docked CHEMBL3264998,redocked CHEMBL3265000 ground state,-15.92313914201815,0.07729768327842061,-15.93989950025206,0.07780114979494263,0.01676035823391182,0.10967201443224305,-0.09899999999999907
docked CHEMBL3264994,redocked CHEMBL3265000 ground state,-17.721753217271736,0.0870014205853987,-15.057354627764834,0.08373295925857671,-2.6643985895069036,0.12074955755643954,-2.0061400000000003
docked CHEMBL3264998,docked CHEMBL3264994,8.483920521498101,0.08686888673242506,5.9982495034919765,0.08562717078998199,2.485671018006125,0.12197629220314757,1.9071400000000012
