mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
5a,5d,-2.0609301281974783,0.03901592614485829,-1.9830632731447793,0.038789548496608615,-0.07786685505269886,0.05501701160106561,-0.12659999999999924
3a,3b,-1.9637801561720747,0.039043942101750266,-2.0765463801390287,0.038783026857906286,0.11276622396695414,0.05503228676973098,-0.522800000000001
1a,1b,-0.41626825333803663,0.046749840059499184,1.6458015283686616,0.04838683012845254,-2.062069781706698,0.06728174251212937,-1.3866100000000006
5a,5j,0.7768840525231027,0.047584601502391896,1.6258857135827467,0.04908648425420255,-0.849001661059644,0.06836502933941821,-0.32590000000000025
1b,5a,2.438271036685157,0.05242185618822425,3.7852953887231644,0.05203094609260232,-1.3470243520380072,0.07385980204082702,-0.8213299999999993
3b,5a,-13.32951455056048,0.05072417524281248,-13.755897131201138,0.050292830231330944,0.4263825806406566,0.07143046077648545,0.7607999999999997
3a,5b,-15.1117657036481,0.05210188336631296,-14.937732897269292,0.05459709457788147,-0.1740328063788067,0.07546819851210848,0.5220999999999996
1a,5a,-5.150424721112572,0.05696746751066065,-1.6615570147447765,0.058489970684569736,-3.488867706367796,0.08164783539849667,-2.20794
1b,5b,2.4207750763054756,0.05981322166676747,4.507696092533251,0.05941988901509501,-2.0869210162277754,0.08431099985603344,-0.5372299999999984
3b,5b,-13.028836305540741,0.055684027600655404,-12.903774426091356,0.05631295475725736,-0.12506187944938427,0.07919507436276241,1.0449000000000006
1a,5b,-4.358295802122783,0.062267601541379974,-0.7010088323086141,0.06388822290767712,-3.6572869698141695,0.0892129992098523,-1.923839999999999
5a,5k,-0.06231592896440026,0.046598702118974274,-0.03002383824493019,0.0486167907401732,-0.03229209071947006,0.06734264162510026,-0.2048999999999999
3a,5c,-12.839759193977669,0.061828135228864635,-12.990865793943135,0.06202557254975023,0.15110659996546488,0.0875779079220502,1.0360899999999993
5a,7,-4.216771569488718,0.04837030055852813,-6.089853810751189,0.04660131886227769,1.873082241262471,0.06716672461737302,2.36169
5b,5j,0.6977218192196434,0.03923629227031821,0.6360274334141606,0.03837317085825634,0.061694385805482914,0.054881571340831395,-0.6100000000000011
5b,5h,8.755244623061264,0.055099097886146885,7.018693396317864,0.05639711613596384,1.7365512267434007,0.07884507147768077,0.42460000000000037
5b,5k,-0.194889750365234,0.052702737488146266,-0.9339189479532267,0.05284553025710271,0.7390291975879927,0.07463396416443935,-0.4890000000000007
5a,5p,10.543174983114358,0.06939031680266942,10.721738018242124,0.0686019616087112,-0.17856303512776533,0.09757686817344526,0.2552000000000012
5a,5n,4.665557790866805,0.06673557608524981,4.747178913676607,0.06619741707178307,-0.08162112280980201,0.09399859117245198,0.04389999999999899
5b,7,-4.175726810018613,0.050778931066910504,-7.164898095198554,0.05366485269378595,2.9891712851799404,0.07388109538267414,2.0775899999999994
5b,5m,-1.4270620924450805,0.056806669190409935,-1.9492022065278236,0.05751553461690337,0.522140114082743,0.08083955954096286,-2.2145000000000015
5d,5m,0.5684052312141791,0.049446796231562874,0.8982756724057548,0.052866907032450346,-0.3298704411915757,0.0723871225891971,-1.8038000000000012
5c,7,-6.875076342217103,0.059747174015208106,-9.00958737361771,0.060695845284638957,2.1345110314006073,0.08516871748253808,1.5635999999999994
5d,5c,4.459777809928048,0.05781651567921011,4.836701510141195,0.06034318878185995,-0.37692370021314675,0.08357062831909029,0.9246899999999999
5e,5j,3.2043584416686803,0.05024254773655862,4.6949391882857645,0.05104804503586921,-1.4905807466170846,0.07162552970166786,-0.9768000000000004
5f,5g,-2.721641124446348,0.0422108088320837,-2.518420137049458,0.04359202192851973,-0.2032209873968898,0.060679623911781624,-0.5428999999999982
