mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
18 docked,19,-11.08206226906365,0.03300124099410035,-12.000091427921626,0.035608994930297684,0.9180291588579776,0.048549793275529565,-0.6998199999999991
16 docked,19,-1.5388206172172432,0.040369944827534775,-2.7343582085460345,0.039643264116774976,1.1955375913287913,0.0565802159346408,1.532200000000001
13 docked,11 docked,6.060553278044268,0.049569351323986606,4.892527118859158,0.04932845911519609,1.1680261591851095,0.06993151985593037,-1.0578500000000004
13 docked,12 docked,-1.2161724634839988,0.04983297157530084,-0.16102039257170675,0.04938181730785781,-1.0551520709122921,0.07015617532798797,1.3084200000000006
16 docked,17 torsion adjust,5.390531124576844,0.049810450161574295,5.615377025838904,0.050016325585111064,-0.22484590126205953,0.07058834018685035,1.4577000000000002
12 docked,11 docked,7.482211223509106,0.06713040858723698,4.896340370121643,0.05977795699429576,2.585870853387463,0.08988824116368756,-2.366270000000001
18 docked,17 torsion adjust,-3.6334212446137406,0.05258290882261876,-3.7127804213834286,0.05352377813216213,0.0793591767696879,0.07503170746950089,-0.7743199999999999
14 docked,13 docked,2.512974675568213,0.06275963973060388,5.3192507981364585,0.06146868090832392,-2.806276122568245,0.08784743087720061,0.9492500000000005
16 docked,15 docked,-2.563862112021755,0.055059650405624196,-2.1556082108680847,0.05593268148713693,-0.40825390115367005,0.07848585835124097,1.7378000000000007
14 docked,20,8.183567082052193,0.05678980812527027,10.692178760178534,0.05665242364599787,-2.5086116781263397,0.0802158301825184,0.7878000000000003
14 docked,12 docked,1.708626466880275,0.06450753766452899,5.413582747236259,0.06485083385157785,-3.7049562803559843,0.09147050380743282,2.257670000000001
14 docked,17 torsion adjust,4.398505513283361,0.06281843761065299,6.03413400460899,0.06298822361660456,-1.6356284913256298,0.08895882428527753,0.5462000000000004
19,15 docked,0.030925623723682117,0.05466880568808511,0.5759605090424561,0.056594897638564734,-0.545034885318774,0.07868710665719783,0.20559999999999976
21 (Xtal),11 docked,11.453721475857664,0.059625704399952247,10.349143901434518,0.05811342598898866,1.1045775744231465,0.08326100471029729,2.0898999999999996
21 (Xtal),22,-1.2945951882150726,0.0412810188153741,-1.7912362210989614,0.04077076202189982,0.49664103288388883,0.058020492502922266,0.0
20,15 docked,-16.685386333787513,0.06267507470145227,-16.57357019706421,0.06170947058027907,-0.11181613672330526,0.0879558056533561,0.03850000000000058
21 (Xtal),14 docked,1.3300722421305742,0.0641026550377972,0.5403975679701757,0.0654023452346685,0.7896746741603985,0.0915784753372188,2.1984999999999997
22,11 docked,11.581487950346114,0.0645803660400405,11.821689773811018,0.0627342822521505,-0.2402018234649025,0.09003451475716466,2.0898999999999996
24 pose 2,20,10.632369588417893,0.05611129747158242,2.688287232210153,0.05299074948842606,7.944082356207739,0.07717834693286413,3.095
24 pose 2,14 docked,-2.2845104851760016,0.06446189492665687,-12.478140480532211,0.06543742377882562,10.19362999535621,0.09185527926224472,2.3072
22,14 docked,4.462433469793037,0.06827871633804551,1.9118916518821112,0.06739692556638141,2.550541817910926,0.09593919261996965,2.1984999999999997
24 pose 2,18 docked,6.049347555631627,0.07584794688455644,-2.7865250396346974,0.07501018922307394,8.835872595266324,0.1066744558640158,3.62772
