mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
cmpd 11,cmpd 10,1.5184956991119152,0.04949397174470721,-0.6439297348669757,0.04419548835994179,2.162425433978891,0.06635430981058899,0.0
cmpd 16,cmpd 15,1.6585340315109574,0.048591399106073116,1.6418435004551906,0.045323703522597895,0.016690531055766813,0.06644819160887704,0.7200000000000009
cmpd 12,cmpd 10,0.31903450885891277,0.049894177979642865,-1.4221875129414312,0.0471885680472765,1.7412220218003438,0.06867452184483504,0.0
cmpd 16,cmpd 13,-2.054178438284276,0.05138499574878599,-0.777681884594525,0.049376037013759304,-1.2764965536897506,0.07126296948125922,0.17999999999999894
cmpd 14,cmpd 11,-3.8030854119928605,0.05294895246803102,-1.7587060366119085,0.05172648718439049,-2.044379375380952,0.07402176061063882,-1.369999999999999
cmpd 13,cmpd 10,6.294985644223479,0.057802588165723284,3.837130727375225,0.056374862837086655,2.457854916848253,0.08074196157238532,0.9600000000000005
cmpd 14,cmpd 15,-3.563835285659883,0.055226381556313354,-1.3147353842963516,0.055885055216629134,-2.2490999013635316,0.07856903089875295,-1.7899999999999978
cmpd 11,cmpd 8,-18.8537532899929,0.06449009902451,-25.93633371663669,0.06520547708459508,7.082580426643791,0.09171001643234375,2.3299999999999996
cmpd 12,cmpd 8,-18.437493067258306,0.06516186373660798,-27.295555828709386,0.06518366053622762,8.85806276145108,0.09216820539931558,2.3299999999999996
cmpd 15,cmpd 17,-1.621047118446081,0.05807286700548915,-0.9191620166055278,0.05708789972322236,-0.7018851018405534,0.08143393750179297,-1.130000000000001
cmpd 14,cmpd 17,-4.791910535412969,0.062220908639181574,-2.413052588457771,0.05930530374601989,-2.378857946955198,0.08595673635203387,-2.9199999999999986
cmpd 14,cmpd 12,-3.6053826745440056,0.061997990851231095,-0.8868167770957968,0.061211444444818214,-2.7185658974482085,0.08712400243681646,-1.369999999999999
cmpd 7,cmpd 8,39.91985648870727,0.04014817718906968,36.65251637920623,0.04120333037094999,3.26734010950103,0.05752904105982112,2.549999999999999
cmpd 16,cmpd 17,-0.05206039706658,0.04755108103382017,0.5408693482349273,0.048647265784255385,-0.5929297453015073,0.06802691949345432,-0.4100000000000002
cmpd 9,cmpd 12,-4.358922937676281,0.053711970342913265,-1.7115543011995116,0.054582385552942494,-2.64736863647677,0.07657814682249799,-1.2699999999999996
cmpd 9,cmpd 13,-7.993509842304193,0.048980906931705676,-4.469069739444406,0.051372315254541126,-3.5244401028597863,0.07098058902590462,-2.23
cmpd 7,cmpd 12,57.44407881249364,0.06859078064622288,63.86075096492272,0.06473810845634322,-6.416672152429083,0.09431711337908684,0.21999999999999945
cmpd 9,cmpd 7,-62.66382748066548,0.06643360802178044,-64.72323782815637,0.06308435331451662,2.0594103474908914,0.09161364476922819,-1.4899999999999989
