mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
ejm_31,CC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.824236551654485,0.04927733888119567,-9.54
ejm_50,O=C(CO)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.645617306517568,0.040583808844474184,-8.98
ejm_43,CC(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-8.849770151799401,0.05112017569720625,-8.26
ejm_42,CCC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.469660679073279,0.040764762379645325,-9.78
ejm_44,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-7.529019707889145,0.05454765879632579,-7.42
ejm_54,CCNC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.699015406605715,0.047662124700243926,-10.53
ejm_48,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(Cl)cccc1Cl,-8.910319313756627,0.05282442974790076,-9.0
ejm_49,O=C(Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1)c1ccccc1,-8.339118998879991,0.05802964642771505,-7.75
ejm_45,O=C(CC1CC1)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.250436672354375,0.04539255334458233,-9.56
ejm_46,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Cl,-10.663741789493775,0.05587812800624461,-11.31
jmc_27,O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2Cl)c1)c1c(Cl)cccc1Cl,-11.174154662014018,0.05153968600373967,-11.28
ejm_47,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(Cl)cccc1Cl,-9.764214899451837,0.05579802592389984,-9.7
ejm_55,COC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-10.393549058143023,0.047275330480999876,-9.21
jmc_23,O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2F)c1)c1c(Cl)cccc1Cl,-10.977949949715939,0.04946039997383852,-11.7
jmc_28,C[C@@H]1C[C@@H]1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-10.347067349977038,0.05125945066219968,-10.98
jmc_30,N#C[C@@H]1C[C@@H]1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-11.102127502673792,0.049240190331196095,-10.94
