mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
3a,CC(C)(C)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-11.27459435622301,0.045132089253711365,-11.064783886058404
3b,CC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.911146580468817,0.04659974582120196,-11.590833221531327
1b,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-9.184672950991308,0.0425724057175822,-9.99888857195475
1a,O=c1[nH]c(-c2ccccc2)nc2ccccc12,-7.187720066699426,0.05481327008055111,-8.603669024704221
5a,CC(C)(O)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-10.889632184660663,0.027980573616629967,-10.825348419607172
5b,CC(C)(O)c1ccc(-c2nc3cccc(F)c3c(=O)[nH]2)cc1,-11.511632198231936,0.02472318847202509,-10.539443848422694
5d,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.412769974251367,0.041304182319351325,-10.952673772248907
5c,CC(C)(O)c1ccc(-c2nc3cccc(Cl)c3c(=O)[nH]2)cc1,-10.602526999712076,0.0466978606998828,-10.022270579071401
5j,CC(C)(O)c1ccc(-c2nc3ccc(F)c(F)c3c(=O)[nH]2)cc1,-11.072427369604872,0.03913927352622823,-11.153266663063665
5k,CC(C)(O)c1ccc(-c2nc3c(F)cc(F)cc3c(=O)[nH]2)cc1,-11.276185457514893,0.04406714514460653,-11.03146992588755
7,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)nc1,-8.514362002772938,0.041033197814539756,-8.448957594650189
5n,CC(C)(OCCO)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.210046152713971,0.04939534614913204,-10.781167858036888
5h,COc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-9.867931225578088,0.04373550002330067,-10.1121858712117
5p,COCCOC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.843009359236598,0.0534390122558104,-10.568530825025436
5m,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-11.184997519921712,0.04410903399139323,-12.767710766284315
5e,CC(C)(O)c1ccc(-c2nc3ccc(Cl)cc3c(=O)[nH]2)cc1,-9.745585601865079,0.04268238107335322,-10.170394486166767
5f,CC(C)(O)c1ccc(-c2nc3c(F)cccc3c(=O)[nH]2)cc1,-11.67914728729197,0.03773558080871999,-10.326806815411242
5g,CC(C)(O)c1ccc(-c2nc3c(Cl)cccc3c(=O)[nH]2)cc1,-12.193055237431892,0.04182170980520554,-10.873067061365276
5i,Cc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-12.008958759667122,0.045188751701041856,-12.153887951643345
5l,CC(C)(O)c1ccc(-c2nc3c(F)ccc(F)c3c(=O)[nH]2)cc1,-12.093779800999423,0.03787332371608385,-10.155300901199226
5o,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)OCCO)cc3)nc12,-11.589233790551198,0.05245522975362831,-12.112756832843909
