mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
17,1oiu,-53.913504645102684,0.046914124920949006,-50.69296219049,0.04302182683516376,-3.220542454612683,0.06365385064026548,-2.04
1h1r,1h1q,2.6847274024575833,0.05331574495420909,1.0682692029514143,0.054200335281067935,1.616458199506169,0.07602792253246468,-0.5099999999999998
1h1r,1oiu,-52.3007659483378,0.04554888753783673,-50.6576839130829,0.043203020035133606,-1.6430820352549018,0.06277899406720892,-1.4100000000000013
1h1r,1oi9,-7.236488370933621,0.05677071334504092,-6.909462818758065,0.05615328741627147,-0.3270255521755564,0.07985052023223894,-2.070000000000001
17,20,-3.2618211490783344,0.06573091011326827,-3.463156138363799,0.06461902186315811,0.20133498928546467,0.09217467402095793,-1.6800000000000006
17,26,1.8793200510497308,0.0650919408431433,2.3707771580068573,0.06509031201145253,-0.49145710695712647,0.09205275379083185,-1.3900000000000001
17,21,3.2326853995606095,0.06566458235066794,2.4221323660516547,0.06643447518354371,0.8105530335089548,0.09340972576878992,-0.7899999999999991
1h1r,20,-2.1428261455502815,0.06319215068372132,-3.044693866971454,0.061687717945857624,0.9018677214211723,0.08830980949703054,-1.0500000000000016
1h1r,21,3.89377551710045,0.06266396399012465,2.6625733868051413,0.06090402704290771,1.2312021302953082,0.08738462618217734,-0.16000000000000036
1h1r,26,2.890425492646604,0.06327473311898432,2.7693716100707992,0.06065658952858308,0.12105388257580459,0.08765223160032895,-0.7600000000000013
1h1s,1oi9,44.312069177232566,0.06952896927376877,42.86513860818839,0.06611683158059,1.446930569044178,0.09594640684532581,1.5099999999999991
1h1s,1oiy,30.367948031240427,0.06370713713899154,28.549498780609053,0.06380845757172462,1.8184492506313747,0.09016717019031294,1.4600000000000002
1h1s,31,34.067245168339085,0.05328563531792802,31.785329323816082,0.05218765183433177,2.2819158445230046,0.07458491761218652,1.71
1h1s,29,39.1137092774878,0.06211324399625258,37.696541768373514,0.06088071921289218,1.4171675091142861,0.08697423211283344,1.369999999999999
1h1s,32,11.09343881254231,0.05107222409713221,8.807930551995836,0.04971662734937196,2.2855082605464725,0.07127492623092649,1.4999999999999991
21,20,-5.870075255604034,0.046730711228400744,-5.161468450228161,0.046460702334209035,-0.708606805375873,0.06589655706711965,-0.8900000000000013
1oiu,1h1q,54.919325467295906,0.06149898811197046,51.768012818170426,0.061391245047343224,3.1513126491254755,0.08689655060621927,0.9000000000000015
1oiy,31,3.0437819890352884,0.06586013457709575,2.4851073564515986,0.06587644434820161,0.5586746325836898,0.09315182900230606,0.24999999999999983
22,1h1q,-0.637865727705249,0.06025687190096076,0.5017493412814735,0.05807191517932633,-1.1396150689867224,0.08368535083205224,-0.31999999999999906
22,1h1r,-3.508035825616542,0.06944162875697336,-0.6945725744308728,0.0671087526313084,-2.8134632511856688,0.09656979074302405,0.19000000000000075
26,1oi9,-8.934265187325687,0.05635251516059844,-8.706307129517004,0.056333732978918395,-0.22795805780868342,0.0796812113127402,-1.31
22,32,-46.76970987342684,0.06837667185026369,-42.764535696424616,0.06763685833727714,-4.0051741770022256,0.09617751223157907,-1.8900000000000008
28,1h1s,-20.088853164976037,0.054203795761572804,-19.370539574546875,0.05563307381373667,-0.718313590429159,0.0776729706971928,-0.14000000000000012
28,30,5.265956473832682,0.053551837934176345,4.029009603707172,0.05304875393057092,1.23694687012551,0.07537884079577341,1.2999999999999998
30,31,12.002601096122628,0.044026533792514894,10.512431841864485,0.04460456251825912,1.4901692542581437,0.0626729820195971,0.2700000000000001
28,1oiy,10.27590675999496,0.06755523359077646,8.699720133180445,0.06601203419424471,1.5761866268145144,0.09445262433604747,1.32
30,29,15.953358314912833,0.062287208388408365,16.40965208559854,0.06031475844832385,-0.4562937706857079,0.08670390080902164,-0.07000000000000091
29,1oi9,4.554818809970417,0.07281509926983445,4.197613236786522,0.0694756645134602,0.35720557318389456,0.10064246937184479,0.14000000000000012
30,32,-15.446221180639801,0.059078317814398165,-14.25065831731649,0.05873859810015779,-1.1955628633233122,0.08330948650994613,0.05999999999999908
