mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
20667,23486,0.5345587516224307,0.0305899367662483,1.0448844450780543,0.031776871223039786,-0.5103256934556236,0.04410797859898732,-1.05
20667,23485,6.352654927598534,0.04263793725120024,4.17126398058718,0.04136968573262344,2.181390947011354,0.05940912884947326,0.4100000000000002
20669,23466,-11.849480949215897,0.06763091622150472,-14.136799185440749,0.06762809288655595,2.287318236224852,0.09564256257771866,0.7599999999999997
20670,23483,-5.640793333634115,0.07018531829799672,-4.316820420227859,0.07017572811213424,-1.3239729134062568,0.0992502479627094,-0.7899999999999984
20669,23470,-18.76538103614866,0.07198692191532492,-18.0128898943404,0.07047704706304385,-0.7524911418082605,0.1007428959756944,0.8899999999999997
23466,23468,1.5391568736360366,0.06223420105598042,3.7334371361070424,0.05934654273788496,-2.194280262471006,0.08599481330880251,0.0999999999999996
23330,20670,-25.84056989860487,0.08356760051864649,-27.140053711395016,0.08331800977732791,1.2994838127901462,0.11800607869808655,1.05
23330,23475,-22.9388489544944,0.08366970113025973,-24.49159480209597,0.08328390657403145,1.5527458476015705,0.11805434334008633,1.4099999999999995
23467,20669,5.587436796497444,0.06195115472815909,7.2523878177570476,0.060747226036168604,-1.664951021259603,0.08676503352873015,-1.2699999999999996
23466,23472,-18.2675277761237,0.07315782871149597,-16.778024963679712,0.07195279190828294,-1.4895028124439877,0.10261224179003815,-0.8000000000000002
23467,23471,-7.690271866769358,0.060660781827505485,-6.31344214289694,0.059630575217538735,-1.3768297238724176,0.08506195361440251,-0.4100000000000002
23467,23473,7.7446607873969,0.061379535550039055,10.834828424598216,0.058302344975610695,-3.0901676372013163,0.08465583744783123,-1.05
23467,23472,-24.44986872754724,0.07414197987054286,-18.02852657532852,0.07762163069856576,-6.4213421522187195,0.10734128158089276,-1.31
23468,23475,23.828617653415854,0.06364257212083925,25.1471457406368,0.06330370074558568,-1.3185280872209453,0.0897648902090505,-0.9700000000000006
23469,23473,3.247574063245095,0.055609021647199226,5.5049412151735755,0.053573418998890544,-2.257367151928481,0.07721706101496843,-0.6700000000000002
23469,23468,-17.92967405142751,0.06710697499513961,-18.33805890620046,0.06608626723622484,0.40838485477294667,0.09418461026205936,-0.030000000000000387
23469,23474,20.5626319936251,0.07203256518685638,21.128380557549995,0.0716856868465621,-0.5657485639248955,0.10162444659658464,-1.3899999999999992
23470,20670,21.88318799257512,0.07522647225345096,21.811480962396296,0.07384754285512386,0.0717070301788266,0.1054157564761482,-1.3600000000000005
23470,23330,47.10721802944984,0.07804752181820612,49.27452677984858,0.07681294708935162,-2.167308750398735,0.10950636740626041,-2.4100000000000006
23470,23475,24.22173697467837,0.07215260612872242,24.74140578748404,0.07157615615512633,-0.5196688128056672,0.10163239985904879,-1.000000000000001
23471,23472,-16.524469042247272,0.07712615863937426,-16.47678087793011,0.077291238323623,-0.04768816431716105,0.10918965092015367,-0.8999999999999998
23471,23476,36.48814443748912,0.07730271934230318,37.87199790695095,0.0743243171929951,-1.3838534694618345,0.1072371882507176,-1.6599999999999995
23473,23474,16.183558508881198,0.06693820099799111,15.994727820167244,0.06635600631248911,0.18883068871395353,0.09425413692029944,-0.7199999999999991
23477,23480,3.5839933146001535,0.05525935624178156,5.118682242672948,0.05578244750960792,-1.5346889280727951,0.07851928363413847,0.12999999999999828
23476,23468,-33.66844686517039,0.07460682293590022,-35.82248949390605,0.07261651203729184,2.1540426287356595,0.10411213113298046,1.6599999999999995
23477,23482,-12.442436187932515,0.05646907931868792,-10.693127223698985,0.05618873285131529,-1.7493089642335287,0.07966134959022941,-1.1600000000000015
23477,23468,-14.711930369670743,0.06919474262276323,-16.307467265467974,0.06678233446865724,1.5955368957972316,0.09616544391679399,1.099999999999999
23474,23476,5.754144713331224,0.08539985416778687,6.991975154625486,0.08442084959576109,-1.2378304412942622,0.12008336661815147,-0.3000000000000005
23480,20670,5.758640952518392,0.05879974284541671,4.2967779856322865,0.06049704374661613,1.4618629668861058,0.08436410410101633,-0.35999999999999954
23480,23479,1.0944938872260384,0.0574353318328048,0.7753466516674556,0.05744329669108153,0.3191472355585827,0.08123145743789176,-0.4200000000000003
23482,20667,18.472474045206628,0.060286213584817006,19.721209692545084,0.05938871640093006,-1.248735647338455,0.084625334174491,-1.4099999999999995
23482,23479,17.201763310316206,0.06133552225449945,14.69914294312764,0.06001724390462878,2.502620367188567,0.08581442685318069,0.8699999999999993
23482,23486,19.154032928244714,0.06267963086002842,20.961941861145522,0.059985467308642196,-1.807908932900808,0.08675824118195118,-2.4599999999999995
23482,23483,25.126600422811965,0.07144971958941473,25.100811755771634,0.07209860613785066,0.025788667040329206,0.10150503158182315,0.14000000000000182
23484,23485,6.777227558527843,0.05243371328360979,1.8778845044119683,0.05180036335703375,4.8993430541158745,0.0737059830178563,-3.26
23482,23484,18.424318834140024,0.07351752964170914,21.751324805328316,0.07259123511339917,-3.327005971188295,0.10331657456530574,2.2600000000000002
23485,23486,-6.540948582654264,0.038715981158830036,-3.1354118356128744,0.036714842649933466,-3.405536747041389,0.053356413559198825,-1.4600000000000002
23484,23486,0.54292689887446,0.05415346101022614,-1.0030443182752706,0.055356024945949454,1.5459712171497306,0.0774395689373505,-4.72
23483,23479,0.3295983059631578,0.06981430415413174,-2.478842869139111,0.06712253502696529,2.8084411751022684,0.09684767303849792,0.7299999999999975
