mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
16,CNC(=O)c1ccc2[nH]nc(Cc3cccc(C)c3)c2c1,-8.32813385437739,0.07061985836777995,-9.292698790319301
15,CNC(=O)c1ccc2[nH]nc(Cc3ccc(OC)c(OC)c3)c2c1,-7.753593957804139,0.07255615253309443,-7.690060315684702
17,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1,-7.06486684638257,0.08103462742980636,-8.995217840604221
14,CNC(=O)c1ccc2[nH]nc(CC(C)C)c2c1,-5.199752855255316,0.08228548011585916,-8.340263907163816
13,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N4CC[C@H](O)C4)cc23)c1,-11.086632103245325,0.07287951479093695,-11.286296985191486
18,CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1,-8.68908040542671,0.06011342589599778,-10.981760748851649
19,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-9.28078169987262,0.045094139020673114,-10.740036739237453
45,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2)C1,-10.86710299794306,0.07154620946591042,-11.1943977818631
25,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(NS(C)(=O)=O)cc34)cc2)cn1,-7.520344860269488,0.07751685798792794,-9.796660111494502
27,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-6.190996000368969,0.07042863709779278,-8.466238942666878
36,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)C1,-12.356258499610501,0.06881454192821973,-11.286296985191486
20,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(CC(C)(C)O)c4)cc3)c2c1,-10.294845761514877,0.06148536486392703,-10.701561147153257
39,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1,-13.387837470676402,0.06551711035704216,-11.52802099480568
23,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5cc(N)ccn5)cc34)cc2)cn1,-8.755336391432177,0.06476552791062531,-9.016898948530432
32,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,-8.455380213621234,0.055147746310687557,-9.552220084600169
22,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5nccn5C)cc34)cc2)cn1,-11.358129981705918,0.08543195274627922,-10.288331223327047
21,Cn1cnc(-c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)c1,-6.529531600289698,0.07470617066203498,-9.757164562340556
26,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCCC5=O)cc34)cc2)cn1,-9.816163187918262,0.07591496615664758,-10.218113127924871
24,CC(=O)Nc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-8.537134537613758,0.07315450320408792,-10.347017725892353
34,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,-13.537522811462546,0.0793894536577186,-11.1943977818631
28,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCOCC5)cc34)cc2)cn1,-8.271464425407812,0.07044957876587739,-6.208646534591875
29,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(S(=O)(=O)NC5CC5)cc34)cc2)cn1,-10.499750066957324,0.06587354024976692,-9.258622958144626
30,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,-13.919528850843152,0.07058422145224325,-11.699526909017699
38,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)cc2)cn1,-12.209783008228841,0.07405637250954542,-11.394990672677858
31,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1,-13.460179921860139,0.07243225572854259,-11.941250918631892
37,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,-13.426142437198827,0.0636552414668147,-11.52802099480568
42,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)ccc21,-12.721123117093837,0.06918852175570872,-11.52802099480568
33,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)NC5CC5)cc34)cc2)cn1,-9.884963980184267,0.06910370170622304,-11.11479107097947
35,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,-13.093677011405736,0.07333893920346736,-11.52802099480568
40,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,-12.915670965688575,0.06701138638277176,-11.1943977818631
41,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCCC5)cc34)cc2)cn1,-12.667071612468408,0.0741400489501546,-11.286296985191486
43,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)ccc21,-12.059972643747564,0.07306102373118664,-11.941250918631892
44,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)ccc21,-12.686759395783298,0.07590678376735074,-11.52802099480568
