mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
CHEMBL3402743_42,CHEMBL3402742_23,0.17416103008094394,0.0750625065704151,1.1882276749862475,0.07592270619388053,-1.0140666449053035,0.10676440047335965,-0.3589957553370291
CHEMBL3402741_400,CHEMBL3402763_90,-6.935492158406396,0.07458335034136244,-7.21060681061675,0.07367647000245062,0.2751146522103534,0.10483748556773201,-0.8892720743780677
CHEMBL3402741_400,CHEMBL3402764_90,-11.93307282749294,0.0759658150830131,-14.463873425932078,0.07683282278090438,2.530800598439139,0.10804669230341296,-0.8892720743780677
CHEMBL3402743_42,CHEMBL3402758_10,-3.578942545340661,0.0811493492190575,-1.2389208372634062,0.08404434448976282,-2.3400217080772547,0.11682751696150387,-0.8555468242551639
CHEMBL3402743_42,CHEMBL3402762_1,6.102519386994735,0.08873859959549021,11.853252139109575,0.08827390408920875,-5.750732752114839,0.12516717301800645,-2.228266917861616
CHEMBL3402741_400,CHEMBL3402760_1,20.166012013230848,0.10609832941885255,26.173886001663522,0.11303921838021057,-6.007873988432675,0.1550313529499123,-3.571900034865333
CHEMBL3402756_2.7,CHEMBL3402760_1,-0.7446204677838105,0.06383069336237453,0.4360775057880824,0.06405749434080898,-1.180697973571893,0.09043074696332139,-0.5921417067147577
CHEMBL3402743_42,CHEMBL3402765_11-charged-pKa-8.1,-21.43360492886965,0.11193576786737851,-19.88368929908538,0.090957661171455,-1.5499156297842716,0.1442321470887848,-0.7987262536101402
CHEMBL3402757_6.5,CHEMBL3402756_2.7,-3.2284649669324073,0.06861703578931079,-2.5312960241954503,0.06870135457175608,-0.6971689427369573,0.09709878331115024,-0.5237607923099594
CHEMBL3402758_10,CHEMBL3402757_6.5,9.657311670218988,0.06947552892432457,8.419096025631513,0.06898277592626184,1.238215644587474,0.0979054262735601,-0.25681759458173514
CHEMBL3402759_5.7,CHEMBL3402756_2.7,-6.692998492634522,0.060700092511857394,-5.102793706828492,0.06106217137681535,-1.5902047858060304,0.08609930315745659,-0.4454628959187488
CHEMBL3402757_6.5,CHEMBL3402742_23,-6.175193035295712,0.08621829422269572,-7.410424149952051,0.08840038347656014,1.235231114656338,0.12348369146358645,0.75336866349987
CHEMBL3402758_10,CHEMBL3402762_1,8.832904890545343,0.08117533516826297,11.382900723403994,0.08100875296063396,-2.5499958328586496,0.11468152900932588,-1.3727200936064523
CHEMBL3402759_5.7,CHEMBL3402757_6.5,-2.8373068788015234,0.06932673758997228,-2.6301909463554924,0.06880567326245823,-0.20711593244603096,0.09767505934458927,0.07829789639121063
CHEMBL3402762_1,CHEMBL3402760_1,-3.789000286201684,0.06723042407505228,-4.67703027560643,0.064618541694674,0.8880299894047465,0.09324958901817042,0.0
CHEMBL3402759_5.7,CHEMBL3402760_1,-3.87472154825094,0.08281872625400129,-11.619967576617826,0.08674853343839925,7.7452460283668865,0.11993435484484118,-1.0376046026335066
CHEMBL3402763_90,CHEMBL3402764_90,-4.754148105118579,0.07642354849251928,-6.562111604988434,0.07779510572714143,1.8079634998698553,0.10905336876633184,0.0
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402742_23,-4.006648915832569,0.08482802149687285,-2.281497455822335,0.08548384036565297,-1.7251514600102344,0.12042956528500119,0.43973049827311106
CHEMBL3402763_90,CHEMBL3402760_1,25.832473740718598,0.10528641334022412,31.72856380638588,0.11036074064216286,-5.8960900656672806,0.15252777422205854,-2.6826279604872654
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402764_90,-0.43190486953469526,0.08127799663445294,-1.7157482657006742,0.0818958186085384,1.283843396165979,0.11538213831643426,1.253087296235789
