mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
CHEMBL1077204,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-11.532928807695026,0.0826004708345878,-11.11479107097947
CHEMBL1084676,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-11.274737304934673,0.08960638383513263,-10.781167858036888
CHEMBL1077227,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1cccs1,-9.53230381989453,0.06215433230089405,-11.394990672677858
CHEMBL1086410,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,-9.341884450832723,0.06434994387520307,-11.52802099480568
CHEMBL1082248,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-10.914036371428837,0.07033218125442617,-11.699526909017699
CHEMBL1085666,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-9.096064521964497,0.07029403214658546,-10.568530825025436
CHEMBL1082249,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-11.20297741671379,0.056370658586203236,-11.286296985191486
CHEMBL1096002,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,-11.027142192855722,0.038107714480641146,-11.1943977818631
CHEMBL1085692,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-10.6769255604064,0.07216143157398479,-11.394990672677858
CHEMBL1084935,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,-9.091841612212878,0.07701893754353999,-10.599110079658544
CHEMBL1083517,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1,-12.649182737119931,0.05833604348418374,-11.52802099480568
CHEMBL1083836,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,-10.51749635065425,0.05271706532600622,-10.924940178206626
CHEMBL1096003,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,-12.834149485987998,0.06951306407341457,-11.941250918631892
CHEMBL1084143,CC(C)c1ccc2c(c1)[C@H]1O[C@@H](CNS(=O)(=O)CCC[NH+](C)C)CC[C@H]1[C@H](c1ccccc1)N2,-12.841184416533364,0.08225320875092554,-11.941250918631892
CHEMBL1084431,Cc1ccc(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)c2cc(C(F)(F)F)ccc2N[C@H]3c2ccccc2)cc1,-10.08897850626169,0.08461688568928054,-9.865858249826928
CHEMBL1084677,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-13.506359445882028,0.06670650512871192,-11.52802099480568
CHEMBL1084678,CN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)S(=O)(=O)CCC[NH3+],-12.686560441018656,0.08698461095811873,-11.1943977818631
CHEMBL1086409,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(F)cc1,-11.595517118227683,0.05598999308766461,-9.933787802066142
CHEMBL1093087,[NH3+]CCN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)c1ccccc1,-10.608191207805836,0.08951235348500203,-10.599110079658544
