mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
19a-bindingpose2,19c-bindingpose2,-3.7052638462887817,0.042854483223361786,-3.938243906937696,0.0410896578105508,0.2329800606489144,0.05937058793147963,-0.02433663464145134
19a-bindingpose1,19a-bindingpose2,1.2314617791567013,0.04600127011528878,0.007529084874014986,0.04563952363129171,1.2239326942826863,0.06480033155402057,0.0
19c-bindingpose1,19d-bindingpose1,1.1669746633475468,0.04358247547322189,0.3149999155997673,0.042460178326449036,0.8519747477477795,0.060846519307909804,0.34067849956734164
19a-bindingpose1,19c-bindingpose2,-2.37730630506249,0.048556504226928546,-3.9033015147959054,0.045122237957829506,1.5259952097334157,0.06628537139567613,-0.02433663464145134
19a-bindingpose2,19d-bindingpose1,-3.6784122515669546,0.054481820476990586,-3.494591107570238,0.051374784157600994,-0.1838211439967168,0.07488415860331957,0.3163418649258903
19a-bindingpose1,19d-bindingpose2,-1.4885230090661306,0.05279650667541548,-3.5954489509306473,0.05101101636551404,2.106925941864517,0.07341386046088254,0.3163418649258903
19a-bindingpose1,19d-bindingpose1,-1.8850143659779859,0.056720912776739074,-3.4689422599203823,0.05401911911707825,1.5839278939423964,0.07832832933499559,0.3163418649258903
19c-bindingpose2,19b,1.091278016951447,0.03167997768051893,0.5614169138754718,0.031399630558780076,0.5298611030759752,0.04460445925090958,-0.05187311684135094
19c-bindingpose1,19d-bindingpose2,1.6824406105644751,0.04685672595369296,0.30837055584892753,0.04405004777717417,1.3740700547155476,0.06431142570547484,0.34067849956734164
19d-bindingpose2,19b,-1.0546337287799359,0.04573210430464573,0.258565838607757,0.043772579488285,-1.3131995673876928,0.06330453442834269,-0.39255161640869257
22a,22d-bindingpose2,-0.5029919043045299,0.050448092824424064,-1.8852978088812735,0.049382356917458764,1.3823059045767436,0.07059481032161637,-0.007226328015077889
22b-bindingpose1,22b-bindingpose2,0.7660732432570738,0.045775766644604025,0.03360107990721559,0.04519461374095791,0.7324721633498582,0.06432708545469494,0.0
22a,22f-bindingpose1,-3.428518802380157,0.06256078535800029,-4.039352843099251,0.06057322238617102,0.6108340407190936,0.08708023389296973,-0.8193200645691765
22b-bindingpose1,22d-bindingpose2,-2.664148417202852,0.04236260625869324,-3.3242880068830463,0.04359016097509881,0.6601395896801943,0.0607839826176609,-0.007226328015077889
