mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
CHEMBL3264995,CHEMBL3265001,17.36958074829605,0.060558598714335665,17.565932692396423,0.058514223140763315,-0.1963519441003738,0.08420960864420983,0.34566735513927593
CHEMBL3264995,CHEMBL3265000,-9.258145593487034,0.06310261337541483,-10.173988953325214,0.061360836848825664,0.9158433598381784,0.088017567073825,0.5739938399963156
CHEMBL3264997,CHEMBL3264998,0.5952491301766464,0.0714678882506217,0.658241311968707,0.07123989160555055,-0.06299218179206066,0.10090976764899394,-0.7336044857199532
CHEMBL3264994,CHEMBL3264995,-6.107049413115794,0.08266233167062172,-2.7785520482418486,0.08190153150427142,-3.328497364873945,0.1163654671282208,-2.5925659381562567
CHEMBL3264994,CHEMBL3265001,8.433011173708046,0.08337958618011532,10.933655873815598,0.0837394168763302,-2.5006447001075522,0.11817125424719453,-2.2468985830169808
CHEMBL3264997,CHEMBL3264994,6.049981821649747,0.08458577565205685,2.8071361498890406,0.08441214948391974,3.2428456717607066,0.11949964193735353,1.1853758538405335
CHEMBL3264997,CHEMBL3265001,14.478722445935466,0.0702200216622131,14.305026614673384,0.06857332402036528,0.1736958312620811,0.09814862306443062,-1.061522729176447
CHEMBL3264998,CHEMBL3265000,-14.703471129544596,0.07395948312458907,-13.61345713853058,0.0724511624341186,-1.090013991014016,0.10353345392727614,-0.09959175859945434
CHEMBL3264998,CHEMBL3265001,16.978607645290772,0.06938242158441174,17.376155909867958,0.06727078660434273,-0.3975482645771843,0.0966399459606847,-0.32791824345649395
CHEMBL3265001,CHEMBL3265000,-28.56928174556036,0.07404624985853579,-27.881351145314053,0.07408446377571792,-0.6879306002463063,0.10474423559818637,0.22832648485703963
