mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
CHEMBL3264999,CHEMBL3265004,20.158057434068514,0.061746909601834064,20.51070948404141,0.060254205886457086,-0.3526520499728961,0.08627427294613746,0.5599657866115306
CHEMBL3259820,CHEMBL3265019,7.200789231698116,0.06344108418212226,8.198738511818528,0.06273097802212652,-0.9979492801204116,0.08921853375737376,-0.20261722132296622
CHEMBL3264999,CHEMBL3265002,15.36171619893829,0.06262173378298758,16.47433741253698,0.062328732068394045,-1.1126212135986906,0.08835356463233966,0.8016897962257247
CHEMBL3264996,CHEMBL3265003,6.861871660336364,0.06342809011990067,8.204993338699321,0.0654319881724281,-1.3431216783629565,0.0911288521405543,-0.15602024454645136
CHEMBL3264999,CHEMBL3265006,-3.678333761675526,0.07610274934805177,-6.407023286406544,0.0734228713405179,2.7286895247310183,0.10574756022820876,1.4650152881562122
CHEMBL3264996,CHEMBL3265006,-13.964145451641075,0.07798379622726112,-18.187667858928965,0.07625520551525145,4.223522407287888,0.109070293124151,0.7122497251244222
CHEMBL3264999,CHEMBL3265008,-2.630822643398241,0.0695868646602952,-5.292933719673505,0.06946076792821068,2.662111076275264,0.09832156434082497,1.639778132435602
CHEMBL3265002,CHEMBL3265003,1.1395274428143427,0.04935069384153131,1.78305400606916,0.04777958999366507,-0.6435265632548173,0.06869046660638793,-0.20494447774038588
CHEMBL3265002,CHEMBL3264996,-5.924764090972866,0.063018449655859,-6.738462600742958,0.062219520007133405,0.8136985097700916,0.08855841951472547,-0.04892423319393453
CHEMBL3265002,CHEMBL3265004,4.84503248233836,0.04903417782302279,4.053013600101369,0.04828343403127073,0.792018882236992,0.06881599084974285,-0.24172400961419407
CHEMBL3265003,CHEMBL3265004,3.0445051522713458,0.04960488921703237,2.3073296052720123,0.047636243822795736,0.7371755469993334,0.06877395407986152,-0.036779531873808176
CHEMBL3265008,CHEMBL3265009,6.386875681050132,0.039993726287050946,6.71644727350462,0.03591665809503663,-0.32957159245448925,0.05375411120127752,-0.5164565984060626
CHEMBL3265008,CHEMBL3265005,-1.257558200689253,0.04895909787922199,-1.3281942838630103,0.046317781111889604,0.07063608317375751,0.06739681084647965,-0.5422872709712577
CHEMBL3265006,CHEMBL3265011,-0.13564120711181082,0.06327559161882346,-1.1163266763430848,0.0615899322106286,0.9806854692312739,0.0883013037526737,1.3283567995406866
CHEMBL3265008,CHEMBL3265006,6.9389500273473645,0.05797529831610779,6.014692317164511,0.057299663419097445,0.9242577101828539,0.08151310718395874,-0.17476284427938982
CHEMBL3265008,CHEMBL3265011,6.649996068011649,0.05581510309955845,5.080915161493932,0.054064321608299895,1.569080906517717,0.07770634855003819,1.1535939552612968
CHEMBL3265012,CHEMBL3259820,-0.08162305682746993,0.03993850514568431,-0.5675892460327715,0.040825702447105906,0.4859661892053016,0.057112364454393605,-0.029567948602893968
CHEMBL3265012,CHEMBL3265013,7.750971749566719,0.04341823546428621,7.027136323226901,0.03721507440988659,0.7238354263398179,0.05718483132934465,0.737624395793219
CHEMBL3265008,CHEMBL3265022,18.784811894416972,0.06632945347386837,18.430006905816697,0.06291175915650134,0.3548049886002751,0.09141928592101176,-1.0132183634783043
CHEMBL3265009,CHEMBL3265011,0.43051131873937903,0.06080478320279997,-1.7299914883448149,0.060547143565546725,2.160502807084194,0.08580896371758859,1.6700505536673593
CHEMBL3265013,CHEMBL3259820,-8.305762074684687,0.051118477059831795,-7.233549140269668,0.04926407207922608,-1.0722129344150177,0.07099329189961354,-0.767192344396113
CHEMBL3265012,CHEMBL3265025,15.859084846341252,0.06166542755763068,15.517932035097731,0.062289968699966586,0.3411528112435211,0.08765081378120922,0.34899146493264793
CHEMBL3265014,CHEMBL3265010,-1.9976557148059069,0.06211762406435175,-1.7989712289320332,0.06024046344699395,-0.19868448587387358,0.08653041462808754,0.2694576036564737
CHEMBL3265014,CHEMBL3265015,0.854502729371275,0.06353941620662643,-0.654934522570337,0.060957228439896045,1.5094372519416122,0.08805135496375154,0.928647183772851
CHEMBL3265016,CHEMBL3265017,-2.1384990156865635,0.03698338975787934,-1.2957144526605917,0.035752839763600414,-0.8427845630259717,0.0514396410285385,0.20373888630455644
CHEMBL3265014,CHEMBL3265023,10.664248272532273,0.06794058967994711,11.38378455629432,0.0668172031522219,-0.7195362837620477,0.09529146007457451,-0.07746351590252384
CHEMBL3265016,CHEMBL3265021,-4.823008286165338,0.04189869079486686,-2.9923376630466065,0.04224899354893523,-1.8306706231187317,0.0595019138030184,0.8039603940083501
CHEMBL3265015,CHEMBL3259820,-8.634049277447442,0.0628425673097515,-6.847579537101342,0.05979280305963741,-1.7864697403460996,0.08674311248629044,-1.105184054101423
CHEMBL3265018,CHEMBL3265019,0.23244170310622753,0.037563493167763126,0.9275968565589369,0.03753380775249684,-0.6951551534527094,0.05310181487826926,0.4132299238262116
CHEMBL3265015,CHEMBL3265023,9.550008884808635,0.07107771417234447,11.46123485037674,0.070462288681814,-1.9112259655681059,0.10008484190048356,-1.0061106996753748
CHEMBL3265020,CHEMBL3265021,-3.6069289351767453,0.03775383131269445,-2.518686179220608,0.0376476531978445,-1.0882427559561374,0.053316953871095814,0.11329729925695062
CHEMBL3265020,CHEMBL3265017,-1.700896155955578,0.04255780302865164,-1.078804765556112,0.043134870058792386,-0.622091390399466,0.06059524415013455,-0.486924208446843
CHEMBL3265016,CHEMBL3265025,0.3519450671779916,0.07073939887009782,2.903115453976822,0.0715646601177429,-2.5511703867988307,0.10062585716539689,1.4995356858393165
CHEMBL3265018,CHEMBL3265017,7.366236771051552,0.07206571752881197,5.998599224135771,0.07142398743543961,1.3676375469157813,0.10146355810891096,-0.3013902408500404
CHEMBL3265018,CHEMBL3265021,5.298910949066702,0.07350150322420546,4.7454319025385185,0.0717540327109716,0.5534790465281837,0.10271860681738759,0.29883126685375316
CHEMBL3265019,CHEMBL3265017,7.381876472036363,0.07079396877902161,5.369999335777296,0.06964193594627968,2.0118771362590673,0.09930652172858945,-0.714620164676252
