mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
3a,3b,-1.642856733872443,0.038585572901901934,-1.877543338617953,0.03810808719434125,0.23468660474551017,0.054231658150747195,-0.5260493354729219
1b,5a,-1.3562804507270803,0.04945406144245514,0.0690861602482795,0.0486420773741304,-1.4253666109753598,0.0693668212074405,-0.8264598476524214
1b,1a,0.17150231750542785,0.04647900348719457,-1.8332339700670628,0.04789070849111953,2.00473628757249,0.06673692924419007,1.3952195472505289
3a,5b,-8.262937134218209,0.05014201997152726,-8.583149948785577,0.05185785444793138,0.32021281456736805,0.07213500699915316,0.525340037635711
1b,5b,-0.495289054039631,0.05467061244559871,1.4039844444403347,0.057239263855909994,-1.8992734984799657,0.07915307443140372,-0.5405552764679439
1a,5d,-4.518518287758399,0.060652319914232186,-1.498293111881016,0.059822285587941164,-3.0202251758773824,0.08519043234978656,-2.349004747544686
3b,5d,-9.156843624894712,0.041089727048884174,-9.702854909494032,0.040200987598186376,0.5460112845993199,0.057484650758453236,0.6381594492824195
1a,5c,0.2028431922558551,0.06959272628794798,3.5146912577750817,0.06964140019993047,-3.311848065519227,0.0984534010280809,-1.418601554367181
5a,5j,1.7203056752309596,0.0479026131282319,2.0935427973140452,0.04868087225854132,-0.37323712208308585,0.06829705460973755,-0.32791824345649395
3a,5c,-5.419990225398598,0.05792343206881433,-6.51479190381224,0.05998350531991406,1.0948016784136418,0.08338551968474325,1.0425133069870027
5a,5k,0.2893482294159618,0.04611212363404655,0.356420565589798,0.0491253036706294,-0.06707233617383625,0.06737672748637433,-0.20612150628037756
3b,5c,-4.437440137440408,0.06186960552008906,-4.512383693214378,0.0630489692778025,0.07494355577397022,0.0883347078684518,1.5685626424599246
5a,7,-1.9387335857371302,0.044477103823035685,-4.208108765918152,0.0445678048915486,2.2693751801810222,0.06296429144631296,2.3763908249569816
5b,5j,0.949868678723893,0.03830844990227013,0.8351490404567289,0.038413657047646946,0.11471963826716422,0.05425077309761563,-0.6138228146409717
5a,5n,4.381145872388555,0.06550798153061467,4.042451582627133,0.0643799679233049,0.3386942897614217,0.0918481132850377,0.04418056157028358
5b,5h,7.911798322884986,0.054767370008797174,6.41195013647757,0.05593799987668437,1.499848186407417,0.07828489412322429,0.42725797721099323
5b,5k,-0.6423516732224129,0.049720934568567944,-1.00243858361196,0.05191412676399121,0.3600869103895471,0.07188357178131567,-0.4920260774648552
5a,5p,9.89930710100569,0.067204249144859,10.153474047982524,0.06608539160987006,-0.2541669469768345,0.09425332931708125,0.25681759458173514
5b,5m,-1.5546839741497338,0.05507479776027517,-1.1740463149833091,0.05799357010241976,-0.38063765916642467,0.07997804399683382,-2.2282669178616215
5b,7,-2.2922729167478635,0.05045037752894869,-5.512071487392772,0.05251468036622622,3.2197985706449086,0.0728219214713561,2.090486253772504
5d,5m,0.931442052094888,0.04985271301460888,1.8692840501860304,0.05158380983883239,-0.9378419980911425,0.0717368972872801,-1.815036994035408
5b,5p,9.134151445296416,0.07113323586209833,8.700600067005164,0.06840179055162994,0.43355137829125195,0.09868506571352102,-0.02908697660274251
5d,5n,5.680954282782564,0.06162293227820599,5.82510179754011,0.06135291794644501,-0.144147514757545,0.08695726722423823,0.17150591421201922
5e,5h,10.1303078514398,0.06289416462544448,10.41936079128873,0.06243972412933606,-0.2890529398489302,0.08862502520891095,0.0582086149550669
5e,5k,1.8253740444262034,0.04907587565811524,3.0126979837913344,0.05014888828640236,-1.1873239393651311,0.07016660578917049,-0.8610754397207815
5e,7,0.3076744472077463,0.046664690769111686,-1.420154209060401,0.04981494702567398,1.727828656268147,0.06825776374704581,1.7214368915165779
5f,5g,-3.059021197346908,0.04050273126804057,-2.5782343281778344,0.0416732740859961,-0.4807868691690738,0.05811310534825742,-0.5462602459540343
5e,5i,2.942838779965418,0.06172143509883452,4.97533447056898,0.061191608933568606,-2.0324956906035627,0.08691345439308251,-1.983493465476578
5f,5i,-1.5912267779489908,0.0342622358330877,-1.1923558103753045,0.03458230957648617,-0.3988709675736865,0.04868097102488862,-1.827081136232103
5f,5h,5.827860183979975,0.039071037540340206,4.360060690206808,0.03753186415329735,1.4677994937731662,0.05417736428897441,0.21462094419954164
5f,5l,0.7631389321102678,0.03975883842226925,1.629830836373134,0.043871579804868124,-0.8666919042628661,0.05920710048012,0.17150591421201583
5g,5a,0.5947794943726391,0.055209434820480074,-0.920964918266259,0.05537528815856436,1.5157444126388981,0.0781952954584921,0.04771864175810509
5l,5b,-2.865410373351979,0.04170908577554688,-3.628812741838929,0.04390495763852587,0.7634023684869502,0.0605581798064694,-0.38414294722346737
