mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
"11, 3VHC","17, top conformer",-31.52312921559366,0.09180095613134903,-31.539833384536276,0.09128924038507072,-0.7330000000000005,0.01670416894261596,0.12946482517160054,0.22368583860799696,0.09076160699224185
13,"11, 3VHC",-9.243371827771982,0.08289976725669962,-8.417673808578217,0.08350883455138247,-0.9310999999999989,-0.8256980191937654,0.11766943893528659,-1.5183352566115254,0.09338568350821246
13,12,-4.957804941593944,0.07949856996277589,-3.737394364131545,0.07950473047543893,0.1053999999999995,-1.2204105774623983,0.11243231205529201,-0.37717022011509904,0.09499032533387086
13,9,8.707000433697708,0.08569275850391152,6.48166882115675,0.085304705968231,1.5533000000000001,2.2253316125409586,0.12091377804177672,1.9814290597578577,0.09083882230105156
"16, 3VHD",12,36.1050269632453,0.09095645941822637,33.88489558624231,0.08998457043185008,1.5825999999999993,2.220131377002994,0.12794647484672664,2.0247790836056616,0.07818173147983341
"16, 3VHD","17, top conformer",3.542083094093115,0.07910635127792293,1.8015756706273145,0.07727228870090054,-0.18689999999999962,1.7405074234658002,0.1105840016167866,1.1072998857172323,0.0855254597184817
"16, 3VHD",7,39.9478323354765,0.09126304042547667,37.013047523361465,0.08820565547184225,3.243080000000001,2.934784812115034,0.1269219453243588,2.9446996464232953,0.08767435509806266
18 minimized,"11, 3VHC",19.873715632439005,0.09053087338874566,20.837328256943724,0.09113957426241301,0.9826000000000015,-0.9636126245047202,0.1284611265452043,-1.0119559568659557,0.09336289685567808
18 minimized,"16, 3VHD",-2.675865052264908,0.07978638310438342,-1.235930109102839,0.07820972742982008,0.43650000000000055,-1.4399349431620692,0.11172568367893836,-1.895570003975191,0.08828117276932526
18 minimized,"17, top conformer",-1.3377527919658363,0.07864324385824206,-0.0579108748338825,0.07925820807510806,0.24960000000000093,-1.279841917131954,0.11165403419413045,-0.7882701182579588,0.10109959275336103
"8, 3VHA","11, 3VHC",-14.499076177835768,0.06319309085337906,-11.11710772805014,0.0641996817054583,-2.0421999999999993,-3.3819684497856284,0.09008310531218147,-2.8520416447215204,0.0789783158247072
"8, 3VHA",9,4.354277930651124,0.07361392031783634,3.529039985777815,0.07574032605234239,0.4421999999999997,0.8252379448733089,0.10562010346082744,0.6477226716478626,0.0759498526875016
9,12,-12.906409971669143,0.06620162520570692,-11.007317242349249,0.06329760474406551,-1.4479000000000006,-1.8990927293198934,0.09159280510068918,-2.3585992798729567,0.08103242519934412
9,7,-7.806878794375833,0.08231082062302288,-6.0619508914343605,0.08386661546325788,0.21258000000000088,-1.744927902941472,0.11751034159127194,-1.438678717055323,0.09022562462163236
lig_3B27,"16, 3VHD",33.82339566910963,0.0839964202916402,38.895093263916,0.08347905975569876,-5.7008,-5.0716975948063725,0.1184236126771405,-5.444687546337134,0.08243463385171021
lig_3B27,7,62.12212877420051,0.0784885450558271,64.35330588383874,0.07505237873061955,-2.4577199999999992,-2.2311771096382267,0.1085970131177877,-2.4999878999138385,0.0979551904160115
lig_3B27,"8, 3VHA",64.5943583016163,0.07977309662362761,66.9259186299081,0.07899783869225703,-3.1125,-2.331560328291809,0.1122693433799739,-1.709031854506378,0.08498785862890389
