mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
"11, 3VHC",Cc1cc(C)c2cc1C(=O)NCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-12.584831310110552,0.05802228950240889,-12.1947
"17, top conformer",Cc1cc(C)c2cc1C(=O)NCCCCNC(=O)CCSc1cc-2nc(N)n1,-12.361145471502555,0.06979314597231462,-12.9277
13,Cc1cc(C)c2cc1C(=O)NCCCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-11.066496053499026,0.07317308115143625,-11.2636
12,Cc1cc(C)c2cc1C(=O)NCCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-11.443666273614125,0.06057113257848126,-11.1582
9,Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCCCO2,-9.085066993741169,0.05382742639071039,-9.7103
"16, 3VHD",Cc1cc(C)c2cc1C(=O)NCCCNC(=O)CCSc1cc-2nc(N)n1,-13.468445357219787,0.049431983930900654,-12.7408
7,Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCO2,-10.523745710796492,0.07241043782850899,-9.49772
18 minimized,Cc1cc(C)c2cc1C(=O)NCCCCCNC(=O)CCSc1cc-2nc(N)n1,-11.572875353244596,0.07314399790948424,-13.1773
"8, 3VHA",Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCCO2,-9.732789665389031,0.053581604039127526,-10.1525
lig_3B27,CSc1nc(N)nc(-c2ccccc2Cl)n1,-8.023757810882653,0.06596929454618039,-7.04
