mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
23,O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,-8.716620338283052,0.05947636892728151,-8.83
44,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,-8.26881049026877,0.05394741916371392,-8.67
51,O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-6.512212174531898,0.07779616770341986,-8.45
54,O=C([O-])c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-9.487719895342536,0.07481859908749942,-9.78
57,Cn1c(C(=O)[O-])c(CCCOc2cccc3ccccc23)c2ccccc21,-8.777634487610202,0.06821081187908257,-9.04
62,O=C([O-])c1sc2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-6.006301581004379,0.07442123189211065,-7.959999999999999
64,O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-9.984251303914396,0.07965377871488398,-9.5
66,O=C([O-])c1sc2c(Cl)cccc2c1CCCOc1cccc2ccccc12,-10.133727412572348,0.07636338990362038,-8.43
26,O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,-8.986243606032845,0.0675207034010012,-8.24
68,O=C([O-])c1oc2ccc(Cl)cc2c1CCCOc1cccc2ccccc12,-7.555789287127777,0.07357814179267626,-7.690000000000001
27,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1,-5.1445263473656935,0.04805863790017816,-6.12
31,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1,-8.587804168156737,0.05341573347491159,-7.920000000000001
32,Cc1ccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc1,-6.713647660771567,0.06716396880754957,-6.58
38 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(-c2ccccc2)c1,-9.765509074163528,0.05697289780799149,-7.02
39,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(-c2ccccc2)cc1,-7.022397983400003,0.0720225690225597,-7.03
40 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(Oc2ccccc2)c1,-6.426372170766114,0.06947028319389936,-7.25
41 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Oc2ccccc2)cc1,-9.793785629925603,0.05555325851275193,-7.13
48 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2[nH]ccc12,-1.4308527153247805,0.06657126029069324,-6.66
28,Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,-4.884401962558394,0.05525150177260367,-6.62
29,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,-3.083388305856449,0.056302710412622956,-6.94
42,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,-7.703807078706056,0.053968187651571756,-8.9
45,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2c1CCCC2,-8.9334519509841,0.06464003170129004,-8.95
33,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)cc1,-6.583226817907596,0.05674751438094042,-6.88
30 flip,Cc1cccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)c1,-5.026838011373965,0.06892465878242408,-7.85
37,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc(C)c1Cl,-9.291673715403224,0.0632571422808268,-8.95
34,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(C(F)(F)F)cc1,-8.879715367262818,0.07566614807098021,-6.87
46 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2c(c1)CCC2,-6.8958897909660966,0.08228943253877431,-7.6
43 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ccccc2c1,-6.349919919688093,0.07701192394787773,-7.03
47 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ncccc2c1,-5.0920130604856455,0.07887768637869526,-5.78
35,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,-8.178855049810952,0.053271336819217766,-8.81
36,CCc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,-9.375536638130232,0.06710426712612644,-8.18
52,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)ccc1Cl,-9.631533879783658,0.05536536871001952,-9.23
49,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)ccc1Cl,-8.083763205939718,0.06442178453299316,-8.36
50,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)cc(C)c1Cl,-8.740842634782842,0.061521515527896274,-9.33
65,Cc1cc(OCCCc2c(C(=O)[O-])sc3c(Cl)cccc23)cc(C)c1Cl,-11.279546594654418,0.07272837210945704,-8.41
61,Cc1cc(OCCCc2c(C(=O)[O-])sc3cccc(Cl)c23)cc(C)c1Cl,-8.879386784669187,0.06233587794203691,-8.08
53,Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)cc(C)c1Cl,-10.458582236393786,0.0645288453985539,-9.96
58,Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3cc(Cl)ccc23)cc(C)c1Cl,-11.372865923142447,0.07477872238949818,-9.41
63,Cc1cc(OCCCc2c(C(=O)[O-])sc3cc(Cl)ccc23)cc(C)c1Cl,-11.034844990184311,0.07334703101146156,-9.06
56,Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3ccccc23)cc(C)c1Cl,-9.93859285714117,0.07260341239627965,-9.26
60,Cc1cc(OCCCc2c(C(=O)[O-])sc3ccccc23)cc(C)c1Cl,-9.83623585860518,0.06652888971212202,-8.92
67,Cc1cc(OCCCc2c(C(=O)[O-])oc3ccccc23)cc(C)c1Cl,-10.410881039007435,0.07026348388571048,-7.58
