mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2aa,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CO)CO)nc21,-8.331988868067972,0.08223630566935929,-9.27
2z,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(C)(C)CO)nc21,-9.869760509875562,0.06951168292747106,-10.36
2y,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NCC(C)(C)O)nc21,-8.615183066158835,0.07868211392870668,-9.78
3flw,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,-11.481336179824691,0.06497364072824914,-10.68
2bb,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NCCS(C)(=O)=O)nc21,-8.922194618590602,0.07515091861470692,-9.06
2v,CNc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-6.969088483439606,0.07123318612672745,-8.97
3fly,CC(C)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-9.190519289786092,0.049377107500302324,-11.42
2c,Cn1c(=O)c(-c2ccccc2Cl)cc2cnc(NC3CCOCC3)nc21,-11.736589185107942,0.07924145746999879,-10.46
3flz,Cn1c(=O)c(Oc2ccccc2)cc2cnc(NC3CCOCC3)nc21,-10.542007096365255,0.07475203452557212,-9.49
2e,Cn1c(=O)c(Oc2ccc(F)cc2)cc2cnc(NC3CCOCC3)nc21,-9.817323808271956,0.07393976044309233,-10.7
2ee,CC(=O)N1CCC(Nc2ncc3cc(Oc4ccc(F)cc4F)c(=O)n(C)c3n2)CC1,-11.344251781880624,0.0671225449380915,-12.26
3fln,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-10.31299234861126,0.028716871405926905,-10.88
2f,Cn1c(=O)c(Oc2cccc(F)c2)cc2cnc(NC3CCOCC3)nc21,-9.434961575938678,0.07235643758611696,-8.48
2ff,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(N[C@H]3CC[C@H](O)CC3)nc21,-8.411812276953324,0.05755790510748265,-11.44
2g,Cn1c(=O)c(Oc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-11.281622612146414,0.05488032401849283,-10.66
2h,Cn1c(=O)c(Sc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-8.435662470772325,0.056624258368968755,-9.48
2i,Cn1c(=O)c(Cc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-9.236054828828518,0.05815539501709027,-10.05
2x,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(N[C@H]3CCOC3)nc21,-8.929457651626096,0.05410883826553745,-10.23
2gg,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCS(=O)(=O)CC3)nc21,-7.690465205762327,0.07317276375624457,-10.66
2k,O=c1[nH]c2nc(NC3CCOCC3)ncc2cc1Oc1ccc(F)cc1F,-8.913650087992862,0.04980821112902797,-10.55
2j,Cn1c(=O)c(Cc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-8.61021874642061,0.054964280115409485,-10.08
2l,CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.02153375179146,0.05479206829740299,-12.26
2u,CS(=O)(=O)N1CCC(n2c(=O)c(Oc3ccc(F)cc3F)cc3cnc(NC4CCOCC4)nc32)CC1,-14.756975398586054,0.07091644392388917,-12.26
2n,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1CCCO,-12.850837585098759,0.060937312769168576,-11.85
2r,CC(C)(O)Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.421059508860946,0.05573398744323381,-10.79
2o,CS(=O)(=O)CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-13.159443721462814,0.05873010479705334,-10.49
2m,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C1CC1,-12.674790066418042,0.052558576633417606,-10.96
2p,CS(=O)(=O)CCCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-13.616292078014485,0.07197632366678135,-11.2
2q,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C1CCS(=O)(=O)CC1,-15.98838143304799,0.08058868494833785,-12.26
2s,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C[C@H](O)CO,-12.38890803655414,0.057359425535961295,-11.11
2t,N#CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.857204497061698,0.061983821545993883,-11.85
3fmh,C[C@H](Cn1ncnn1)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-10.772961684360544,0.07996051210878732,-10.83
3flq,C[C@@H](CS(C)(=O)=O)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-9.563721666670501,0.055690306325798015,-9.93
3fmk,C[C@@H](Cn1ncnn1)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-11.430749879650929,0.057545895105668966,-11.83
