mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
20667,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Br,-12.788286081990943,0.07493462198446203,-11.42
23485,Cc1c(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)sc(C(=O)[O-])c1OCC(=O)[O-],-10.11364954093855,0.08112096841876167,-11.01
23482,CS(=O)(=O)N1CCC(Nc2cccc(-c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,-10.622696876061863,0.05511920889507726,-10.01
23486,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Cl,-13.459383742868102,0.07148312051603954,-12.47
20669,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NCc3ccccc3)c2)c1Br,-7.7567496734234265,0.07117953609937688,-8.61
23466,Nc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,-4.89951439647413,0.072194356162331,-7.85
23330,CC1(C)CC(Nc2cccc(-c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC(C)(C)C1,-9.88729492578009,0.07333742981610442,-10.13
20670,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCCCC3)c2)c1Br,-8.199888372342365,0.056344620589961196,-9.08
23475,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCCC3)c2)c1Br,-7.82506422494925,0.056631702685899184,-8.72
23472,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NS(=O)(=O)c3ccc(F)cc3)c2)c1Br,-7.12993580951041,0.06851321000994602,-8.65
23467,COc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,-5.721955850519274,0.06301628513444875,-7.34
23473,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(OCc3ccccc3)c2)c1Br,-8.942857944975398,0.06934985992453302,-8.39
23468,CCC(=O)Nc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,-6.901481577905512,0.050340495743920535,-7.75
23469,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC(=O)c3ccccc3)c2)c1Br,-7.9922268173310425,0.0843029587958305,-7.72
23471,COC(=O)Nc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,-7.172446001123911,0.059025863135607655,-7.75
23474,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NCC3CCCCC3)c2)c1Br,-8.301617048108106,0.08725940336082187,-9.11
23470,CC(C)NC(=O)Nc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,-7.961303343999261,0.059637058053592956,-7.72
23476,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCCCCC3)c2)c1Br,-9.005199473053114,0.06580175757198638,-9.41
23477,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCOCC3)c2)c1Br,-8.232581251817928,0.04100439740328889,-8.85
23479,CC(=O)N1CCC(Nc2cccc(-c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,-8.573921091125317,0.06475224598930993,-9.14
23483,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCN(S(=O)(=O)c4ccccc4)CC3)c2)c1Br,-10.365104530665386,0.0652302944896005,-9.87
23480,COC(=O)N1CCC(Nc2cccc(-c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,-9.294702014456087,0.0693842148246561,-8.72
23484,O=C([O-])COc1cc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)sc1C(=O)[O-],-16.322139410580547,0.07188626032372757,-7.75
