mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
13,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N4CC[C@H](O)C4)cc23)c1,-9.090533253529845,0.08037143481299922,-11.2832
42-flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)ccc21,-12.017080350707314,0.07480451673346758,-11.5248
14,CNC(=O)c1ccc2[nH]nc(CC(C)C)c2c1,-3.4411739884198482,0.11661039845303896,-8.33796
16-flipped,CNC(=O)c1ccc2[nH]nc(Cc3cccc(C)c3)c2c1,-7.163050133225179,0.10549795286058722,-9.29013
17-flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1,-5.8149374457681375,0.09811306248241039,-8.99273
18-flipped,CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1,-8.380526443650684,0.07594261299691006,-10.9787
15,CNC(=O)c1ccc2[nH]nc(Cc3ccc(OC)c(OC)c3)c2c1,-7.26766371606386,0.06718539334276846,-7.687929999999999
44-flipped,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)ccc21,-12.477370421788702,0.08338516522964534,-11.5248
45-flipped,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2)C1,-10.90464861118498,0.08330416087059939,-11.1913
19,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-11.411290305264853,0.05154647917993821,-10.7371
25,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(NS(C)(=O)=O)cc34)cc2)cn1,-7.991897665437585,0.06912482357656537,-9.79395
27,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-4.315626636326305,0.07851713155230393,-8.4639
33,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)NC5CC5)cc34)cc2)cn1,-10.864725536224066,0.06361151788230396,-11.1117
34,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,-14.14359199925726,0.07377812830678804,-11.1913
36,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)C1,-12.921340799078186,0.06795620527459267,-11.2832
20,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(CC(C)(C)O)c4)cc3)c2c1,-13.124948345283066,0.06057678023618037,-10.6986
32,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,-10.786844454565761,0.05925367803068504,-9.54958
21,Cn1cnc(-c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)c1,-6.7054447748579715,0.07986782325157793,-9.75447
23,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5cc(N)ccn5)cc34)cc2)cn1,-9.097623071037862,0.08319811427524557,-9.01441
24,CC(=O)Nc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-9.411789525495488,0.0768727465366631,-10.3442
22,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5nccn5C)cc34)cc2)cn1,-11.740852247504545,0.07364524455184031,-10.2855
26,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCCC5=O)cc34)cc2)cn1,-8.976486605381421,0.07702599834676419,-10.2153
29,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(S(=O)(=O)NC5CC5)cc34)cc2)cn1,-8.540249115421876,0.07709943762869782,-9.25606
37,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,-13.863771003190273,0.07214001959856686,-11.5248
30,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,-13.022660406947153,0.07223299805719496,-11.6963
31,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1,-15.602166502146805,0.06599919090334307,-11.938
35,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,-14.082027527936987,0.0674576307119883,-11.5248
38,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)cc2)cn1,-13.774549806819413,0.06717571299628046,-11.3918
40,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,-12.517491921954385,0.08563407523507059,-11.1913
41,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCCC5)cc34)cc2)cn1,-12.700357415763285,0.0838886046379501,-11.2832
39,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1,-13.24470550916313,0.08250259887894312,-11.5248
43,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)ccc21,-11.126394460603818,0.08015430089062454,-11.938
