mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
19a-bindingpose1,19b,-4.670411614452355,0.042944526040568226,-4.230154402761552,0.04027924707639449,-0.07620975148280174,-0.4402572116908038,0.0588782647662979,-0.11180472709152589,0.09495966618074073
19a-bindingpose1,19c-bindingpose2,-3.6709665404460807,0.04798136646083791,-4.495759287247531,0.0459360356061537,-0.024336634641450416,0.8247927468014505,0.06642537839304373,0.34337650947834053,0.09596138281335222
19a-bindingpose2,19b,-5.708311935832288,0.04024353955852022,-4.247512785637661,0.04071774992999786,-0.07620975148280174,-1.460799150194627,0.05724925882105394,-1.6787067428212694,0.10162751151659517
19a-bindingpose2,19c-bindingpose1,-6.228466399256266,0.04567225953246841,-4.5647758010365225,0.04636891448358288,-0.024336634641450416,-1.6636905982197432,0.06508480253628318,-1.4208425645152447,0.10841363093282744
19a-bindingpose2,19c-bindingpose2,-5.51561451114544,0.04478658034069108,-4.255304925571271,0.044845345140355486,-0.024336634641450416,-1.260309585574169,0.06337935594001237,-1.223525506251403,0.10256412573287359
19b,19d-bindingpose2,2.551579318857727,0.04885369637059775,1.0909319801904447,0.04732324466886988,0.3925516164086922,1.4606473386672822,0.0680159770573082,1.6578178074637373,0.10699110234265784
19c-bindingpose1,19d-bindingpose1,2.2216549967798582,0.0459294968837863,1.3153118139811089,0.044266308079795674,0.34067849956734086,0.9063431827987491,0.06378890746056966,1.020587797867699,0.1106076777747606
19c-bindingpose1,19d-bindingpose2,2.506544621881539,0.05135601764281703,1.2533309237684829,0.04877380452334269,0.34067849956734086,1.253213698113056,0.07082601609444499,1.3999536291577126,0.11345686517562836
19c-bindingpose2,19d-bindingpose1,2.7127050093917227,0.04989272915998934,1.4072940109986636,0.0483170853518058,0.34067849956734086,1.305410998393059,0.06945376274850584,0.8232707396038572,0.10488061259372324
22a,22b-bindingpose1,2.6617196022033065,0.03956270678595802,2.232218898179499,0.041542324757982044,0.0,0.4295007040238078,0.05736699847934644,0.3508110337698902,0.08659204238084962
19d-bindingpose1,19d-bindingpose2,0.7575121993591076,0.054738014740249606,-0.039525366800500845,0.05305644780295914,0.0,0.7970375661596084,0.07623146929695053,0.37936583129001367,0.11012609375651344
22a,22b-bindingpose2,3.3650211207821976,0.0399544807577928,2.2788857702827614,0.0392195834025754,0.0,1.086135350499436,0.05598692932190872,1.131042915670358,0.08369048198806021
22a,22d-bindingpose1,2.7347095774651793,0.05285160358002465,-0.5676206188873758,0.05245896240129192,-0.007226328015077499,3.302330196352555,0.07446633291092179,3.3554760804562127,0.09257542193325054
22b-bindingpose1,22d-bindingpose2,-1.5592585155837508,0.04513138632295526,-2.725424272859057,0.043509211224774386,-0.007226328015077499,1.1661657572753061,0.06268886259004756,0.9314421960594981,0.09076178757749019
22b-bindingpose1,22g-bindingpose1,-2.392733895812238,0.0507958989607167,-3.092252406956487,0.048516437540198826,-1.2985249003201567,0.6995185111442493,0.07024292179870761,0.4158405979684474,0.09047961018523878
22b-bindingpose2,22b-bindingpose1,-0.9071331406493062,0.046547975734785724,0.001407155824219958,0.0469083965319498,0.0,-0.9085402964735261,0.06608412600772473,-0.7802318819004679,0.08074645751893915
22b-bindingpose1,35c,46.03877430814071,0.07792092184679948,48.160590542096045,0.07729376803107361,-0.4816550411495335,-2.121816233955336,0.10975425567100552,-0.6438774841617594,0.09803679911890877
22b-bindingpose2,35l,-22.470618277319023,0.06821816952046589,-19.40405016701537,0.06845874685404825,-1.3585250238984479,-3.0665681103036504,0.0966453241163259,-3.207176440868574,0.07464231031112478
22d-bindingpose1,22f-bindingpose1,-4.738637770283428,0.04387094234313158,-2.056499272718894,0.043416759376709246,-0.8120937365540986,-2.682138497564534,0.061722561327681835,-2.8130336614825415,0.09575763381338358
22d-bindingpose2,22f-bindingpose2,-2.782260842355916,0.0439579972793967,-2.084681433535509,0.04425414826570906,-0.8120937365540986,-0.6975794088204069,0.06237575781935486,-0.9944219397712732,0.09636810766673128
22e-bindingpose1,22d-bindingpose1,4.739447570921582,0.04248435855415495,2.9271334091566983,0.042350613725301446,0.4907630160562739,1.8123141617648835,0.0599874587282016,1.654186623839994,0.1033847164238467
22e-bindingpose1,22f-bindingpose1,-0.6942892418030474,0.04425778814428243,0.38948911492036303,0.04433008159893912,-0.32133072049782463,-1.0837783567234105,0.06264110428458927,-1.1588470376425475,0.10343981200950324
22e-bindingpose1,22g-bindingpose2,0.2328065868787124,0.04670953107232625,2.0102627175997223,0.045787655725919744,-0.8005355562488052,-1.77745613072101,0.06540863635539242,-1.507608197060713,0.099033849404748
22e-bindingpose2,22d-bindingpose2,3.9540588582674476,0.04133186685742288,2.935113461405696,0.04102366617593791,0.4907630160562739,1.0189453968617515,0.058234563657973124,0.9627623238391205,0.09799902024940675
22e-bindingpose2,22f-bindingpose2,-0.138702896502872,0.04520266342333726,0.35905819276244755,0.04382741954720155,-0.32133072049782463,-0.4977610892653195,0.0629612856025823,-0.03165961593215272,0.0971045385486091
22e-bindingpose2,22g-bindingpose1,3.0796143033389805,0.04606878168728621,2.2092076199848707,0.0454717912508769,-0.8005355562488052,0.8704066833541101,0.06473033636336338,0.44716072574806986,0.09773773961400452
22f-bindingpose1,22g-bindingpose2,1.4376440868483433,0.031764134008084206,1.6666854023090227,0.03506028970583361,-0.4792048357509806,-0.2290413154606793,0.04730945067891312,-0.34876115941816543,0.09104300177070816
22g-bindingpose1,35c,52.13962407256547,0.07965042922655921,51.26682061483589,0.07647130530752981,0.8168698591706232,0.872803457729578,0.11041762273936417,-1.0597180821302068,0.10384458777713534
22g-bindingpose2,22f-bindingpose2,-1.3668375245912159,0.05173155482309463,-1.6866613332921143,0.052820975542560565,0.4792048357509806,0.31982380870089827,0.0739338164961246,0.09415003050260928,0.0908543680924134
22g-bindingpose2,35l,-18.84648571489973,0.06836860083570405,-16.089414943956733,0.0700308448292916,-0.06000012357829121,-2.7570707709429945,0.0978702447515901,-2.269814784753722,0.07910050693384264
35b,19a-bindingpose1,10.892795882250983,0.0682161996753709,9.507021286818157,0.06779638309507927,-0.35041769710056414,1.3857745954328262,0.09617587773930023,1.7170598287613883,0.08927636265118388
35b,35k,-4.614986229150544,0.0566511240685822,-3.064594215268677,0.0578328853047874,-0.6649737451288917,-1.5503920138818663,0.0809567321531112,-1.5350832542014103,0.08374570543020916
35b,35o,-7.32763036970233,0.059992681663459786,-6.074516328234073,0.059258769503818955,-1.3404871215139167,-1.2531140414682576,0.08432510667814164,-1.5243965935803487,0.0914447489683235
35c,19a-bindingpose1,-49.171724790868446,0.07524796811816586,-51.919059504637445,0.07495365976170777,0.5927381697578618,2.747334713769002,0.10620879350405199,2.1813334861783273,0.10028707636818607
35c,19b,-54.28843455395794,0.07566268927590837,-56.19439899621189,0.07526563020808422,0.51652841827506,1.9059644422539417,0.10672280749250714,2.0695287590868015,0.10567967187444803
35d,35k,-1.6462401360385426,0.045390095671295455,-1.8322739793835403,0.044990413407238514,0.3647345200535277,0.18603384334499765,0.06390929575268048,-0.03267139070464964,0.0812947991330597
35d,35r,0.25305256293471917,0.05547881895954783,1.0650064324532171,0.056381239712224064,-1.2106027948758946,-0.811953869518498,0.07909957992703599,-0.7201175217806455,0.08342570992404943
35d,35t,-1.7790745987623318,0.05440283097580092,-1.8543266605920532,0.05525195264608316,-0.19687845660646985,0.07525206182972144,0.07753996575564488,0.3089469767004509,0.0933054845777944
35e,35f,27.669105111133064,0.05649262394290537,27.250541673766374,0.056825923506714386,0.846670758133536,0.4185634373666888,0.08012865993104765,0.5348481529764406,0.08399007788977042
35e,35h-R,66.06580869388439,0.07219721349440313,64.90874279065474,0.07036751304519132,0.885146350217731,1.1570659032296369,0.10081678693809676,1.3507692268965297,0.0950157438289056
35e,35h-S,66.81922309408733,0.07172525866142704,64.53547810298848,0.0702909523319555,0.885146350217731,2.2837449910988536,0.10042574724532476,2.109364208721603,0.08625977084095153
35e,35i,2.7893062654913257,0.04528772680930487,2.582735002400066,0.04300948762112818,0.02021091048111323,0.2065712630912594,0.06245633854931147,0.26662521692986907,0.07491562818910466
35e,35r,-1.59096758442882,0.03856325507374147,-2.143088343031591,0.04047492853916606,-0.3254564446581636,0.5521207586027708,0.05590478049445366,0.4418782939539696,0.07999377091047623
35f,35q,-27.947746032122616,0.060904949894375664,-29.547706634159006,0.06047448832719337,-1.1864933138900202,1.5999606020363921,0.08582876359398554,1.777231148601805,0.09214360319976098
35f,35t,-31.4159083756278,0.058970911283955936,-32.393761121443525,0.05947337659340217,-0.1584028645222748,0.9778527458157212,0.08375351276860475,0.9360946394586254,0.09537397409991881
35g,35h-R,6.911342109806208,0.07451899359011978,5.642348418695299,0.07522660989001646,0.7629028803404196,1.268993691110909,0.10588731388239592,0.6194035092803123,0.10191326572226105
35g,35h-S,6.50317291114475,0.04903299936788908,5.5181624763156165,0.048077452888010255,0.7629028803404196,0.9850104348291333,0.06867078347601879,1.3779984911053855,0.09380335932337097
35g,35j-R,-54.898014709985524,0.07113776392078099,-53.75639242766392,0.07074499554713645,-0.34375656901039164,-1.1416222823216038,0.10032664576578411,-1.2077681493278885,0.09437294281064862
35g,35j-S,-54.13152065407009,0.07153094946936842,-53.85796321513136,0.07137992014454109,-0.34375656901039164,-0.2735574389387239,0.10105330143953932,-0.46582996318752024,0.09311342438009101
35h-R,35n,-9.091947320083827,0.07512622044417935,-8.942725491379129,0.07475299211839484,-0.8339588743511506,-0.14922182870469908,0.10598093615778373,-0.5859054857967898,0.11343137431666887
35h-S,35n,-10.442810434985779,0.05957229446724773,-8.660158715201106,0.05554435476819606,-0.8339588743511506,-1.7826517197846734,0.08144957713031847,-1.344500467621863,0.10620467583652571
35i,35l,-4.641553840589225,0.04410602274468387,-4.867001762509528,0.044579952384630854,0.07461785531169696,0.22544792192030283,0.06271134982577337,0.15044173007822081,0.07154907507709361
35i,35m,-6.79370077794187,0.04047083404077504,-6.066372531458747,0.040174291718378,0.1217967371761155,-0.7273282464831232,0.05702510081559953,-0.6152440701612054,0.0724610597424871
