mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
10,Example 30,-58.314200046635825,0.05103761181174604,-55.712440307799184,0.052383091785992646,-2.00282,-2.6017597388366367,0.0731356693037413,-2.5101614643319916,0.060604017603598535
10,Example 23,-16.810406593499025,0.05577555758699442,-15.82453208016987,0.0576013183054181,-1.5860599999999998,-0.9858745133291548,0.08017995194973757,-0.5624087728896967,0.06983899838118748
11,10,7.0087684373468395,0.05551388893900779,8.879756793325058,0.054044731480073493,-0.8001899999999997,-1.8709883559782186,0.07747660850789571,-1.37280179642873,0.06205982489649859
11,Example 30,-50.287634713988155,0.052273368631516125,-46.665543484553844,0.05417980272193575,-2.8030099999999996,-3.622091229434307,0.07528582928462867,-3.8829632607607216,0.05599379124686614
3,6,-10.908234530005037,0.07367688660864934,-12.252989038689885,0.0712164103871959,-2.5671,1.3447545086848476,0.1024698039852779,0.7692160027210804,0.0979469252413725
3,Example 27,91.02554434336463,0.05520808883685243,90.40195609718663,0.05578078362373484,-3.0555900000000005,0.6235882461780035,0.07848202911938322,0.5570173774506078,0.11512541101757968
4,3,0.8279980791810344,0.04330961283788846,0.23483407335866371,0.04274634121346797,0.3591300000000004,0.5931640058223707,0.0608520521536129,0.38345005807920884,0.1125211679421958
4,SHP836-2,-0.6135603670329594,0.05271457079636308,-1.517259374156851,0.05022646481195546,-0.89114,0.9036990071238916,0.07281156324205226,1.2211156849521405,0.1093717898916364
4,Example 27,91.64608462864057,0.05922568516787709,90.68283465659412,0.059385389456471614,-2.69646,0.9632499720464465,0.08387077121680298,0.9404674355298166,0.11570783655043432
7,6,-32.74040796034972,0.057382847850221234,-33.13280874082966,0.05410918899806435,-0.95357,0.3924007804799375,0.07887075225601622,-0.04956299707963652,0.0860332991506746
Example 14,6,-76.44497638301317,0.08003404402597893,-83.15651630610702,0.08146452968430884,1.748190000000001,6.711539923093851,0.11420121628002904,5.929238109750635,0.09653936685679869
Example 14,Example 27,20.560554990730335,0.0825065957909275,15.030346725790203,0.0805813068748052,1.2597000000000005,5.530208264940131,0.11532859734974248,5.717039484480162,0.11393028329131465
Example 14,Example 9,-2.9780372238103134,0.08174853245076147,-0.8455222591678785,0.07982669119058786,0.9841300000000004,-2.132514964642435,0.11425901795609254,-1.5328029071343714,0.0979358144584919
Example 1,6,-9.223036113005918,0.05885137482610963,-9.367646265679342,0.05769724717538538,0.9581400000000002,0.14461015267342486,0.08241636154636267,0.9392282734487463,0.07012565655494914
Example 1,7,25.59560106794795,0.06940932013720569,23.967083442645112,0.06751675959906063,1.9117100000000002,1.628517625302836,0.096830607499212,0.9887912705283828,0.07522437104685283
Example 1,Example 3,-6.0599912487590615,0.06843176309423413,-5.730687999080884,0.06551939976068016,0.7723099999999992,-0.32930324967817703,0.09474016014967042,-0.25084950944768636,0.06946167963644666
Example 1,Example 4,-5.890994178931669,0.06852081147963651,-5.418092680024372,0.06499290802584866,0.7870899999999992,-0.47290149890729677,0.09444140881776546,-0.28116135629468175,0.07352437791927555
Example 1,Example 5,5.408152486091686,0.052466882552375776,3.205532982998232,0.04991047322511143,1.42509,2.2026195030934543,0.07241428797080973,1.9856800520381999,0.06530221298609146
Example 1,Example 8,74.79214434601798,0.06318480524096136,80.4493085477932,0.0631066341549287,-0.7241499999999998,-5.657164201775218,0.08930155030962358,-5.872855951341235,0.06044639370730257
Example 22,Example 24,-1.7010802350631316,0.04513550149716827,-2.816763249511607,0.04704065773398943,0.1616099999999996,1.1156830144484753,0.0651923076401443,0.9785722675132309,0.08857144275792195
Example 22,Example 26,4.0553818583824714,0.05572624589358225,2.909380177875048,0.05405598404442268,0.2797800000000006,1.1460016805074231,0.07763674318518823,0.8914234592584842,0.08842399963551621
Example 22,Example 6,-96.12308422990266,0.06254694504934767,-96.55262316404304,0.060292468204259715,0.16957000000000022,0.429538934140381,0.08687520968128817,0.9917936617840137,0.08563989448831902
Example 24,Example 23,2.583373995637663,0.042084967202749075,4.385535141772099,0.04209018392077691,0.33688000000000073,-1.8021611461344358,0.05952082028115281,-1.7851889186219712,0.08095433643918028
Example 24,Example 25,8.767882799746667,0.0402892241577881,7.416469111167069,0.04163714681488027,0.20730999999999966,1.3514136885795982,0.05793853275774586,1.2270354944924025,0.08803677261700843
Example 25,Example 23,-5.847145821186227,0.04859437103358848,-3.1003854880898247,0.04874106215884451,0.12957000000000107,-2.746760333096402,0.0688266230213455,-3.0122244131143736,0.0810115792748305
Example 26,Example 23,-2.8703547406525796,0.04947173961222419,-1.2887625923919552,0.05060937565076925,0.21870999999999974,-1.581592148260624,0.07077260715856373,-1.6980401103672245,0.08079299367909272
Example 26,Example 25,0.5536697192070335,0.06125266587234622,-0.8989325098557268,0.05948152569729869,0.08913999999999866,1.45260222906276,0.08538115117370866,1.3141843027471491,0.08788843252749914
Example 29,Example 28,9.808400704373781,0.07578183906140325,10.798031102776498,0.07699568777298654,-0.8345700000000003,-0.9896303984027175,0.10803343495031366,-1.2224477195760235,0.10188044269711265
