mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
10,Nc1n[nH]c2ccc(-c3cccc(Cl)n3)cc12,-7.2332124990747415,0.038691098319857585,-7.14398
1_3E62,Nc1n[nH]c2ccc(Br)cc12,-6.071175472617763,0.040855272503394165,-5.98669
7,Cc1nc(C)c(-c2ccc3[nH]nc(N)c3c2)s1,-8.78810713982943,0.054521107424006635,-8.86058
2_3E63,Nc1n[nH]c2ccc(-c3ccccc3)cc12,-8.192224668307546,0.04780030548630264,-7.90701
3,Nc1n[nH]c2cc(-c3ccccc3)ccc12,-4.05637307582618,0.053586514805218984,-5.23562
8,Nc1n[nH]c2ccc(-c3ccccc3Cl)cc12,-8.676259923280139,0.044621739573426245,-8.77456
9,Nc1n[nH]c2ccc(-c3cccc(Cl)c3)cc12,-7.940631698250814,0.039158525644795675,-8.36388
4a,Nc1n[nH]c2ccc(-c3ccn[nH]3)cc12,-8.164122705704925,0.05367678938354007,-6.86423
6,Cc1noc(C)c1-c1ccc2[nH]nc(N)c2c1,-5.853650813559929,0.05273298478768794,-6.19864
5,Nc1n[nH]c2ccc(-c3ccncc3)cc12,-8.149232003548533,0.03129115266714767,-7.7898000000000005
