mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
10,FC(F)(F)c1cccc(-c2nc[nH]n2)n1,-6.8848964098481105,0.03471906310003759,-6.54
13,OCCNc1cc(C(F)(F)F)nc(-c2n[nH]c3cnccc23)n1,-13.526748412771456,0.057584531794135904,-10.67
3,Clc1cncc(-c2nc[nH]n2)n1,-5.352874114976144,0.04103987701597989,-6.03
8,c1cc(-c2nc[nH]n2)nc(C2CCC2)c1,-5.457836915008675,0.06012100344918624,-5.83
11,FC(F)(F)c1cccc(-c2n[nH]c3cnccc23)n1,-8.54272887098448,0.05717693704090775,-9.08
12,OCCNc1cc(-c2n[nH]c3cnccc23)nc(C(F)(F)F)c1,-11.042299507004131,0.06316266336745455,-9.05
4,Clc1cccc(-c2nc[nH]n2)n1,-5.677719063973147,0.03298848452274431,-6.5
7,Cc1cccc(-c2nc[nH]n2)n1,-5.025005121165588,0.04330217196201701,-5.25
5,c1ccc(-c2nc[nH]n2)nc1,-3.30530183948115,0.04300853134006226,-4.8
6,COc1cccc(-c2nc[nH]n2)n1,-4.694539889603565,0.049789932919789656,-5.3
9,CC(F)(F)c1cccc(-c2nc[nH]n2)n1,-5.920049855183558,0.05701736957928879,-6.38
