mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
butyl benzene,isobutyl benzene,-0.5573586201773466,0.05717436148627127,-0.26411172259067994,0.0527698253328119,0.21999999999999975,-0.29324689758666667,0.07780464045941153,-0.33399587540793796,0.06975388189945078
butyl benzene,propyl benzene,-4.16911626022699,0.042960393846316794,-3.770987527770272,0.04229621430656617,0.15000000000000036,-0.39812873245671776,0.060287355092901736,-0.4768626708105268,0.058937123609222035
ethyl benzene,benzene,-0.6812010854757647,0.04892213611796969,-2.9851316001692627,0.04972038825272022,0.5599999999999996,2.3039305146934974,0.06975308172651867,2.6532909580431694,0.0448864471942967
ethyl benzene,butyl benzene,6.0577734570344886,0.04954546401957787,6.536055773450617,0.04724309505785835,-0.9400000000000004,-0.47828231641612884,0.06845920709123883,-0.6113552005313654,0.045698873917570486
ethyl benzene,isobutyl benzene,5.1979989239289255,0.04850593436973064,,,-0.7200000000000006,,,-0.9453510759393033,0.0644662918997332
ethyl benzene,m-xylene,0.9053717834257076,0.053386336839701704,-2.0686863037904155,0.052504639808315726,1.0,2.974058087216123,0.07487882319162785,2.6990793654071927,0.05029932227427785
ethyl benzene,o-xylene,1.8787651927888833,0.05312536699919668,-0.6073911046830188,0.05405083917626399,1.1499999999999995,2.486156297471902,0.07578784753809605,2.345797960133802,0.046868570441244414
ethyl benzene,ortho methyl ethyl benzene,3.6154403979616805,0.04423600687188924,2.8537394554310134,0.04619716855994609,1.1899999999999995,0.7617009425306671,0.06396094657621872,0.9295933789465414,0.04655822474165153
ethyl benzene,p-xylene,-1.7715232561492869,0.05049980976531227,-2.262730703992166,0.053715096869737515,1.0899999999999999,0.49120744784287895,0.07372613117516756,0.797575717346855,0.04771884917111933
ethyl benzene,para methyl ethyl benzene,-0.7736774956463903,0.04197006555702291,0.487041005960476,0.04406213913206683,0.33999999999999986,-1.2607185016068663,0.060851939227558036,-1.4767377802197839,0.05083142767852439
m-xylene,benzene,-0.8654323990514635,0.05153619990267413,-1.4574479250646306,0.052044317887914915,-0.4400000000000004,0.5920155260131671,0.07324336778730704,-0.04578840736402334,0.056268367084757014
meta methyl ethyl benzene,ethyl benzene,-1.917466235354764,0.043665216683741084,-0.6305935739698021,0.043821345809897855,-0.6399999999999997,-1.286872661384962,0.06186244011214488,-1.2524446359122843,0.0501542319124672
meta methyl ethyl benzene,ortho methyl ethyl benzene,1.561816353397917,0.05350582164696759,2.0235884048904427,0.053085988223883315,0.5499999999999998,-0.46177205149252565,0.07537237621186811,-0.3228512569657429,0.057484166874284544
meta methyl ethyl benzene,para methyl ethyl benzene,-2.68431699697244,0.051356969837114005,-0.13519249430267954,0.052396509449212904,-0.2999999999999998,-2.5491245026697604,0.07336847111199533,-2.729182416132068,0.06099668179477893
methyl benzene,benzene,0.2453454035440233,0.04179699775456641,-0.6747093295106293,0.04329855482046997,0.3200000000000003,0.9200547330546526,0.06018100922082043,1.0905948685970763,0.046780179863095635
methyl benzene,m-xylene,2.188846048521743,0.04381176777191576,0.779100030467941,0.04465658109851657,0.7600000000000007,1.409746018053802,0.06255942159825859,1.1363832759610997,0.05199628744005533
methyl benzene,o-xylene,3.0695079964776384,0.043591087020872166,2.127342907540704,0.04443046012082221,0.9100000000000001,0.9421650889369344,0.06224346274275896,0.7831018706877089,0.0486852645212397
methyl benzene,p-xylene,-0.2065835511085701,0.04195873489021653,0.6925593061194877,0.04497742955453305,0.8500000000000005,-0.8991428572280578,0.06151019917802622,-0.7651203720992381,0.049504349834264334
methyl benzene,propyl benzene,3.016659979000427,0.0458604631202969,5.78984018317053,0.04693489205008718,-1.0299999999999994,-2.773180204170103,0.06562062304917143,-2.6509139607879852,0.054198481315300605
ortho methyl ethyl benzene,o-xylene,-2.2099321786355484,0.04543970113977226,-3.3632993124597053,0.04414120139608579,-0.040000000000000036,1.1533671338241571,0.06334991791913881,1.4162045811872606,0.054641059265967185
p-xylene,para methyl ethyl benzene,0.10663593572216984,0.03930250034727862,2.673429897305226,0.04051957549202797,-0.75,-2.566793961583056,0.05644929168379343,-2.274313497566639,0.059010480234107626
propyl benzene,isobutyl benzene,3.7309640840675367,0.04615030173591708,3.615219565057008,0.043581688435790446,0.0699999999999994,0.11574451901052825,0.06347608933472905,0.14286679540258884,0.07443856697503196
