mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
butyl benzene,CCCCc1ccccc1,-6.6945898819649985,0.03740379877816507,-6.66
isobutyl benzene,CC(C)Cc1ccccc1,-7.0285857573729364,0.05887749890242506,-6.44
propyl benzene,CCCc1ccccc1,-7.171452552775525,0.04554712259068903,-6.51
ethyl benzene,CCc1ccccc1,-6.083234681433633,0.026255340681403123,-5.72
benzene,c1ccccc1,-3.4299437233904637,0.036406733270507044,-5.16
m-xylene,Cc1cccc(C)c1,-3.3841553160264404,0.042903133999221105,-4.72
o-xylene,Cc1ccccc1C,-3.737436721299831,0.038824218999348174,-4.57
ortho methyl ethyl benzene,CCc1ccccc1C,-5.153641302487092,0.03844899708441809,-4.53
p-xylene,Cc1ccc(C)cc1,-5.285658964086778,0.039846526221485025,-4.63
para methyl ethyl benzene,CCc1ccc(C)cc1,-7.559972461653417,0.04352575244083109,-5.38
meta methyl ethyl benzene,CCc1cccc(C)c1,-4.830790045521349,0.04273293886960036,-5.08
methyl benzene,Cc1ccccc1,-4.52053859198754,0.029375755319544273,-5.48
