mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
17,1h1q,0.653295813304701,0.0456359114882433,-0.14385913316273186,0.0447197960439666,-1.1399999999999997,0.7971549464674328,0.0638944174054099,0.8019488588036952,0.061524024270831354
17,1oi9,-8.938149478219751,0.051585082774056344,-8.215512515452213,0.05246295867449271,-2.7,-0.7226369627675395,0.07357569434050741,-1.2502322400516181,0.06003363764234267
17,1oiu,-61.243530889887516,0.047575673850077695,-57.86090603231818,0.04692557756883806,-2.04,-3.38262485756934,0.06682405683927013,-2.9526594874632845,0.06951364673334748
1h1r,1h1q,1.9364022117454656,0.043999037170610704,0.2630728801687321,0.043407651378964796,-0.5100000000000007,1.6733293315767332,0.061807276838399254,1.7880211396021037,0.06584985229635948
1h1r,1oi9,-8.083103600054597,0.05272158907462727,-7.629070016472915,0.05144739794963045,-2.070000000000001,-0.4540335835816818,0.07366410734096693,-0.26415995925320956,0.06445956200244164
1h1r,1oiu,-59.137126336165736,0.04852683100183702,-57.466251988046636,0.04683609832192505,-1.410000000000001,-1.6708743481191,0.06744237120017268,-1.966587206664876,0.07336991595431432
1h1s,29,49.87799194143106,0.06265466384247412,48.919665111564214,0.06029969644647073,1.3699999999999992,0.9583268298668468,0.08695780754337099,1.4574772961689089,0.07747409240484766
1h1s,31,44.700275504506244,0.05623490751180799,40.88910263692481,0.05637977909093429,1.7100000000000009,3.8111728675814356,0.0796306744490096,2.887531823298083,0.07601789654632418
1h1s,32,9.810945708441729,0.053753062066218514,9.039728951170336,0.05215986805670421,1.5,0.7712167572713936,0.07490022374591102,0.9847104113968168,0.07311637501831666
1oiu,1h1q,61.58819497989499,0.05935634479181029,58.05381109629023,0.059318950345278315,0.9000000000000004,3.534383883604762,0.08391611011665077,3.7546083462669797,0.06477953239328593
1oiy,1oi9,6.569389454513242,0.049985229248867794,6.888207982289888,0.047526926700824895,0.049999999999998934,-0.31881852777664516,0.06897341447751772,0.007161618415276294,0.053410283750094455
1oiy,26,13.43430528277565,0.05336166559391402,12.554227494411364,0.051816324490564614,1.3599999999999994,0.8800777883642857,0.07438009706008855,0.5785790051128057,0.05966408432122714
1oiy,29,12.87482052995655,0.06761928502096139,13.24378257078302,0.06620956530176897,-0.09000000000000163,-0.36896204082646966,0.09463653757505726,-0.607653767618304,0.06970541752693278
1oiy,31,1.2919189888197167,0.06912458799600173,0.9439873113795332,0.06816992428028659,0.25,0.34793167744018344,0.09708422756553708,0.8224007595108702,0.06808326397857843
20,1h1q,5.89565849059806,0.0517038274041865,4.819370193433918,0.049874589227655045,0.5400000000000009,1.076288297164142,0.07183843274229491,0.9538531075820247,0.06427005513336786
21,1h1q,-1.4261567601518998,0.05406974934529221,-2.125250917351782,0.05028271887136876,-0.35000000000000053,0.6990941571998821,0.07383691225504918,0.7519750700707872,0.06825055980041889
21,20,-7.054901921931554,0.05137415107707269,-6.560352083463337,0.0511616793148521,-0.8900000000000015,-0.49454983846821726,0.07250393664626531,-0.20187803751123745,0.07509548989463151
22,20,-7.032939676551986,0.04867443802906549,-6.113659385868683,0.04664355303563373,-0.8600000000000003,-0.9192802906833026,0.06741529468327875,-1.2801342967762697,0.06783193069106294
22,21,-0.33528349285136533,0.05380756522435867,1.101390831980174,0.050865553545841054,0.030000000000001137,-1.4366743248315392,0.0740443016909366,-1.0782562592650322,0.07161473135816104
22,32,-53.688642748065625,0.06665316982810793,-50.0944942282344,0.06849469940107732,-1.8899999999999997,-3.5941485198312217,0.09557284600857367,-3.4660445588552307,0.06920090564530167
26,1h1q,-0.5407724492336351,0.05238735718625489,-2.2725290607143025,0.049360479615296826,0.25,1.7317566114806673,0.07197841440885167,1.480763712157784,0.060625266441650824
26,1oi9,-10.882202905205974,0.04784683272672083,-10.336495097636659,0.04426577809193013,-1.3100000000000005,-0.5457078075693156,0.0651826549939691,-0.5714173866975294,0.05911222392378256
28,1h1s,-24.35283708253728,0.05277141438444012,-24.901351187327787,0.051673083743297106,-0.14000000000000057,0.5485141047905053,0.07385749629980758,0.3216195729679736,0.07673951831480028
28,1oiy,12.114094414779355,0.06833354792081428,10.076797098303803,0.06779857879651019,1.3200000000000003,2.037297316475551,0.09626069321521025,2.3867506367551865,0.06888805346238722
28,30,15.068550179812938,0.05099260380301397,13.658623278097068,0.05026423104758629,1.299999999999999,1.409926901715871,0.07160124695433936,1.4298257782920203,0.08101833540592956
30,29,15.349971224383923,0.06283925421226139,14.69358096561283,0.06208210510216565,-0.07000000000000028,0.6563902587710936,0.08833436275804311,0.3492710908448622,0.08171445401344249
30,31,3.725806892759525,0.04883476734771258,2.3842290274771676,0.04698423440603478,0.27000000000000135,1.3415778652823573,0.06776690036165471,1.7793256179740364,0.08033515790790342
30,32,-30.06505025149422,0.05951946729425919,-30.317731823119956,0.0606667727421423,0.0600000000000005,0.2526815716257359,0.08498837745209124,-0.12349579392722987,0.0775952401670312
