mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
17,Brc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-7.910264522269822,0.04701576771442584,-7.04
1h1q,c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-7.108315663466127,0.03968278151416554,-8.18
1oi9,Oc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.16049676232144,0.03733035272797802,-9.74
1oiu,NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-10.862924009733106,0.051202193980256196,-9.08
1h1r,Clc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-8.89633680306823,0.0525497849543779,-7.669999999999999
1h1s,NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-11.23278944452393,0.05101463453579959,-11.25
29,CN(C)S(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.77531214835502,0.05830730706466969,-9.88
31,C[S@](=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-8.345257621225846,0.05635803100274573,-9.54
32,COc1cc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)ccc1S(N)(=O)=O,-10.248079033127112,0.052378539107137426,-9.75
1oiy,NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-9.167658380736716,0.03819820906103252,-9.79
26,COc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-8.58907937562391,0.04583339156575864,-8.43
20,OCc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-8.062168771048151,0.050556076174334844,-8.72
21,COc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-7.860290733536914,0.0555285130754422,-7.829999999999999
22,CSc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,-6.782034474271882,0.04522448433240582,-7.86
28,CNS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-11.554409017491903,0.05732766116253455,-11.11
30,CS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,-10.124583239199882,0.05724954093773441,-9.81
