mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
2aa,2y,13.06736637606665,0.06615487162891892,13.101977029021507,0.06516894337038244,-0.5099999999999998,-0.03461065295485603,0.09286257707091082,-0.03586693881608305,0.10445792467460467
2aa,2z,7.877599508128224,0.06220221689774033,9.142852823499961,0.06024939158184486,-1.0899999999999999,-1.2652533153717367,0.08659737278333571,-1.2401474449354772,0.10482292705670211
2aa,3flw,22.87347889631415,0.06284299322438461,26.17606915633169,0.0637499284751387,-1.4100000000000001,-3.3025902600175394,0.08951701055098607,-3.328250163078639,0.10034136057697797
2bb,2v,22.059613090971354,0.06116564080982292,20.232715846995543,0.060347763113981316,0.08999999999999986,1.8268972439758133,0.08592489818753048,1.770760737779991,0.1008549210632983
2bb,3fly,25.086180828675523,0.0642798577992832,25.337440181562805,0.06434861094705452,-2.3599999999999994,-0.2512593528872814,0.09095407549698613,-0.05587577572155489,0.0921694451470529
2c,3flz,3.7508953327716386,0.07085697002302109,3.185456395337116,0.07135714947904828,0.9700000000000006,0.5654389374345222,0.10056119024066167,0.49170409268226756,0.09633581301397394
2e,3flz,0.35172958719583514,0.041938747139581,1.0469286533452802,0.041730752591120024,1.209999999999999,-0.6951990661494452,0.059163453444326455,-0.767542807152477,0.08473661850534127
2ee,3fln,0.3639553669830134,0.053295029189387964,-0.005462060000685694,0.05302213487473753,1.379999999999999,0.36941742698369906,0.07517783531715032,0.7381015076962907,0.07108056861091673
2f,2c,-1.344637627025474,0.07468894900717529,-0.7300591702915737,0.07256144962564463,-1.9800000000000004,-0.6145784567339004,0.1041326225328614,-0.7314929854567911,0.10084789084458744
2f,2e,2.218124879077332,0.049218810959193296,1.7650781504318849,0.04673110113883788,-2.219999999999999,0.453046728645447,0.0678696336065335,0.5277539143779535,0.08983319394554673
2ff,3fln,-6.685324020155808,0.06621558248035134,-4.929055888055087,0.06588142247026173,0.5599999999999987,-1.7562681321007207,0.09340698683673142,-1.680806297073275,0.061797158309937955
2ff,3fly,-16.942563710708626,0.067244078776759,-15.61712156486938,0.06529450120078482,0.019999999999999574,-1.3254421458392454,0.09372906709017359,-1.1710085165109394,0.07509858693724311
2g,2c,-5.138505469703327,0.07163535315218889,-5.545411307089519,0.0703868274018205,0.1999999999999993,0.4069058373861913,0.10042872742862217,0.442110485830554,0.0919643185307183
2g,2f,-3.726827052388982,0.0487667311514573,-4.874486843515051,0.04892663254197621,2.1799999999999997,1.1476597911260686,0.06907973247701588,1.173603471287345,0.0816489740856898
2g,2h,-9.370228373150425,0.054291459496022404,-12.27215708708798,0.05429985694723381,1.1799999999999997,2.9019287139375556,0.07678565646459172,2.336074112077627,0.0750176953110945
2g,2i,-2.688238054459017,0.04777185812234061,-4.431067088248023,0.0489293427811445,0.6099999999999994,1.7428290337890058,0.06838297312530202,2.1112595787801016,0.07545703647675508
2g,2x,-1.4525553552310007,0.06866312852123087,-2.8323745140844276,0.06845663545536636,0.4299999999999997,1.379819158853427,0.09695842488506087,1.1945999174758448,0.07687204437502927
2g,3flz,-1.5041559435911316,0.04256000567571407,-2.3383534591256296,0.041851995678785246,1.17,0.8341975155344978,0.05969039810064826,0.9338145785128216,0.07600557052287137
2gg,2e,15.606065357595437,0.06524342432911412,16.99215957980041,0.06524650816103084,-0.03999999999999915,-1.3860942222049732,0.09227031616612302,-1.7001373065805936,0.09286204658704322
2gg,2ee,13.402982739982363,0.0646801380950143,17.55921921119957,0.0649495200410983,-1.5999999999999996,-4.156236471217205,0.09166220822977783,-3.9485770005967336,0.09418576624456673
