mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
spiro10,spiro1,0.715692199911779,0.0484776906479296,-4.486659590786371,0.04407477433184023,0.9800000000000004,5.20235179069815,0.06551848764248916,5.130175385995834,0.04653759822814741
spiro10,spiro15,7.26142610690211,0.056165191498062435,2.7877945619536546,0.05533876285685511,-0.5500000000000007,4.473631544948455,0.07884736780984684,4.393566165386638,0.04521774506516143
spiro10,spiro6,-1.6212500763337097,0.04757938680053826,-2.713621021093532,0.046746968753286544,-1.0299999999999994,1.0923709447598222,0.06670140280335926,1.2244752309844156,0.0535631314337359
spiro16,spiro1,-8.980887569704617,0.04914254930900351,-9.937106019740623,0.04802626263578946,0.6600000000000001,0.9562184500360065,0.06871325967635118,0.8798377248261939,0.041533171390765525
spiro16,spiro15,-2.6683508862872967,0.038872571073740224,-2.634776661746353,0.04026504128841023,-0.870000000000001,-0.03357422454094404,0.055967404190656954,0.14322850421699762,0.04004872963913045
spiro16,spiro3,-1.1450720657685898,0.04995961822950714,-1.2661577481138309,0.051339911524153126,-0.8000000000000007,0.12108568234524113,0.07163623363177306,-0.08555416516834491,0.047963152428653205
spiro2,spiro1,16.602987294339187,0.043143079313133756,19.053194680611295,0.04512490881107353,-0.4899999999999993,-2.4502073862721114,0.06243062299726835,-2.8237032192280465,0.04316339744501669
spiro2,spiro15,22.694322500040077,0.04997841505783609,26.47851643288791,0.04953827491767521,-2.0200000000000005,-3.7841939328478356,0.07036961456134674,-3.5603124398372428,0.04173697759696951
spiro2,spiro3,24.351546585075493,0.04740071875762459,28.374465064465895,0.04871048023802733,-1.9500000000000002,-4.022918479390402,0.06796719078907612,-3.7890951092225853,0.04938156077035224
spiro3,spiro15,-1.1387599115887572,0.04579780300106159,-1.3261794194346173,0.04358093575540946,-0.07000000000000028,0.18741950784586012,0.06321974945411578,0.22878266938534253,0.039826259626699015
spiro4,spiro1,-10.86399537497255,0.05731268020187915,-11.312984637580984,0.055619334699047784,0.10000000000000053,0.44898926260843375,0.07986397000079304,0.7076988403740154,0.045661583252643946
spiro4,spiro15,-4.048398846295308,0.058881905906545136,-4.000846555510724,0.0576588363946395,-1.4300000000000006,-0.04755229078458463,0.08241128719763477,-0.028910380235180888,0.044315647406662086
spiro5,spiro1,-9.1926089136317,0.05471890083363529,-9.585218571126658,0.05359294308081856,0.2400000000000011,0.3926096574949582,0.07659217751510312,0.35008497673452954,0.048559040316107624
spiro5,spiro15,-2.2080335193135148,0.05944783251967623,-2.0664790958336097,0.05709545268766615,-1.29,-0.14155442347990502,0.08242533293167216,-0.3865242438746668,0.047295632106515155
spiro5,spiro4,1.2812751645928813,0.0374888115002908,1.7644280076714796,0.038645423059985994,0.14000000000000057,-0.4831528430785982,0.053841245446122746,-0.3576138636394859,0.05754290321802718
spiro6,spiro1,1.3629997313432711,0.03794084074541249,-2.283491875615907,0.03570068667302951,2.01,3.646491606959178,0.05209651068348608,3.9057001550114183,0.04283731867126436
spiro6,spiro15,8.362921542565225,0.04829587565546579,4.886020700893487,0.04841993616028536,0.47999999999999865,3.4769008416717377,0.06838846264608031,3.169090934402222,0.04139966534740246
