mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
29,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1OC,-10.428229389542278,0.03502742095578531,-9.99
31,CCCOc1cc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)ccc1OC,-10.745326307266346,0.051832835588720635,-10.36
32,CCCCOc1cc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)ccc1OC,-11.404675598171515,0.04933638683889891,-10.36
34,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1OC1CCCC1,-10.482483275786585,0.049177728611567266,-10.15
35,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1C1CCCC1,-9.55313235179129,0.05508716319551722,-9.81
36 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1F,-9.967319086094856,0.037882431243047285,-10.36
30,CCOc1cc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)ccc1OC,-10.367742257466842,0.05346889911950031,-10.36
33,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1OC(C)C,-9.633432817351125,0.05078095590225025,-10.24
37 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1Cl,-10.238050192345861,0.040884765843866286,-10.56
39 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1C#N,-9.792670774632725,0.04646174202797132,-9.68
38 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1C(F)(F)F,-10.503403324695128,0.040236273688719584,-10.49
28 out,COc1ccc([C@]2(c3cccc(-c4cccnc4)c3)[NH+]=C(N)N(C)C2=O)cc1C,-9.733534624855421,0.03700555354363766,-10.49
