mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
14,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)cc1,-10.271689234700304,0.049182699960571605,-10.3255
15,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(CC(N)=O)[C@@H]1c1ccc(C#N)cc1,-11.321875832457827,0.06246965098308884,-12.2782
17,CC1=C(C(=O)OCCO)[C@@H](c2ccc(C#N)cc2)NC(=O)N1c1cccc(C(F)(F)F)c1,-10.689502195890444,0.05986099840859177,-11.414
22,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2)NC(=O)N1c1cccc(C(F)(F)F)c1,-10.412372337832053,0.035713172724410894,-11.3613
23,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2)N(CC(N)=O)C(=O)N1c1cccc(C(F)(F)F)c1,-11.711130106689529,0.04911742078847872,-10.3711
18,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)cc1,-9.082455687860728,0.052731077129682585,-10.7585
20,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)nc1,-9.80703611132912,0.051897164506382966,-10.5033
25,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,-11.783678337984565,0.03898479306612435,-11.9998
26,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2C(F)(F)F)NC(=O)N1c1cccc(C(F)(F)F)c1,-12.666391482446747,0.04782850359112741,-12.5809
27,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2C(F)(F)F)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,-14.237970843581104,0.04611175644752774,-14.488
29,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2S(C)(=O)=O)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,-14.323918709763463,0.05820138579090907,-13.8977
28,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2S(C)(=O)=O)NC(=O)N1c1cccc(C(F)(F)F)c1,-13.232167702052578,0.05209392824046941,-12.6433
30,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2[S@](C)(=N)=O)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,-14.175336097836977,0.05647410427535429,-13.0996
6,CCOC(=O)C1=C(N)N(c2cccc([N+](=O)[O-])c2)C2=CCCC(O)=C2[C@@H]1c1ccc(Br)cc1,-9.038235319574568,0.08535082211459946,-7.03256
