mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
b1a2m,b1i2a,2.89787031981233,0.07095301377677313,3.171385543161764,0.07144496947192742,0.906130000000001,-0.27351522334943407,0.10069118048196475,-0.13266649458668311,0.06403452001429674
b1a2m,b1i2c,9.743308498501518,0.0685192078024163,7.930284289030971,0.06448444456882829,2.72194,1.8130242094705475,0.09409104861367522,2.276927901973556,0.07926525859250741
b1a2m,b1i2h,4.640924069207568,0.07129252668838384,5.295045129333996,0.07321805661323309,-0.21786999999999956,-0.6541210601264286,0.10219348401846631,-0.7995284117923518,0.0641902974604139
b1i1,b1i2e,-11.453928209694926,0.07658778480552168,-6.6121539259955755,0.07925646008623032,-3.079909999999999,-4.841774283699351,0.1102146780007868,-5.157943995193902,0.09441960657650804
b1i1,b1i2j,-13.558028772715423,0.07858402120065597,-7.572377093882708,0.0780978174760583,-3.93011,-5.985651678832714,0.11079132404023731,-5.102626906775791,0.0989168930252115
b1i1,b1i2k,-7.671811654951107,0.07716977345273995,-3.6960980983330836,0.07878105189350713,-3.24101,-3.9757135566180226,0.11027977181783916,-4.534059569486281,0.1013411670454975
b1i2a,b1i2d,5.283075651273076,0.05124735179301349,6.36303278697902,0.05245144545590724,0.28553999999999924,-1.0799571357059443,0.07333106569668066,-0.9347550438852181,0.07057130280162191
b1i2a,b1i2e,-0.5124503077779544,0.04200195130390263,1.4888313067158614,0.04399697754224718,-1.77487,-2.001281614493816,0.06082678642003382,-1.818329721105167,0.06457780547593112
b1i2a,b1i2g,4.261620128643066,0.0441829400886628,3.538003943535772,0.044226558273163345,0.36153000000000013,0.7236161851072942,0.06251496342131121,0.7578712805601437,0.06577878032081601
b1i2a,b1i4b,2.351631327865764,0.03975796963126862,2.3615178167293367,0.03878953324494257,0.3085899999999988,-0.00988648886357269,0.055545693249444486,-0.2298446724319465,0.06388284283186264
b1i2d,b1i4a,-12.176992145002872,0.055174928424943405,-14.483635084281397,0.056790989425428554,1.1785699999999997,2.3066429392785244,0.07918010612910774,1.9792724327890543,0.07518428403216473
b1i2e,b1i2k,3.320988636748197,0.04180794341267869,2.6557710485979844,0.04194271394762755,-0.16110000000000113,0.6652175881502124,0.05922073442376626,0.6238844257076206,0.07643045659297032
b1i2e,b1i4a,-7.232007629173836,0.04826881830349915,-9.475025618085525,0.051454619497025275,3.238979999999999,2.2430179889116895,0.07055109274844627,2.862847110009003,0.06958922866649847
b1i2e,b1i5a,0.4368873707435568,0.05550423312313028,3.1373219939139996,0.05542874798317457,0.07909999999999862,-2.700434623170443,0.07844148135756408,-3.2500381918458032,0.07805277064605366
b1i2g,b1i4a,-10.979026409223652,0.05080455549463235,-11.325965739707588,0.05133796196798385,1.1025799999999988,0.3469393304839364,0.07222665157705521,0.2866461083436924,0.07070513225222895
b1i2h,b1i2d,4.5424961487925515,0.05643682351089862,4.29767705079714,0.05733246047375508,1.4095399999999998,0.24481909799541135,0.08044952499533486,-0.26789312667954945,0.07071268142075547
b1i2h,b1i2g,2.6170361512385916,0.0355251004210041,1.1433472187165297,0.033865419940132375,1.4855300000000007,1.473688932522062,0.04908054021344855,1.4247331977658124,0.0659304366365734
b1i2h,b1i4b,0.8772643088731049,0.04830094140901247,0.4912785899877847,0.05009310863188635,1.4325899999999994,0.3859857188853203,0.06958664004967348,0.43701724477372217,0.06403898923995843
b1i2i,b1i2c,5.50138777462444,0.06627483677040397,2.041038462111311,0.06318234285022391,2.9304000000000006,3.460349312513129,0.09156616425834889,3.611705486391731,0.08719329715607164
