mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
b1a2m,O=C(c1c(Cc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-9.175554668526425,0.046620265173406034,-9.60566
b1i2a,O=C(c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-9.308221163113108,0.04389727358985607,-8.69953
b1i2c,O=C(c1c(Oc2cccc(C(F)(F)F)c2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-6.898626766552869,0.06410563231806059,-6.88372
b1i2h,O=C(c1c(Oc2cccc(F)c2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-9.975083080318777,0.044124201558982605,-9.82353
b1i1,O=C(c1c(N2CCCCC2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-5.9686068890243735,0.08168071849952126,-7.39449
b1i2e,Cc1ccccc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-11.126550884218275,0.04736372379220751,-10.4744
b1i2j,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-11.071233795800165,0.05579257971417975,-11.3246
b1i2k,Cc1cccc(F)c1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-10.502666458510655,0.0599857680082984,-10.6355
b1i2d,COc1ccccc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-10.242976206998327,0.05525701901564662,-8.41399
b1i2g,Cc1cccc(Oc2c(C(=O)N3CC[NH2+]CC3)c3ccccc3n2-c2ccccc2)c1,-8.550349882552965,0.04898854265919223,-8.338
b1i4b,O=C(c1c(Oc2ccccc2)n(-c2ccc(F)cc2)c2ccccc12)N1CC[NH2+]CC1,-9.538065835545055,0.04641171166481354,-8.39094
b1i4a,O=C(c1c(Oc2ccccc2)n(-c2ccccn2)c2ccccc12)N1CC[NH2+]CC1,-8.263703774209272,0.050983707347874274,-7.23542
b1i5a,COc1ccc2c(C(=O)N3CC[NH2+]CC3)c(Oc3cc(F)ccc3C)n(-c3ccccc3)c2c1,-14.376589076064079,0.062039605689115505,-10.3953
b1i2i,Cc1cccc(C)c1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-10.5103322529446,0.05910278313284949,-9.81412
b1i5b,COc1ccc2c(c1)c(C(=O)N1CC[NH2+]CC1)c(Oc1cc(F)ccc1C)n2-c1ccccc1,-12.241914099118198,0.06818003330354026,-8.00772
b1i5d,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2cc(C(N)=O)ccc2n1-c1ccccc1,-8.688500012747774,0.07311701617426714,-11.2166
b1i2n,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-9.482148971066172,0.042629311983752166,-10.9765
b1i2o,O=C(c1c(Cc2c(F)cccc2Cl)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-10.353406514513878,0.05428586137624598,-10.5657
b1i4e,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1C1CCCCC1,-8.855846148688109,0.07026511756018464,-10.1889
b1i4g,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1C1CCOCC1,-7.270384312747526,0.06616434862091546,-8.35437
b1i4i,COc1ccc(-n2c(Cc3cccc(F)c3C)c(C(=O)N3CC[NH2+]CC3)c3ccccc32)cn1,-8.510570883329207,0.06165631493032758,-8.7908
b1i5h,COc1ccc2c(C(=O)N3CC[NH2+]CC3)c(Cc3cccc(F)c3C)n(-c3ccccc3)c2c1,-11.644008895716656,0.05525194368056913,-10.8059
b1i5n,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(OCCO)cc2n1-c1ccccc1,-10.326192486153978,0.059073974307296225,-10.2436
b1i5o,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(S(C)(=O)=O)cc2n1-c1ccccc1,-5.711843298965109,0.06794487728169916,-10.0361
b1i5c,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2cc(O)ccc2n1-c1ccccc1,-13.181212966867099,0.06380561759475999,-11.8676
b1i5i,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(O)cc2n1-c1ccccc1,-11.7304616283721,0.05723045700420569,-11.4568
b1i5j,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2cc(O)ccc2n1-c1ccccc1,-10.743238398176741,0.05727285847755773,-11.4568
b1i5l,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2cccc(F)c2n1-c1ccccc1,-8.964052564612993,0.06126345773198533,-9.653
b1i5k_xray,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2c(C)c(O)ccc2n1-c1ccccc1,-9.704848084545569,0.0588146580420106,-11.8676
