mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
CHEMBL1077204,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-11.430363180108179,0.08055524943291552,-11.1117
CHEMBL1084676,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-10.278965235091265,0.08336160127786478,-10.7782
CHEMBL1085692,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-11.2926200995908,0.06835770635377811,-11.3918
CHEMBL1077227,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1cccs1,-11.400102619099979,0.06847602419574549,-11.3918
CHEMBL1084935,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,-10.635520474828674,0.07019758431746521,-10.5962
CHEMBL1086410,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,-11.067659141639272,0.07219888674656315,-11.5248
CHEMBL1082248,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-10.10847906353477,0.05293725413651635,-11.6963
CHEMBL1083517,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1,-13.54935816177246,0.06108568618532572,-11.5248
CHEMBL1096002,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,-9.947147956775218,0.051469710547576826,-11.1913
CHEMBL1082249,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-10.195571153194678,0.0644134927377617,-11.2832
CHEMBL1083836,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,-11.000438842973898,0.06712865533893453,-10.9219
CHEMBL1085666,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-9.824302366128945,0.0708879202468603,-10.5656
CHEMBL1084143,CC(C)c1ccc2c(c1)[C@H]1O[C@@H](CNS(=O)(=O)CCC[NH+](C)C)CC[C@H]1[C@H](c1ccccc1)N2,-12.828200753638896,0.08704430162428982,-11.938
CHEMBL1084431,Cc1ccc(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)c2cc(C(F)(F)F)ccc2N[C@H]3c2ccccc2)cc1,-10.131126034333484,0.0716147486194586,-9.86313
CHEMBL1084677,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-12.372755606140036,0.08549679273132854,-11.5248
CHEMBL1096003,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,-11.121487796871413,0.06886940559578444,-11.938
CHEMBL1084678,CN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)S(=O)(=O)CCC[NH3+],-11.558082106445337,0.0669652787368302,-11.1913
CHEMBL1086409,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(F)cc1,-11.549605808700846,0.06775575368490115,-9.93104
CHEMBL1093087,[NH3+]CCN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)c1ccccc1,-10.668283599131815,0.07908460124774709,-10.5962
