mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
19a-bindingpose1,CS(=O)(=O)c1sc(Oc2cccc(F)c2)c2c1[C@H](O)C(F)(F)C2,-7.3110781704021885,0.06085570280274215,-8.236320561638735
19b,CS(=O)(=O)c1sc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)C(F)(F)C2,-7.564447976966768,0.07275471153409353,-8.312530313121536
19c-bindingpose2,CS(=O)(=O)c1sc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-6.146532021909237,0.07734063966784857,-8.260657196280185
19a-bindingpose2,CS(=O)(=O)c1sc(Oc2cccc(F)c2)c2c1[C@H](O)C(F)(F)C2,-6.3183090841269935,0.07776108650753592,-8.236320561638735
19c-bindingpose1,CS(=O)(=O)c1sc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-8.197758201681095,0.08349527800377399,-8.260657196280185
19d-bindingpose2,CS(=O)(=O)c1sc(Oc2cc(Cl)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-6.62968813382273,0.08123302728709506,-7.919978696712844
19d-bindingpose1,CS(=O)(=O)c1sc(Oc2cc(Cl)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-7.777756170100109,0.09139401772719184,-7.919978696712844
22a,CS(=O)(=O)c1sc(-c2ccc(F)cc2)c2c1[C@H](O)C(F)(F)C2,-8.493380444692372,0.06459274773298349,-8.347403690247063
22b-bindingpose1,CS(=O)(=O)c1sc(-c2ccc(F)c(F)c2)c2c1[C@H](O)C(F)(F)C2,-8.785318692848753,0.05355149895065005,-8.347403690247063
22b-bindingpose2,CS(=O)(=O)c1sc(-c2ccc(F)c(F)c2)c2c1[C@H](O)C(F)(F)C2,-7.730130942309275,0.06189530698963139,-8.347403690247063
22d-bindingpose1,CS(=O)(=O)c1sc(-c2cccc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-4.938665829816152,0.0725490189070046,-8.35463001826214
22d-bindingpose2,CS(=O)(=O)c1sc(-c2cccc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-7.481162732190725,0.06569410577393936,-8.35463001826214
22g-bindingpose1,CS(=O)(=O)c1sc(-c2cc(F)cc(Cl)c2)c2c1[C@H](O)C(F)(F)C2,-7.7591958916047945,0.0694086088376086,-9.64592859056722
35c,CS(=O)(=O)c1sc(OC2CCC2)c2c1[C@H](O)C(F)(F)C2,-8.933686592368838,0.0674804138032693,-8.829058731396596
35l,CS(=O)(=O)c1sc(OCC(F)(F)F)c2c1[C@H](O)C(F)(F)C2,-10.3581978986741,0.04984365990312961,-9.70592871414551
22f-bindingpose1,CS(=O)(=O)c1sc(-c2cc(Cl)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-7.64525443572882,0.06952879121126262,-9.166723754816239
22f-bindingpose2,CS(=O)(=O)c1sc(-c2cc(Cl)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-8.453996188063995,0.06328125218438692,-9.166723754816239
22e-bindingpose1,CS(=O)(=O)c1sc(-c2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-6.606391634327608,0.06890073498522653,-8.845393034318414
22g-bindingpose2,CS(=O)(=O)c1sc(-c2cc(F)cc(Cl)c2)c2c1[C@H](O)C(F)(F)C2,-7.708177707371567,0.05918039741625848,-9.64592859056722
22e-bindingpose2,CS(=O)(=O)c1sc(-c2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,-8.470528677446232,0.06838486859910614,-8.845393034318414
35b,CC(C)Oc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,-8.034136869289116,0.0554938873151337,-7.885902864538171
35k,CS(=O)(=O)c1sc(OCC(F)F)c2c1[C@H](O)C(F)(F)C2,-9.332881937846937,0.051499163557852605,-8.550876609667062
35o,CS(=O)(=O)c1sc(OCCC(F)(F)F)c2c1[C@H](O)C(F)(F)C2,-10.101367248171192,0.05993010767406764,-9.226389986052087
35d,CCCOc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,-10.03706654028396,0.0578225579704766,-8.91561112972059
35r,C[C@@H](COc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O)C(F)(F)F,-10.580549678135046,0.06108032155972263,-10.126213924596485
35t,CS(=O)(=O)c1sc(OCCCC(F)(F)F)c2c1[C@H](O)C(F)(F)C2,-9.592616219069289,0.062499124378566286,-9.11248958632706
35e,CC(C)COc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,-11.086923007384224,0.05500364084312653,-9.800757479938321
35f,CS(=O)(=O)c1sc(OCC2CC2)c2c1[C@H](O)C(F)(F)C2,-10.773895244395248,0.06869261114601385,-8.954086721804785
35h-R,C[C@@H](Oc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O)C1CCC1,-10.233155287264935,0.08307759988916856,-8.91561112972059
35h-S,C[C@H](Oc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O)C1CCC1,-10.002651658545096,0.07032910902581642,-8.91561112972059
35i,CC(C)(C)COc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,-11.449811377890233,0.0514910202788941,-9.780546569457208
35q,C[C@H](COc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O)C(F)(F)F,-10.211546458331895,0.07543287661854153,-10.140580035694805
35g,CS(=O)(=O)c1sc(OCC2CCC2)c2c1[C@H](O)C(F)(F)C2,-11.447707386891764,0.0758439402894258,-9.67851401006101
35j-R,CC[C@@H](C)COc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,-11.537401136786205,0.07107015241298392,-10.022270579071401
35j-S,CC[C@H](C)COc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,-11.86030054189982,0.08146941264726046,-10.022270579071401
35n,CS(=O)(=O)c1sc(OCC2CC(F)(F)C2)c2c1[C@H](O)C(F)(F)C2,-10.70667028748469,0.07739271455454891,-9.74957000407174
35m,CC(F)(F)COc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,-11.553871975255426,0.048288905934463174,-9.658749832281092
35s,CC(F)(F)CCOc1sc(S(C)(=O)=O)c2c1CC(F)(F)[C@H]2O,-9.611457383157916,0.07192970772371415,-9.258622958144626
