mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
1a,1b,0.11932980441746557,0.050242704876429733,2.6402559861125177,0.049917791208479105,-1.3866099999999992,-2.520926181695052,0.07082453863198354,-2.505938366739117,0.07696000981561713
1a,3a,6.126004682196307,0.05602872450036229,11.017904250140205,0.05749383757120361,-2.4459399999999984,-4.891899567943899,0.08027925839095326,-4.820725225547027,0.07759908179535921
1a,5a,-3.991024272195394,0.05620536225332992,0.4855528263192815,0.055914413377676705,-2.207939999999999,-4.476577098514675,0.07928092058873784,-4.564772773607884,0.07422660121115944
1b,3a,12.734632145377008,0.05378577087606912,14.996443503688594,0.05346305793088197,-1.0593299999999992,-2.2618113583115864,0.07583671743986449,-2.31478685880791,0.07668887481383566
1b,5b,3.1573802121800987,0.059003071728425414,5.66863685157703,0.06139613376100536,-0.5372299999999992,-2.511256639396931,0.08515190963324884,-2.4228026200686674,0.0736159500180469
3a,3b,-1.7964374068910853,0.04019625403528885,-1.8026889715059007,0.03981797525357667,-0.5228000000000002,0.006251564614815312,0.05657923640138597,0.012117971887837697,0.073725559454767
3b,5d,-15.712240044458381,0.04302477978993853,-16.172079136215263,0.043629893367757244,0.6341999999999999,0.45983909175688276,0.06127560094568286,0.38670124475773093,0.06886851911969645
3b,7,-18.182941339919797,0.048241752499670255,-20.49348333342871,0.05048835150087965,3.122489999999999,2.3105419935089127,0.06983079780094036,2.4144644902588936,0.06955010891852999
5a,5c,4.140901385649559,0.044989721363783666,3.828200605697959,0.04765845554446048,0.7980900000000002,0.3127007799515992,0.06553932722628611,0.2982016433679533,0.07236147123383083
5b,5j,0.9052784539751482,0.040662754608523886,0.9836621834021189,0.04021079699293384,-0.6100000000000012,-0.07838372942697071,0.05718712973353329,-0.20523290564799446,0.06696700301499266
5d,5n,8.898206096179502,0.055094185378056576,8.780063553099733,0.05390231586006757,0.17049999999999876,0.11814254307976976,0.07707677287970842,-0.036771174637777904,0.07596288312122401
5d,7,-2.142675066841573,0.038688083707853455,-4.149692490618725,0.040594610027912224,2.4882899999999992,2.0070174237771528,0.05607753725248772,2.0277632455011627,0.0684772388999274
5e,5j,3.290197771896803,0.05042735051762091,4.66788181802554,0.052949388435277585,-0.9768000000000008,-1.3776840461287374,0.07312014370812539,-1.2548709402722071,0.05922336615132657
5e,5k,2.4496451603978673,0.051485805455737645,2.9717865593585913,0.05182039459425529,-0.8558000000000003,-0.5221413989607239,0.07304889772837361,-0.6162691859149589,0.057695540937514236
5e,5p,14.643219738906415,0.06604940067274392,15.904640772418587,0.0630657942567659,-0.3956999999999997,-1.2614210335121718,0.09132260253883148,-1.0731260189636362,0.07206520174385088
5e,7,-1.9637731264044616,0.047756353270632344,-3.5791249832649563,0.048902097419333435,1.7107899999999994,1.615351856860495,0.068352647422901,1.4849601887832762,0.06279068100337502
5f,5g,-2.6953549924714237,0.04305139043828219,-2.4634665959858566,0.04326217291715086,-0.5428999999999995,-0.23188839648556728,0.0610330879456617,-0.3198737942198431,0.06202114496673651
5f,5h,6.279993622038059,0.04120780640548523,5.121923609151634,0.03821960709256826,0.21330000000000027,1.1580700128864256,0.05620339558302723,1.129520075833673,0.06487780178783889
5f,5i,-2.1746397604112855,0.03541676681958706,-1.827545185223881,0.03508888770255765,-1.8158000000000012,-0.3470945751874045,0.04985556550833321,-0.2516294207914882,0.06037783318520542
5f,5k,-2.793681638861485,0.040385296196891816,-2.9458934510602437,0.03997162035722445,-0.7003000000000004,0.15221181219875898,0.05682167353125711,0.23630228179345636,0.05533009254523203
5f,5l,1.0080068727784137,0.042413242847251884,1.5098912157361504,0.046173990103115056,0.17050000000000054,-0.5018843429577368,0.06269705360591142,-0.6268645721354389,0.058106574577586015
5g,5h,8.973599496332433,0.050918947432531274,7.6228467520363665,0.04915141478210765,0.7561999999999998,1.350752744296066,0.07077146870540184,1.449393870053516,0.0740850992054803
5g,5i,0.7868330077163644,0.03435813507477006,0.6132368967342992,0.03538047587968435,-1.2729000000000017,0.17359611098206526,0.049317943177803664,0.06824437342835488,0.07017802718518268
5h,5a,-9.842055080224801,0.05236150877456903,-8.818149638170576,0.05485964035191385,-0.7087000000000003,-1.0239054420542257,0.07583737693703946,-0.9626184295495701,0.0735085309156476
5i,5m,-1.5509191387633618,0.039699152778039495,-1.9920394633710443,0.03853754878461545,-0.6099999999999994,0.4411203246076825,0.055327799500980844,0.42610006776296316,0.06717245135147419
5j,5c,2.1309369235016864,0.05068163997516747,1.1833558465377652,0.05000518503242466,1.123990000000001,0.9475810769639211,0.07119794351453924,0.867402762215848,0.0686637364140226
5k,5m,-0.9049726774934467,0.036319910542038536,-0.8227752429516724,0.03322535915584803,-1.7255000000000003,-0.08219743454177426,0.04922459134230346,-0.061831634821981396,0.0626743537779977
5l,5b,-3.2240850946701,0.04119573958610041,-3.8477359021243887,0.045879714302452,-0.38180000000000014,0.6236508074542887,0.06166066123972738,0.4297980052196415,0.06797722196931079
5l,5c,-0.5778980544451634,0.05117930814159282,-1.5648119432172027,0.05342657892400848,0.13218999999999959,0.9869138887720393,0.07398459919047624,1.091967861787495,0.06964934968963661
5m,5o_adjust,7.851859816410994,0.05270508856186679,8.60837797309659,0.053343550502120134,0.6509,-0.7565181566855966,0.074989070806928,-0.7368460734204412,0.07106587480157824
5n,5o_adjust,0.8493741811853118,0.04596920221302258,1.7631941626512246,0.05008991238303629,-1.3233999999999995,-0.9138199814659128,0.06798651980092826,-0.8353726628017171,0.07983166101213784
5p,5n,-6.245088389803833,0.041378571796255675,-6.59452581521302,0.04044213760195426,-0.21130000000000138,0.3494374254091875,0.057859767522115815,0.4935517876079718,0.08435299649948695
5p,5o_adjust,-5.198560355567307,0.05525736092001113,-4.983604274099782,0.05607265129525951,-1.5347000000000008,-0.21495608146752515,0.0787243174573406,-0.34182087519374527,0.08088628076961017
