mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
1a,O=c1[nH]c(-c2ccccc2)nc2ccccc12,-6.364767472554214,0.05506031731696874,-8.55056
1b,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-8.870705839293331,0.05376992251970051,-9.93717
3a,CC(C)(C)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-11.18549269810124,0.05468069999952049,-10.9965
5a,CC(C)(O)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-10.929540246162098,0.04977900947503081,-10.7585
5b,CC(C)(O)c1ccc(-c2nc3cccc(F)c3c(=O)[nH]2)cc1,-11.293508459361998,0.05028024989282554,-10.4744
3b,CC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-11.173374726213403,0.04945178626178051,-11.5193
5d,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.786673481455672,0.047931135614120095,-10.8851
7,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)nc1,-8.75891023595451,0.04890540344479903,-8.39681
5c,CC(C)(O)c1ccc(-c2nc3cccc(Cl)c3c(=O)[nH]2)cc1,-10.631338602794145,0.05251887979393047,-9.96041
5j,CC(C)(O)c1ccc(-c2nc3ccc(F)c(F)c3c(=O)[nH]2)cc1,-11.498741365009993,0.044232069401341084,-11.0844
5n,CC(C)(OCCO)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.82344465609345,0.05893187465904652,-10.7146
5e,CC(C)(O)c1ccc(-c2nc3ccc(Cl)cc3c(=O)[nH]2)cc1,-10.243870424737786,0.03938186301800665,-10.1076
5k,CC(C)(O)c1ccc(-c2nc3c(F)cc(F)cc3c(=O)[nH]2)cc1,-10.860139610652745,0.04216449109503566,-10.9634
5p,COCCOC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-11.316996443701422,0.06035281408197043,-10.5033
5f,CC(C)(O)c1ccc(-c2nc3c(F)cccc3c(=O)[nH]2)cc1,-11.096441892446201,0.03582701259888409,-10.2631
5g,CC(C)(O)c1ccc(-c2nc3c(Cl)cccc3c(=O)[nH]2)cc1,-11.416315686666044,0.05062655025996089,-10.806
5h,COc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-9.966921816612528,0.05408839370014154,-10.0498
5i,Cc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-11.34807131323769,0.04859946407502755,-12.0789
5l,CC(C)(O)c1ccc(-c2nc3c(F)ccc(F)c3c(=O)[nH]2)cc1,-11.72330646458164,0.045747122066638966,-10.0926
5m,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-10.921971245474726,0.04637057593114704,-12.6889
5o_adjust,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)OCCO)cc3)nc12,-11.658817318895167,0.053852838821433734,-12.038
