mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
10,11,1.5782568367522458,0.046648323068568844,2.8901760500379368,0.04657182597618068,-0.6547000000000001,-1.3119192132856912,0.06591662172673315,-1.7628272601022115,0.054597432643947647
2,10,11.385700042682206,0.06711052663245087,17.156479382069627,0.06593797777971881,-3.182170000000002,-5.770779339387422,0.09408315310704456,-5.699705259381949,0.053613515147533784
2,7,7.208203246651749,0.06108222160267493,7.4270221209421114,0.061775853823858064,-1.3966800000000008,-0.2188188742903628,0.08687516280033647,-0.05990949488426622,0.06434879518471986
2,8,16.364189470179216,0.06554660553268006,18.05712318873711,0.0645256594055637,-1.9184600000000005,-1.6929337185578912,0.09197781373015763,-1.9389872955337033,0.06474546245375808
7,10,-10.414406120916325,0.07261161220932498,-4.696311686969389,0.07097564362754971,-1.7854900000000011,-5.718094433946937,0.10153811213520927,-5.639795764497682,0.055415407135218184
7,9 flip,25.51442715461914,0.07614423030476936,28.351137425899992,0.07515430667305285,0.7537000000000003,-2.8367102712808565,0.10698651139378755,-2.6826375862758187,0.06976310047267441
8,10,25.24795515663636,0.06667751780982814,28.03330327149631,0.06360539309967707,-1.2637100000000014,-2.7853481148599544,0.09214953832029976,-3.7607179638482453,0.055875529658231955
8,11,24.729058364025256,0.057780185374552456,30.835405484012284,0.05878491455148236,-1.9184100000000015,-6.106347119987026,0.08242703440463406,-5.523545223950457,0.06556253162581935
9 flip,10,-7.080863726081459,0.0793825645986579,-4.179487500101872,0.07742592534226309,-2.5391900000000014,-2.901376225979587,0.11088897815998573,-2.9571581782218637,0.060004431105629794
9 flip,11,-6.328594510567918,0.08190011757465022,-1.372564827508742,0.0800500552730314,-3.1938900000000015,-4.956029683059176,0.11452353735349304,-4.719985438324075,0.06911513937560189
