mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
11,12,2.8833513692368387,0.04827748894750196,4.843818839855353,0.04712812338580312,1.0765999999999991,-1.9604674706185143,0.06746685077090568,-1.7356653964578275,0.07996742258510572
11,24,9.42641108020792,0.0627618716147319,10.539975853336179,0.06335061903886363,0.49549999999999983,-1.113564773128259,0.08917596907907041,-1.2818650197645276,0.08396176555791084
11,25,6.223636386359817,0.0635323837434634,5.69340295778454,0.06344169493244521,0.08479999999999954,0.530233428575277,0.08978425496727216,0.3027121986944028,0.07649744235744038
12,27,5.3735818214993545,0.064988227172514,5.900882044335189,0.06717297586290705,-0.14149999999999885,-0.5273002228358343,0.09346485091896835,-0.03664595588639763,0.08412606722159117
14,19,0.16125216904878079,0.05149241624063456,3.0392043381554585,0.05367359686724515,-0.12980000000000036,-2.8779521691066776,0.07437959351170396,-2.5355035308318463,0.060375598582444186
14,20,7.920108988987167,0.04936479956655884,6.989245154465333,0.05196642037262112,1.0212900000000005,0.9308638345218335,0.07167560451499869,0.9135229280652197,0.05539683567022118
14,30,0.30380835889635466,0.05643413653917905,4.034986355316302,0.05627395693293594,-2.06142,-3.731177996419947,0.07969673767358758,-3.996879571623392,0.053980477792201866
15,14,5.6311180757205594,0.03950905269062032,0.11105729291580353,0.04505579647454378,0.7477499999999999,5.520060782804756,0.05992486996619788,5.469670424818608,0.05023810261073287
19,30,7.191923125658848,0.05500161302597366,8.428515227236044,0.05387052456524613,-1.9316199999999997,-1.2365921015771961,0.07698838128181253,-1.4613760407915457,0.07025658839750755
22,28,-4.455146108236307,0.05182315422324466,-0.7642335491137311,0.05454118587356067,-1.6167200000000008,-3.690912559122576,0.07523549873657044,-3.60959302075004,0.0685271490344885
22,29,3.3046076165687595,0.050855738863234676,5.599162863922325,0.05140987234206691,-0.8336199999999998,-2.2945552473535655,0.07231376874118188,-2.6021399175100637,0.07406354707735344
22,31,4.030687748018007,0.05185813011525034,7.096744807942878,0.053598297283306055,-1.3177200000000013,-3.066057059924871,0.07457910652937516,-2.818806222185552,0.07652926253819178
23,24,3.577149818244379,0.05914225405516628,3.0321293247637717,0.05809665217945437,-0.9535999999999998,0.5450204934806069,0.0829037225291261,-0.6226036753796436,0.0851624332725109
23,27,1.698502051500754,0.05178607937559119,3.538266744764497,0.05201911662133392,-0.5139999999999993,-1.8397646932637428,0.0734015429753283,-1.113050007959341,0.08533055446346244
24,27,0.7971580888190374,0.047413496304271954,0.36288106123952657,0.050913781258779635,0.43960000000000043,0.4342770275795108,0.0695719250406518,-0.4904463325796975,0.08793170410533611
25,26,1.7698533751446006,0.044726592110067596,1.5228377952143175,0.04425806846073778,1.3643,0.2470155799302832,0.06292252907866713,0.19661456924440834,0.07376595667167055
25,28,-5.115870753659406,0.05929112753013367,-5.117047725769008,0.058991592342174555,0.4489000000000001,0.0011769721096012422,0.08363878150032963,-0.10721213714920985,0.06712418959268983
26,28,-6.455403592358837,0.05275303682818403,-6.559160963374123,0.05488420420454149,-0.9154,0.103757371015286,0.07612594016339996,-0.3038267063936182,0.06811160595804625
28,33 (Saha 2018),8.621488108297584,0.06142279608776228,8.916088455793144,0.061855106595581695,1.8529099999999996,-0.2946003474955598,0.08717117695195814,-0.32035088006477785,0.07024240582046301
29,39,0.6781274624668028,0.05506163643491384,3.1524888546090737,0.055939764738264924,0.09139999999999837,-2.474361392142271,0.0784922995322666,-2.055009607364541,0.07827998535340301
2,14,-1.5453610630885652,0.03402021848426441,-2.5903896104090407,0.03616946711889936,0.8226899999999997,1.0450285473204755,0.04965486499208539,0.9933119216621993,0.04950068744283537
2,15,-6.585687208137134,0.04030709239858282,-2.1674043393018434,0.043392095925523816,0.07493999999999978,-4.41828286883529,0.059224451761394584,-4.476358503156408,0.05788841280976498
