mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
17a,17b,1.2023602331419059,0.042969226196823834,1.514963226900053,0.04308577019558951,0.026340000000000252,-0.3126029937581471,0.060850127307187786,-0.18163211298177995,0.07155900683891682
17a,17l,-3.0238294517343007,0.04179337780951032,-0.43483290518310824,0.04409885840394546,-0.41068000000000016,-2.588996546551192,0.06075685756570776,-2.7016321901241955,0.0764426312042193
17b,17d,-4.194672443399711,0.04944956559228748,-2.2108070302072016,0.049407607769262035,-0.6445100000000004,-1.98386541319251,0.06990258394900137,-1.7783718588952278,0.06299911443528923
17b,17i,-2.4820021829857555,0.04983972776074449,-1.752367351804672,0.0488187690358161,-0.4370200000000004,-0.7296348311810835,0.06976582740452149,-0.762163134531824,0.06685569893326264
17c,17k,-0.9567045344259327,0.050978872879983955,0.2508852985672264,0.05093430021170835,-0.26778999999999975,-1.2075898329931591,0.07206350267763839,-1.1953759732408757,0.06076395283526694
17e,17d,-1.017785156071562,0.04104927090188253,-0.8685842717212551,0.04095720856408821,0.7460699999999996,-0.14920088435030698,0.057987374271804726,-0.15361830407274368,0.06124040854879053
17e,17i,-0.43278490954446547,0.05012212325242736,-1.0992251060500837,0.04999190730287409,0.9535599999999995,0.6664401965056183,0.07079136977846011,0.86259042029066,0.0652011019803129
17e,17k,-1.2901668324450881,0.05020701112662482,-1.3885441854073537,0.04975402379654134,0.2750899999999996,0.09837735296226546,0.07068385141045888,-0.0906138939021659,0.062057814432055075
17f,17c,2.9305018389728077,0.040602680128257594,2.6217596342275713,0.0406258003578106,0.22691000000000017,0.3087422047452366,0.05743721170382741,0.3573624239057809,0.06119463494687014
17f,17g,2.5287340169022383,0.040853762913824004,3.75482796584263,0.04056694479926336,-0.6276799999999998,-1.2260939489403917,0.05757349176978431,-1.1673577473696994,0.05479522562563095
17f,17i,2.80623330717247,0.04938917957635671,2.532933512163683,0.0493148869799581,0.6375900000000003,0.2732997950087869,0.0697943345628544,0.11519076485773105,0.06207301793566375
17g,17h flip,0.780165353504553,0.04421827230049737,0.8905531217295376,0.045047669925404016,0.8809300000000002,-0.11038776822498467,0.06312327756817672,-0.18113402156315495,0.056206308821447636
17g,17k,-1.367700242401205,0.05412352437921657,-1.481608851407087,0.05606713936963318,0.5868000000000002,0.11390860900588198,0.07792868540095824,0.3293441980346046,0.054313823003445894
17h flip,17d,-1.500230682232371,0.04351714158548487,-2.0804650465990093,0.04462695378180655,0.17684999999999995,0.5802343643666383,0.06233222774467983,0.44747380942718173,0.05923593415643065
17j,17h flip,2.912390286287509,0.05359852214586386,2.383177189883131,0.05225088905328724,0.11319999999999997,0.5292130964043782,0.07485290230231284,0.43724193972258263,0.0740837613944892
17j,17l,0.170579350943462,0.030689558592465985,0.12202349508165168,0.031419134488879036,0.49753999999999987,0.0485558558618103,0.04392050795050839,0.14308753090257653,0.0816772956962547
17l,17d,0.9251901700956828,0.050354439400183776,0.2781584183054539,0.05079272850696726,-0.20748999999999995,0.647031751790229,0.07152251978565398,0.7416282182471878,0.06849578691629732
17m,17a,-13.343943478078085,0.07378656074344493,-11.319120227644383,0.07390472988752576,-1.42802,-2.0248232504337036,0.10443354655518615,-1.9820794036346734,0.08907180431749866
17m,17d,-15.332598702667735,0.07408073169843646,-11.792384217914679,0.07429156658779858,-2.04619,-3.5402144847530566,0.10491516418061328,-3.942083375511681,0.08235279767095528
17m,17j,-16.92749038838854,0.0750477725352841,-11.73625687562089,0.0744987188228175,-2.33624,-5.19123351276765,0.10574605084233152,-4.826799124661445,0.09360283698266798
