mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
17a,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccccc4)nn3)[C@H]2O)cc1,-5.044272240204432,0.052452642930194845,-5.53273
17b,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccccc4F)nn3)[C@H]2O)cc1,-5.225904353186212,0.048676603305999336,-5.50639
17l,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(Br)cc4)nn3)[C@H]2O)cc1,-7.745904430328627,0.055607518511994074,-5.94341
17d,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(F)cc4)nn3)[C@H]2O)cc1,-7.0042762120814395,0.03999345834284706,-6.1509
17i,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(Cl)c4)nn3)[C@H]2O)cc1,-5.988067487718036,0.04582873302247651,-5.94341
17c,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)cc1,-5.745895828669986,0.04463178868345852,-6.35409
17k,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(Cl)c(Cl)c4)nn3)[C@H]2O)cc1,-6.941271801910862,0.04123422611231657,-6.62188
17e,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(F)c(F)c4)nn3)[C@H]2O)cc1,-6.850657908008696,0.0463779142372933,-6.89697
17f,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)cc(F)c4)nn3)[C@H]2O)cc1,-6.103258252575767,0.04186629653069166,-6.581
17g,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cc(F)c(F)c(F)c4)nn3)[C@H]2O)cc1,-7.270615999945466,0.035351519997985914,-7.20868
17h flip,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(F)c(C)c4)nn3)[C@H]2O)cc1,-7.451750021508621,0.04369690132222129,-6.32775
17j,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccc(Cl)cc4)nn3)[C@H]2O)cc1,-7.888991961231204,0.059824614643068645,-6.44095
17m,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(C4CCCC4)nn3)[C@H]2O)cc1,-3.0621928365697584,0.07198962823915855,-4.10471
17n,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccoc4)nn3)[C@H]2O)cc1,-4.508053143384839,0.054905523220810895,-4.9141
17o,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccs4)nn3)[C@H]2O)cc1,-4.407314362752672,0.06693562103035985,-5.10873
17p,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ccsc4)nn3)[C@H]2O)cc1,-4.843908745808588,0.06459891852281317,-5.04631
17q,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4ncc[nH]4)nn3)[C@H]2O)cc1,-1.9332695395483745,0.07342218667354208,-4.98984
17r,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4c[nH]cn4)nn3)[C@H]2O)cc1,-1.4709643928437894,0.06884882858883389,-4.74961
18a,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4c(F)c(F)c(O)c(F)c4F)nn3)[C@H]2O)cc1,-6.9728182679698865,0.05372668159611413,-6.32775
18d,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4c(F)c(F)c(N)c(F)c4F)nn3)[C@H]2O)cc1,-6.304948892297071,0.05138004170112207,-6.76476
18g,CNc1c(F)c(F)c(-c2cn([C@H]3[C@@H](O)[C@@H](CO)O[C@@H](Sc4ccc(C)cc4)[C@@H]3O)nn2)c(F)c1F,-7.175169473554401,0.0685964451209337,-6.47298
18b,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4c(F)c(F)c(F)c(F)c4F)nn3)[C@H]2O)cc1,-6.81218656693445,0.04853355260564717,-7.46041
18h,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4c(F)c(F)c(N(C)C)c(F)c4F)nn3)[C@H]2O)cc1,-6.3279103208647465,0.06106785866340896,-5.99988
18i,Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4c(F)c(F)c(N5CCCC5)c(F)c4F)nn3)[C@H]2O)cc1,-6.539910119597064,0.0637939317833775,-4.80608
18e,COc1c(F)c(F)c(-c2cn([C@H]3[C@@H](O)[C@@H](CO)O[C@@H](Sc4ccc(C)cc4)[C@@H]3O)nn2)c(F)c1F,-7.522088240813561,0.06877067015461977,-6.47298
18f,CCOc1c(F)c(F)c(-c2cn([C@H]3[C@@H](O)[C@@H](CO)O[C@@H](Sc4ccc(C)cc4)[C@@H]3O)nn2)c(F)c1F,-7.117428599691451,0.07108777914604869,-5.53273
