mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
1832576-04-1,CO[C@@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-10.7134619027663,0.05301693928352544,-10.031196069300446
1832577-09-9,CO[C@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-9.35587826280882,0.05710527707516164,-8.385343719764283
2714550-01-1,CC(C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-10.64597435869998,0.04657782424951522,-8.771566645289406
Pfizer-01-08,CCOc1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(C)nn12,-9.046958812770061,0.054948022388953674,
Pfizer-01-10,Cc1nc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C(C)C)n2n1,-7.4457263720559075,0.04876583615151209,
Pfizer-01-01,CC(C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2ccnn12,-9.281968030379419,0.049855042549831724,-8.845471319203405
Pfizer-01-02,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C(C)C)n2n1,-8.491634549999752,0.049646490652049444,-8.584573845890262
Pfizer-01-07,Cn1ncc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C3CC3)c21,-10.207257996205534,0.05665228037793855,-6.463477018541003
Pfizer-01-03,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C3CC3)n2n1,-8.26245118788617,0.052115640888069234,-8.323545811509687
Pfizer-01-06,Cc1nc2c(C3CC3)c(NC(=O)Nc3ccnc(C(F)(F)F)c3)cnc2n1C,-6.646259072743014,0.055033944559377004,-6.6378646965251065
Pfizer-01-11,Cc1cc2nnc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C)n2n1,0.04981061983861501,0.05447634987637626,
Pfizer-01-04,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C)n2n1,-6.471390500722955,0.04941358885907096,-7.187253218618596
Pfizer-01-05,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)cn2n1,-5.249985389924186,0.05258216188706287,-6.671495008018873
Pfizer-01-09,Cc1cn2c(C(C)C)c(NC(=O)Nc3ccnc(C(F)(F)F)c3)cnc2n1,-5.890317811051167,0.048856933961869665,
Pfizer-01-12,Cc1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)ccc2cncn12,-6.171792373899329,0.0486533839566524,
Pfizer-01-13,O=C(Nc1ccnc(C(F)(F)F)c1)Nc1cnc2ccnn2c1,-4.772764615823498,0.05601457776949025,
