mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
cmpd 11,cmpd 10,1.281197811605409,0.052296639762063224,0.3500725791398722,0.046733174633190766,0.0,0.9311252324655368,0.07013507069718627,1.275864719292036,0.05963798895798416
cmpd 11,cmpd 8,-13.107305910593633,0.06543189826647668,-22.015348640342413,0.06342982289967937,2.329999999999999,8.908042729748782,0.09112999365653024,8.285986626548768,0.06003124226874994
cmpd 12,cmpd 10,1.6661396644380457,0.048339184021966186,-0.5549187392724318,0.04936037429200577,0.0,2.2210584037104777,0.06908779387240857,2.048451347646555,0.0571069676592569
cmpd 12,cmpd 8,-14.889994525467959,0.06689426199780758,-23.312900504727672,0.06538346927956601,2.329999999999999,8.422905979259713,0.09354058126430087,9.058573254903287,0.05751752842927208
cmpd 13,cmpd 10,7.442842231963474,0.05718825464932193,4.4546807484914,0.059632542263255026,0.9600000000000009,2.9881614834720733,0.08262285741012948,2.7565918316538145,0.06180892652360167
cmpd 13,cmpd 12,3.2038721280314615,0.045720367685796265,2.7309247703318666,0.047299770864936454,0.9600000000000009,0.4729473576995947,0.0657846512888827,0.7081404840072594,0.055608804194912057
cmpd 14,cmpd 17,-4.1916577499264305,0.05680661273714901,-0.5332716111636855,0.05521298442632904,-2.919999999999999,-3.6583861387627445,0.07921783195676635,-3.3482738043985023,0.06554535515802608
cmpd 15,cmpd 11,-0.9767026124955229,0.05051291718382966,-1.7089586106025536,0.054809880370603394,0.41999999999999993,0.7322559981070306,0.07453641921007668,0.7269300275048778,0.055082601005847824
cmpd 15,cmpd 12,-0.7022537445705318,0.04680396298990734,-0.7326676289768017,0.04548178401043208,0.41999999999999993,0.030413884406269916,0.0652625744844027,-0.04565660084964129,0.052331720417469564
cmpd 15,cmpd 17,-1.0039545274114536,0.0569233659936631,0.15817746401013183,0.055516269132586525,-1.1300000000000008,-1.1621319914215855,0.07951305386193075,-1.3667798958955082,0.06264064260546065
cmpd 16,cmpd 14,3.8467071363013075,0.04882128532505757,2.205512269694218,0.04625030891423677,2.509999999999999,1.641194866607089,0.06725034554151385,1.9497975548521307,0.060779268855388105
cmpd 16,cmpd 15,1.6877212731547537,0.04750835419227062,1.4986621013270833,0.045338707943594146,0.7200000000000006,0.18905917182767054,0.06567071003158688,-0.03169635365086343,0.05763485096561651
cmpd 16,cmpd 17,0.2702704184584902,0.04282091720591932,1.6077567960881165,0.04176125849696289,-0.41000000000000014,-1.3374863776296262,0.059813323445586535,-1.3984762495463716,0.06558665786097786
cmpd 7,cmpd 11,53.17463667170192,0.06624394853861454,58.949649154697,0.0642508052172571,0.22000000000000064,-5.77501248299508,0.09228448780294836,-5.807897798377062,0.06153975389790639
cmpd 7,cmpd 8,39.34787879318517,0.04383275886882431,36.877963514467275,0.04126534984828658,2.55,2.4699152787178953,0.060200829297892416,2.478088828171706,0.06532014967440207
cmpd 9,cmpd 13,-7.636046152050481,0.04956049264238778,-3.917597932269789,0.047531588850577844,-2.2299999999999995,-3.7184482197806923,0.06866945732723209,-3.6221342250403783,0.059628511689780755
cmpd 9,cmpd 14,-0.36592080047342773,0.042544535071394406,0.44855831241156985,0.04511373650121284,0.09999999999999964,-0.8144791128849975,0.06201037562813155,-0.8868432316804835,0.05978438542771161
cmpd 9,cmpd 7,-57.25827549820712,0.06260056144210334,-60.937767240903696,0.06462209268078721,-1.4899999999999993,3.679491742696576,0.08997135741618444,3.666490685698462,0.06288781790178373
