mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
3,Clc1cncc(-c2nc[nH]n2)n1,-5.579544522512601,0.04443437756965653,-6.03
4,Clc1cccc(-c2nc[nH]n2)n1,-5.765341413927411,0.036023200403026735,-6.5
12,OCCNc1cc(-c2n[nH]c3cnccc23)nc(C(F)(F)F)c1,-10.318350594665866,0.05356748075229317,-9.05
13,OCCNc1cc(C(F)(F)F)nc(-c2n[nH]c3cnccc23)n1,-12.879381602727833,0.04948182121595539,-10.67
5,c1ccc(-c2nc[nH]n2)nc1,-3.8128673937621116,0.04567097774539646,-4.8
7,Cc1cccc(-c2nc[nH]n2)n1,-4.744965162130806,0.044802001301368695,-5.25
10,FC(F)(F)c1cccc(-c2nc[nH]n2)n1,-6.767770373562865,0.03711317879238126,-6.54
11,FC(F)(F)c1cccc(-c2n[nH]c3cnccc23)n1,-8.381969307894844,0.06171297595337734,-9.08
6,COc1cccc(-c2nc[nH]n2)n1,-4.8363109822030985,0.04444381802622082,-5.3
8,c1cc(-c2nc[nH]n2)nc(C2CCC2)c1,-5.8793563589282405,0.04883150941508495,-5.83
9,CC(F)(F)c1cccc(-c2nc[nH]n2)n1,-6.464142287684324,0.0550357684383744,-6.38
