mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2,O=C([O-])c1sc2ccccc2c1Cl,-5.325753372484148,0.029273804497593276,-5.33
4,O=C([O-])c1sc2cc(Cl)ccc2c1Cl,-5.318688480153844,0.04124415759611925,-5.81
5,Cc1ccc2c(Cl)c(C(=O)[O-])sc2c1,-5.6082894533968695,0.04277685990655048,-6.04
3,O=C([O-])c1sc2cccc(Cl)c2c1Cl,-6.729049770677254,0.04515192776426748,-6.39
13 flipped,Cn1c(C(=O)[O-])cc2ccccc21,-4.149654919359046,0.043535671770822265,-5.21
11,O=C([O-])c1cc2c(Br)cc(Cl)cc2o1,-5.87983646577841,0.05945412928721849,-5.55
14,Cn1c(C(=O)[O-])cc2cc(Br)ccc21,-4.908488799376286,0.050234603551342856,-5.61
10,Cc1ccc2c(C)c(C(=O)[O-])oc2c1C,-5.727818920381414,0.05200314253830387,-5.04
15,Cc1cccc2c(-c3ccccc3)c(C(=O)[O-])[nH]c12,-5.014081534283729,0.053798400015534625,-5.31
7,Cc1c(C(=O)[O-])oc2ccc(Cl)cc12,-6.10700877765492,0.03570972439137037,-5.88
8,Cc1c(C(=O)[O-])oc2cc(Cl)ccc12,-6.678746913829603,0.043267299821181535,-6.37
9,Cc1c(C(=O)[O-])oc2c(C)cccc12,-6.572582592624475,0.04230546714482248,-5.48
