mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
1_1W7H,3,25.75069599066323,0.046820247245279584,23.820147326950103,0.04753173454286511,-0.1499999999999999,1.9305486637131277,0.06671882298693906,1.5869447617480565,0.048795818616361494
4,3,29.535979196563577,0.05994633155187607,24.665811339246385,0.059841285828846985,1.3100000000000005,4.870167857317189,0.08470266912073797,4.214720633056185,0.05464788719284463
1_1W7H,5_1WBW,7.295485257754447,0.06268696370207767,9.586309129879647,0.06086911349430608,-2.0000000000000004,-2.290823872125199,0.0873767955224287,-2.076308925494288,0.06059709385445016
4,5_1WBW,10.601251260067121,0.06386803801186888,10.337155349578493,0.06243544529017807,-0.54,0.2640959104886273,0.0893157942811256,0.5514669458138401,0.06540158594259059
6,3,21.4888294653153,0.06497984207580056,18.500746001678422,0.06433183308077053,0.9500000000000002,2.9880834636368774,0.09143831048159247,3.777139784600817,0.05710105605051915
5_1WBW,3,17.356142428646702,0.06786893820844753,14.280803837653808,0.06754747134945525,1.8500000000000005,3.0753385909928928,0.09575413129075709,3.6632536872423445,0.06012036360339771
4,7,8.29751938398482,0.07042403532687327,9.862874067851573,0.0698904633417169,-0.8999999999999995,-1.5653546838667516,0.09921805086696961,-1.0206363650024821,0.0664607730456454
7,3,19.85128849577466,0.06958356228351247,14.714524101593229,0.07046787928045056,2.21,5.136764394181432,0.09903329818978873,5.235356998058666,0.06127091503987413
1_1W7H,6,2.751579264910422,0.07103253465354123,5.423292127924701,0.0690124410588178,-1.1,-2.671712863014279,0.09903705367287204,-2.1901950228527602,0.05760278001871805
6,7,2.9998217250008308,0.07471871985974274,3.9573243494405292,0.07399338174795128,-1.2599999999999998,-0.9575026244396986,0.10515658628909917,-1.45821721345785,0.06849214101827629
