mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
18627-1,18630-1,1.3082222893237707,0.033255927522255195,0.9765309772468513,0.035108134493837415,-0.6600000000000001,0.33169131207691943,0.04835843073346019,0.32862406493712637,0.06342619863191314
18628-1_flip,18624-1,-0.8012930737143097,0.04562879722161575,-0.8427182540210826,0.043891606648393096,0.20999999999999908,0.04142518030677288,0.06331240218210485,0.006419248311045678,0.05800169137125282
18626-1,18632-1,3.4184699652230703,0.049898581482306845,3.2846075235963856,0.04714795646544035,-0.21000000000000085,0.13386244162668454,0.06864982325405852,0.16669313059747903,0.06396662012221668
18627-1,18633-1,2.8986142615486608,0.046510415588959145,3.0107756452935823,0.04837672057229445,-0.6899999999999995,-0.11216138374492168,0.06710831432533193,-0.18799241695334956,0.06197710313620295
18626-1,18635-1,2.4614797882383748,0.05016226134700472,1.5834415777336175,0.04925408286382081,1.5799999999999992,0.8780382105047573,0.0703009042772661,0.9414161539498815,0.07209748278371028
18627-1,18625-1,-1.8400661513587506,0.050402959769913186,-1.5905040580997636,0.05141118412933191,0.370000000000001,-0.24956209325898707,0.07199700137608202,-0.15548159177463816,0.06523149659699914
18626-1,18628-1_flip,2.172605941807261,0.05107705404806395,1.0244014073629892,0.04921398137867887,0.16999999999999993,1.1482045344442717,0.07092870655362184,1.0486430317508066,0.06589770326689257
17124-1,18631-1,-3.860270422870234,0.05649183130544037,-5.7648350282735485,0.05504207344897957,0.2699999999999996,1.9045646054033145,0.0788730426305794,2.073842170666646,0.06624370953298714
17124-1,18652-1,-15.690434825851629,0.05680995871909,-14.419443278583941,0.05633672540575619,-1.0,-1.270991547267687,0.08000748739404509,-1.1368225911132956,0.07886948880095586
18629-1,18624-1,0.5205879077419641,0.04480639346838817,-0.19266036426505884,0.0426069185155813,0.17999999999999972,0.7132482720070229,0.061830109178598436,0.6797754800127311,0.05918571562610853
18628-1_flip,18625-1,-4.0780831376729685,0.056100945710702774,-3.1895419097828066,0.05209378031653012,0.5899999999999999,-0.8885412278901621,0.07655767797747082,-0.9533475182832749,0.06827538684747086
17124-1,18637-1,-8.963564565281033,0.05944135803583898,-8.55288602471302,0.059128264231202175,-0.46000000000000085,-0.41067854056801384,0.08384167624838891,-0.4957962487908496,0.07769181096199641
17124-1,18660-1,-30.80314838843545,0.06528449457976578,-30.754209871138386,0.06271439803835982,0.9800000000000004,-0.04893851729706535,0.0905271282757235,-0.34447292997029066,0.07964384732969836
18629-1,18635-1,1.3605740919730456,0.046851378288096504,0.7369112803915112,0.04593964755398082,1.38,0.6236628115815344,0.06561633077884116,0.5661293539007604,0.07321398389171221
18630-1,18633-1,1.4647627435006705,0.04035103814291573,2.0778436265669495,0.03974926609303291,-0.02999999999999936,-0.6130808830662792,0.05664106667556479,-0.5166164818904759,0.0656567560169859
18630-1,18624-1,0.5222821599233132,0.04394353951775326,-0.07911129956493,0.0455607851186909,0.6500000000000004,0.6013934594882432,0.06329944554243638,0.47566110988255605,0.05854454883724917
18629-1,18636-1,-4.517724678181556,0.05193799495585331,-3.255267971129179,0.05276880816020459,1.1600000000000001,-1.2624567070523764,0.07404122118578757,-1.1412008597110237,0.0719646776722751
18631-1,18624-1,2.575186689879831,0.0513158636610117,1.0938534901370216,0.04981636518979127,0.9199999999999999,1.4813331997428092,0.07151914501724826,1.8320098042358648,0.054022134534352416
18631-1,18625-1,-1.1136837994171294,0.04859349900430824,-2.019888929969738,0.049264494211451314,1.3000000000000007,0.9062051305526088,0.06919767723985991,0.8722430376415442,0.06492860130091672
18632-1,18624-1,-1.4505261153878526,0.04978956491917675,-2.6120040172030565,0.05032097661003058,0.5899999999999999,1.1614779018152042,0.07078984010314023,0.8883691494643733,0.05579800530426349
18634-1,18631-1,-2.8924862762842323,0.047963545451359724,-4.736807076621543,0.047665151403443906,0.5800000000000001,1.84432080033731,0.06762002921160179,2.0009510782508997,0.05436661165514185
18634-1,18658-1,-4.702173520221426,0.04231340859329032,-5.185009634573702,0.04076004110339651,0.2900000000000009,0.4828361143522766,0.058752068027715494,0.6872888591792314,0.06143696588198311
18633-1,18624-1,-0.8906070269563314,0.04749928605927259,-1.8213529779425053,0.048936644869571104,0.6799999999999997,0.9307459509861739,0.06819807465926826,0.992277591773032,0.05697142124625023
18634-1,18632-1,2.097235104709591,0.051869061435882075,-1.1689945049588744,0.05042204636336615,0.9100000000000001,3.2662296096684655,0.07233797269559573,2.944591733022391,0.05613158504040261
18634-1,18637-1,-9.28618985275319,0.05993265362954659,-8.47021721590035,0.05891995211667117,-0.15000000000000036,-0.8159726368528392,0.0840445341977099,-0.568687341206596,0.06784922181370116
18636-1,18624-1,4.514930930966874,0.052688361070215156,2.8093723769967465,0.050719095393432286,-0.9800000000000004,1.705558553970128,0.07313337151939221,1.8209763397237548,0.0635481181861477
18636-1,18635-1,6.236919331197401,0.050582040988816114,4.532295659953664,0.04962872771285972,0.21999999999999975,1.704623671243738,0.07086292038147625,1.707330213611784,0.07678347366537869
18638-1,18652-1,5.314709975512257,0.04749496162400473,5.82779669612175,0.04540795966089173,-0.5899999999999999,-0.5130867206094923,0.06570885922180397,-0.6835027271869887,0.08270402058419576
18638-1,18634-1,19.73622111111639,0.05570839106871272,19.484441344359993,0.056156307874828386,0.09999999999999964,0.25177976675639724,0.07910092129423742,0.5262109563420534,0.06700098253028935
18659-1,18634-1,-0.5078687498869398,0.05353985445533123,0.17524398721235496,0.05091935405369702,-0.5199999999999996,-0.6831127370992948,0.07388705321193831,-0.5566284506307397,0.060770837527539735
18659-1,18658-1,-5.521139253942117,0.05396621335604517,-5.670481094345584,0.053518261541325815,-0.22999999999999865,0.14934184040346773,0.07600366111179081,0.1306604085484917,0.07092618104378091
18638-1,18639-1,76.34152053818919,0.06599241861972786,76.56471573988404,0.06466254647594051,0.34999999999999964,-0.2231952016948584,0.0923917974283138,-0.260674392903935,0.08684583472449091
18658-1,18660-1,-26.36335245791313,0.06295712791104435,-24.827171262224017,0.06117779392240757,1.0,-1.5361811956891127,0.08778566183620289,-1.1046528815652685,0.07904473601260928
18639-1,18637-1,-75.4235742657409,0.0638058905725107,-75.82826965376239,0.06381792181857547,-0.40000000000000036,0.404695388021508,0.09024366358361688,0.21819800803939238,0.08750190997740719
18659-1,18660-1,-21.436873997666517,0.05967311036077814,-20.604985885356008,0.05972980433991328,0.7700000000000014,-0.8318881123105096,0.0844306201956016,-0.9739924730167768,0.07852811094326519
18639-1,18652-1,-71.35176016141342,0.06999256379720165,-70.74849068751696,0.06963873994106623,-0.9399999999999995,-0.6032694738964547,0.09873455872937699,-0.42282833428305366,0.0885492124350284
